,종목명,2017_E,2017_S,2017_G,2018_E,2018_S,2018_G,Diff_E,Diff_S,Diff_G,업종명,2017_종가,2018_종가,등락률,연도
0,AJ네트웍스,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,서비스업,7330,4555,-0.378581173260573,"17,18년"
1,AK홀딩스,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,기타금융,67300,44600,-0.337295690936107,"17,18년"
2,BNK금융지주,2.0,4.0,3.0,,3.0,1.5,,-1.0,-1.5,기타금융,9940,7590,-0.23641851106639838,"17,18년"
3,BYC,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,섬유의복,320000,233500,-0.2703125,"17,18년"
4,CJ,4.0,4.0,1.5,4.0,5.0,1.5,0.0,1.0,0.0,기타금융,186500,109000,-0.4155495978552279,"17,18년"
5,CJ CGV,3.0,3.0,1.5,4.0,3.0,1.5,1.0,0.0,0.0,서비스업,69600,40350,-0.4202586206896552,"17,18년"
6,CJ대한통운,3.0,3.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,운수창고업,157000,158500,0.009554140127388535,"17,18년"
7,CJ씨푸드,2.0,1.5,1.5,2.0,3.0,1.5,0.0,1.5,0.0,음식료품,2905,2170,-0.25301204819277107,"17,18년"
8,CJ제일제당,3.0,4.0,4.0,3.0,5.0,4.0,0.0,1.0,0.0,음식료품,366000,324000,-0.11475409836065574,"17,18년"
9,CS홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기타금융,81000,58900,-0.27283950617283953,"17,18년"
10,DGB금융지주,4.0,4.0,4.0,,3.0,4.0,,-1.0,0.0,기타금융,10450,9400,-0.10047846889952153,"17,18년"
11,DRB동일,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,화학,8480,6450,-0.23938679245283018,"17,18년"
12,DSR,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,철강금속,5520,3230,-0.4148550724637681,"17,18년"
13,DSR제강,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,철강금속,4875,3475,-0.28717948717948716,"17,18년"
