,종목명,2013_E,2013_S,2013_G,2014_E,2014_S,2014_G,Diff_E,Diff_S,Diff_G,업종명,2013_종가,2014_종가,등락률,연도
0,AK홀딩스,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,기타금융,40150,71200,0.7733499377334994,"13,14년"
1,BYC,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,섬유의복,188500,283500,0.5039787798408488,"13,14년"
2,CJ,2.0,4.0,1.5,2.0,4.0,3.0,0.0,0.0,1.5,기타금융,111000,174000,0.5675675675675675,"13,14년"
3,CJ CGV,2.0,1.5,1.5,1.0,3.0,1.5,-1.0,1.5,0.0,서비스업,49950,52400,0.04904904904904905,"13,14년"
4,CJ대한통운,3.0,4.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,운수창고업,92300,193000,1.0910075839653304,"13,14년"
5,CJ씨푸드,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,음식료품,2545,2560,0.005893909626719057,"13,14년"
6,CJ제일제당,2.0,4.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,음식료품,257500,391000,0.5184466019417475,"13,14년"
7,CS홀딩스,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,기타금융,37300,74300,0.9919571045576407,"13,14년"
8,DGB금융지주,4.0,1.5,3.0,4.0,4.0,4.0,0.0,2.5,1.0,기타금융,17000,15250,-0.10294117647058823,"13,14년"
9,DRB동일,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,화학,7760,16400,1.1134020618556701,"13,14년"
10,DSR제강,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,철강금속,3545,3450,-0.02679830747531735,"13,14년"
11,E1,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,유통업,76100,71700,-0.05781865965834428,"13,14년"
12,F&F,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,섬유의복,6600,14850,1.25,"13,14년"
13,GKL,3.0,3.0,1.5,2.0,1.5,1.5,-1.0,-1.5,0.0,서비스업,38700,38250,-0.011627906976744186,"13,14년"
14,GS,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,기타금융,58500,41450,-0.2914529914529915,"13,14년"
