,종목명,2012_E,2012_S,2012_G,2013_E,2013_S,2013_G,Diff_E,Diff_S,Diff_G,업종명,2012_종가,2013_종가,등락률,연도
0,AK홀딩스,1.0,1.5,3.0,1.0,1.5,1.5,0.0,0.0,-1.5,기타금융,22350,40150,0.796420581655481,"12,13년"
1,BYC,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,섬유의복,185000,188500,0.01891891891891892,"12,13년"
2,CJ,2.0,1.5,1.5,2.0,4.0,1.5,0.0,2.5,0.0,기타금융,106500,111000,0.04225352112676056,"12,13년"
3,CJ CGV,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,서비스업,33800,49950,0.47781065088757396,"12,13년"
4,CJ대한통운,2.0,3.0,1.5,3.0,4.0,3.0,1.0,1.0,1.5,운수창고업,113500,92300,-0.186784140969163,"12,13년"
5,CJ씨푸드,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,음식료품,3095,2545,-0.1777059773828756,"12,13년"
6,CJ제일제당,3.0,1.5,3.0,2.0,4.0,4.0,-1.0,2.5,1.0,음식료품,342500,257500,-0.24817518248175183,"12,13년"
7,CS홀딩스,1.0,1.5,,1.0,1.5,1.5,0.0,0.0,,기타금융,35550,37300,0.04922644163150492,"12,13년"
8,DGB금융지주,4.0,1.5,3.0,4.0,1.5,3.0,0.0,0.0,0.0,기타금융,13800,17000,0.2318840579710145,"12,13년"
9,DRB동일,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,화학,5810,7760,0.33562822719449226,"12,13년"
10,DSR제강,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,철강금속,2940,3545,0.20578231292517007,"12,13년"
11,E1,2.0,3.0,1.5,2.0,1.5,1.5,0.0,-1.5,0.0,유통업,62100,76100,0.22544283413848631,"12,13년"
12,F&F,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,섬유의복,6100,6600,0.08196721311475409,"12,13년"
13,GKL,3.0,3.0,,3.0,3.0,1.5,0.0,0.0,,서비스업,30700,38700,0.26058631921824105,"12,13년"
14,GS,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,기타금융,68600,58500,-0.14723032069970846,"12,13년"
