,종목명,2015_E,2015_S,2015_G,2016_E,2016_S,2016_G,Diff_E,Diff_S,Diff_G,업종명,2015_종가,2016_종가,등락률,연도
245,성문전자,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,전기전자,1915,8700,3.5430809399477807,"15,16년"
246,성보화학,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,화학,59800,5610,-0.9061872909698997,"15,16년"
247,성신양회,2.0,1.5,3.0,2.0,1.5,3.0,0.0,0.0,0.0,비금속광물,11400,7610,-0.33245614035087717,"15,16년"
248,성안,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,섬유의복,1095,1015,-0.0730593607305936,"15,16년"
249,성창기업지주,,1.5,1.5,1.0,1.5,1.5,,0.0,0.0,서비스업,29450,3050,-0.8964346349745331,"15,16년"
250,세기상사,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,유통업,54000,63500,0.17592592592592593,"15,16년"
251,세방,3.0,1.5,1.5,3.0,3.0,1.5,0.0,1.5,0.0,운수창고업,17950,15050,-0.1615598885793872,"15,16년"
252,세방전지,1.0,3.0,3.0,2.0,3.0,3.0,1.0,0.0,0.0,전기전자,40800,37100,-0.09068627450980392,"15,16년"
253,세아제강,1.0,1.5,3.0,1.0,3.0,3.0,0.0,1.5,0.0,철강금속,63900,69700,0.09076682316118936,"15,16년"
254,세아특수강,2.0,1.5,3.0,2.0,1.5,3.0,0.0,0.0,0.0,철강금속,17750,19250,0.08450704225352113,"15,16년"
255,세아홀딩스,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,철강금속,175000,120000,-0.3142857142857143,"15,16년"
256,세우글로벌,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,유통업,2075,1720,-0.1710843373493976,"15,16년"
257,세원정공,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,운수장비,24350,18950,-0.22176591375770022,"15,16년"
258,세이브존I&C,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,유통업,6020,5500,-0.08637873754152824,"15,16년"
259,세종공업,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,운수장비,11050,10300,-0.06787330316742081,"15,16년"
260,세하,1.0,1.5,3.0,1.0,1.5,3.0,0.0,0.0,0.0,종이목재,1860,1750,-0.05913978494623656,"15,16년"
