종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"009160","SIMPAC","KOSPI","기계","8670","-450","-4.93","567273903720"
"123700","SJM","KOSPI","운수장비","4510","-110","-2.38","70378089980"
"025530","SJM홀딩스","KOSPI","유통업","3600","-30","-0.83","53762428800"
"034730","SK","KOSPI","기타금융","262500","-5500","-2.05","18469577962500"
"011790","SKC","KOSPI","화학","165000","-4000","-2.37","6248269170000"
"018670","SK가스","KOSPI","유통업","154500","-6500","-4.04","1426072698000"
"001740","SK네트웍스","KOSPI","유통업","5050","-110","-2.13","1253347617350"
"001745","SK네트웍스우","KOSPI","유통업","93200","-2400","-2.51","10591993600"
"006120","SK디스커버리","KOSPI","기타금융","47050","-800","-1.67","895731077750"
"006125","SK디스커버리우","KOSPI","기타금융","39200","-800","-2.00","53251436000"
"210980","SK디앤디","KOSPI","서비스업","31600","-2600","-7.60","701209182400"
"068400","SK렌터카","KOSPI","서비스업","11650","-50","-0.43","550880036000"
"395400","SK리츠","KOSPI","서비스업","6030","50","0.84","934773807960"
"302440","SK바이오사이언스","KOSPI","의약품","273500","3000","1.11","20922750000000"
"326030","SK바이오팜","KOSPI","서비스업","101000","-1000","-0.98","7909638250000"
"361610","SK아이이테크놀로지","KOSPI","전기전자","227500","1500","0.66","16220202180000"
"03473K","SK우","KOSPI","기타금융","237000","-4000","-1.66","134173995000"
"096770","SK이노베이션","KOSPI","화학","263500","-1500","-0.57","24364676114000"
"096775","SK이노베이션우","KOSPI","화학","157500","-4500","-2.78","196627095000"
"001510","SK증권","KOSPI","증권","870","-18","-2.03","411153448770"
"001515","SK증권우","KOSPI","증권","3910","-90","-2.25","15297929740"
"285130","SK케미칼","KOSPI","화학","294000","10000","3.52","3454910424000"
"28513K","SK케미칼우","KOSPI","화학","155000","-1000","-0.64","226093850000"
"017670","SK텔레콤","KOSPI","통신업","327000","3000","0.93","23563666761000"
"000660","SK하이닉스","KOSPI","전기전자","100000","-3000","-2.91","72800236500000"
"064960","SNT모티브","KOSPI","운수장비","50300","-500","-0.98","735543740800"
"100840","SNT에너지","KOSPI","기계","22300","-1250","-5.31","167399655300"
"003570","SNT중공업","KOSPI","운수장비","9650","-170","-1.73","320888526050"
"036530","SNT홀딩스","KOSPI","기타금융","18250","-600","-3.18","297545919500"
"005610","SPC삼립","KOSPI","음식료품","75800","-800","-1.04","654078882200"
"011810","STX","KOSPI","유통업","4230","-315","-6.93","121068750420"
"077970","STX엔진","KOSPI","기계","9770","-530","-5.15","224796992080"
"071970","STX중공업","KOSPI","기계","4950","-250","-4.81","140411581200"
"002820","SUN&L","KOSPI","종이목재","5240","-140","-2.60","66065862360"
"084870","TBH글로벌","KOSPI","섬유의복","2715","-255","-8.59","56626263585"
"002710","TCC스틸","KOSPI","철강금속","8300","-500","-5.68","195050000000"
"002900","TYM","KOSPI","기계","2365","5","0.21","334327619560"
"024070","WISCOM","KOSPI","화학","4045","-290","-6.69","61995441710"
"037270","YG PLUS","KOSPI","서비스업","7240","-30","-0.41","459228928400"
"000500","가온전선","KOSPI","전기전자","28600","50","0.18","118985924200"
"000860","강남제비스코","KOSPI","화학","25750","-600","-2.28","167375000000"
"035250","강원랜드","KOSPI","서비스업","28400","-250","-0.87","6075910200000"
"011420","갤럭시아에스엠","KOSPI","서비스업","2070","-55","-2.59","57027763080"
"002100","경농","KOSPI","화학","14250","50","0.35","278196693750"
"009450","경동나비엔","KOSPI","전기전자","58300","-2000","-3.32","793155759000"
"267290","경동도시가스","KOSPI","전기가스업","24650","-800","-3.14","145321757900"
"012320","경동인베스트","KOSPI","기타금융","37800","-1750","-4.42","89397869400"
"000050","경방","KOSPI","유통업","13750","-50","-0.36","376959962500"
"214390","경보제약","KOSPI","의약품","10550","0","0.00","252217373000"
"012610","경인양행","KOSPI","화학","6670","-200","-2.91","277114254550"
"009140","경인전자","KOSPI","전기전자","24800","-250","-1.00","38955765600"
"013580","계룡건설","KOSPI","건설업","37450","-1650","-4.22","334462467150"
"012200","계양전기","KOSPI","기계","4520","-85","-1.85","147352000000"
"012205","계양전기우","KOSPI","기계","7790","30","0.39","10906000000"
"002140","고려산업","KOSPI","음식료품","3265","-180","-5.22","81427222625"
"010130","고려아연","KOSPI","철강금속","499000","-4000","-0.80","9416130000000"
