회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]   배당금(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
(주)BNK금융지주,138930,2022/12,6915786818,202769793,29.33,77.32,36.67,312746783,0.57,0.38,382694
(주)DB하이텍,000990,2022/12,2120023184,56505000,29.48,77.23,37.92,728512079,2.43,0.99,1675288
(주)HJ중공업,097230,2022/12,2563983000,0,565.7,15.02,4.78,83791000,1.84,0.7,1787366
(주)JB금융지주,175330,2022/12,3090423000,138956000,36.39,73.32,132.74,261667000,0.84,0.64,399616
(주)KB금융지주,105560,2022/12,30453827000,564970000,25.68,79.57,17.22,1692319000,1.15,0.75,1939300
(주)MH에탄올,023150,2022/12,110116900,1627132,76.34,56.71,12,-847932,1.68,0.88,51400
(주)SH에너지화학,002360,2022/12,123343925,1096915,33.11,75.13,15.33,-3253900,2.17,1,160634
(주)SIMPAC,009160,2022/12,784010055,10853903,51.63,65.95,2.77,22908530,1.21,0.57,504475
(주)SNT에너지,100840,2022/12,385516446,2634814,56.02,64.09,10.4,19337049,0.84,0.44,182668
(주)SNT홀딩스,036530,2022/12,434669253,5783865,0.2,99.8,12.06,19194843,0.83,0.51,21176
(주)STX,011810,2022/12,376964000,0,784.41,11.31,35.8,-12635000,5.85,2.05,879729
(주)TCC스틸,002710,2022/12,433842077,3009581,149.87,40.02,29.31,-11763879,2.24,1.15,527360
(주)강원랜드,035250,2022/12,4157624144,70958649,21.86,82.06,61.22,419875334,1.84,1.45,1269418
(주)갤럭시아에스엠,011420,2022/12,57863012,0,73.59,57.61,4.13,871656,2.68,1.27,30094
(주)경농,002100,2022/12,342108581,7145860,51.44,66.03,15.92,26521071,1.38,0.77,202589
(주)경동나비엔,009450,2022/12,716145017,7226466,75.88,56.86,2.99,28496999,2.47,1.25,979558
(주)경동도시가스,267290,2022/12,1064615087,5154124,171.22,36.87,58.22,52246135,0.58,0.31,2304288
(주)경동인베스트,012320,2022/12,296772228,1635264,0.47,99.54,29.52,2162438,1.13,0.23,11484
(주)경방,000050,2022/12,1140221654,3114409,50.19,66.58,-0.71,56746199,0.64,0.38,269780
(주)경보제약,214390,2022/12,240544942,1195343,67.39,59.74,15,10126731,1.91,0.84,196265
(주)경인양행,012610,2022/12,397711513,2075838,86.51,53.62,-10.95,21293145,1.55,0.81,245974
(주)광명전기,017040,2022/12,153664335,424726,46.33,68.34,6.09,-611291,1.84,0.79,130228
(주)광주신세계,037710,2022/12,913454051,17505818,15.64,86.48,8.77,68461740,2.05,0.32,184874
(주)국동,005320,2022/12,117757753,0,48.11,67.52,56.57,6634143,2.01,0.7,174902
(주)국보,001140,2022/12,84758718,0,97.75,50.57,9.05,1233382,3.9,1.35,58254
(주)금비,008870,2022/09,154959481,728555,92.38,51.98,-0.98,-13001827,1.35,0.71,81469
(주)금양,001570,2022/12,249083247,0,162.53,38.09,3.51,37707192,25.66,2.64,181688
(주)금호에이치티,214330,2022/12,392135777,0,23.84,80.75,5.97,7373683,1.83,0.56,209082
(주)까뮤이앤씨,013700,2022/12,195489394,677284,146.99,40.49,19.22,-12329059,2.89,0.94,195140
(주)나이스홀딩스,034310,2022/12,480427525,14527317,60.93,62.14,10.14,27082041,2.35,1.56,47636
(주)남선알미늄,008350,2022/12,291323169,0,36.36,73.34,11.03,-6606352,2.62,0.91,255740
(주)남성,004270,2022/12,223160819,783062,86.46,53.63,-24.19,-16869170,1.05,0.51,62241
(주)넥센,005720,2022/12,736767227,5959714,16.71,85.69,45.42,53259004,0.48,0.3,737877
(주)노루페인트,090350,2022/12,593723438,5629675,89.03,52.9,3.23,35275072,1.04,0.5,667826
(주)노루홀딩스,000320,2022/12,393560433,5239600,18.36,84.49,-7.89,3307125,0.71,0.41,20028
(주)녹십자,006280,2022/12,1943161484,19973000,55.41,64.35,6.38,82575739,2.4,1.21,1244929
(주)녹십자홀딩스,005250,2022/12,1082659486,13622000,66.02,60.23,-9.69,11476283,2.31,1.17,66770
(주)농심,004370,2022/12,2687384597,28913120,27.47,78.45,13.95,127355576,1.07,0.77,2395961
(주)농심홀딩스,072710,2022/12,571596295,11594475,1.4,98.62,4.04,16010870,0.66,0.49,20071
(주)다우기술,023590,2022/12,1139873834,25890509,80.67,55.35,10.45,94029889,1.78,1.27,301413
(주)다이나믹디자인,145210,2022/12,80697224,0,63.72,61.08,13.08,-14850796,17.21,0.19,31113
(주)대교,019680,2022/12,594879015,211578,50.42,66.48,-0.69,53027731,1.12,0.58,589099
(주)대구백화점,006370,2022/12,399527018,416509,49.21,67.02,-7.76,-14201339,0.55,0.36,70061
(주)대덕,008060,2022/12,523823895,14047065,0.47,99.54,45.96,5524447,0.57,0.4,20243
(주)대동,000490,2022/12,1037444849,2309784,268.66,27.13,15.16,-55362484,1.75,0.84,1020419
(주)대양금속,009190,2022/12,278312224,0,157.94,38.77,17.72,11707485,2.38,1.26,239480
(주)대우건설,047040,2022/12,9668849513,0,222.94,30.97,15.25,-532919702,1.06,0.56,9318915
(주)대웅,003090,2022/12,467020461,4158134,5,95.24,6.41,45380879,4.87,2.44,102402
