회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
(주)BNK금융지주,138930,2018/12,6080732702,26.58,21,79,-45.03,29123398,0,0,0,33215607
(주)DB하이텍,000990,2018/12,1050696487,93.66,48.36,51.64,-1.54,182780278,0,0,112884303,112884303
(주)HJ중공업,097230,2018/12,2388369000,0,116.7,0,0.78,182116000,6013000,0,-66005000,-66005000
(주)JB금융지주,175330,2018/12,2346094000,23.27,18.88,81.12,9.72,63237000,0,0,0,63750000
(주)KB금융지주,105560,2018/12,25623074000,34.35,25.57,74.43,53.39,924662000,0,0,0,928987000
(주)MH에탄올,023150,2018/12,109656889,60.15,37.56,62.44,-2.75,6668746,0,0,9028515,9028515
(주)SH에너지화학,002360,2018/12,120895795,16.17,13.92,86.08,-2.12,4284684,0,0,2811557,2811557
(주)SIMPAC,009160,2018/12,628334175,52.83,34.57,65.43,32.35,36290248,0,0,7215888,7215888
(주)SNT에너지,100840,2018/12,280991534,21.5,17.69,82.31,-24.21,14435813,0,0,-1892191,-1892191
(주)SNT홀딩스,036530,2018/12,422804813,0.05,0.05,99.95,-1.7,6691516,0,0,5392033,5392033
(주)STX,011810,2018/12,446758000,618.11,86.07,13.93,-16.65,-51274000,0,0,-6902000,-6902000
(주)TCC스틸,002710,2018/12,268135677,172.63,63.32,36.68,5.26,13968719,0,0,16306122,16306122
(주)강원랜드,035250,2018/12,4229630541,17.93,15.21,84.79,-10.41,366067885,0,38470191,434851737,434851736
(주)갤럭시아에스엠,011420,2018/12,33337692,24.41,19.62,80.38,-40.33,-2638766,0,0,-6687587,-6687587
(주)경농,002100,2018/12,285031873,52.37,34.37,65.63,2.12,4624400,2168708,4879333,15180272,15180272
(주)경동나비엔,009450,2018/12,440513661,83.28,45.44,54.56,8.47,-9553832,12716024,16991904,29337538,29337538
(주)경동도시가스,267290,2018/12,775880913,143.41,58.92,41.08,0,120320145,0,0,43022492,43022492
(주)경동인베스트,012320,2018/12,318776653,2.69,2.62,97.38,1118.23,1728544,0,0,-161816,-161815
(주)경방,000050,2018/12,1226545382,68.21,40.55,59.45,-3.13,29443002,0,2642112,38971836,38971836
(주)경보제약,214390,2018/12,221622993,48.73,32.76,67.24,5.05,-1138159,3878356,5759951,17266575,17266575
(주)경인양행,012610,2018/12,344908257,73.99,42.52,57.48,14.79,911833,0,0,11975046,11975046
(주)광명전기,017040,2018/12,124159091,41.11,29.13,70.87,-7.74,-4019510,0,0,2970976,2970976
(주)광주신세계,037710,2018/12,696204982,12.17,10.85,89.15,-35.5,53868560,0,0,50068808,50068808
(주)국동,005320,2018/12,80727956,93.3,48.27,51.73,5.23,-4000973,0,0,1682592,1682592
(주)국보,001140,2018/12,45599283,293.84,74.61,25.39,-10.36,-5954554,0,0,-4639062,-4639062
(주)금비,008870,2018/09,149863024,79.4,44.26,55.74,12.96,7260805,0,477893,2911534,2911534
(주)금양,001570,2018/12,155507052,216.15,68.37,31.63,0.58,-528376,0,0,6516687,6516687
(주)금호에이치티,214330,2018/12,230268876,75.69,43.08,56.92,14.36,18944987,0,0,7513991,7513991
(주)까뮤이앤씨,013700,2018/12,142240175,138.81,58.13,41.87,-32.46,-6807595,0,0,4050404,4050404
(주)나이스홀딩스,034310,2018/12,423389599,25.88,20.56,79.44,7.65,24167521,0,83825,22616230,22616230
(주)남선알미늄,008350,2018/12,294949630,74.66,42.74,57.26,-13.19,24353843,1704626,0,9581679,9581679
(주)남성,004270,2018/12,168663357,102.96,50.73,49.27,-18.8,-465011,704060,0,2972765,2972765
(주)넥센,005720,2018/12,660401955,18.24,15.42,84.58,61.17,26119849,0,0,19010232,19010232
(주)노루페인트,090350,2018/12,555644322,90.72,47.57,52.43,11.96,17976429,1839291,5184066,17757071,17757071
(주)노루홀딩스,000320,2018/12,359065830,18.17,15.37,84.63,-23.06,7440419,106525,395008,16669027,16669027
(주)녹십자,006280,2018/12,1580579529,49.63,33.17,66.83,3.91,12215513,0,0,46310812,46310812
(주)녹십자홀딩스,005250,2018/12,993043941,70.23,41.26,58.74,21.43,59735500,0,0,35422080,35422080
(주)농심,004370,2018/12,2406700249,27.05,21.29,78.71,0.13,105931161,0,59356328,66943481,66943481
(주)농심홀딩스,072710,2018/12,581585726,5.56,5.27,94.73,-5.08,13580211,0,0,13829065,13829065
(주)다우기술,023590,2018/12,753409272,46.48,31.73,68.27,5.7,51639085,0,0,33274549,33274549
(주)다이나믹디자인,145210,2018/12,134387418,1765.77,94.64,5.36,-24.63,6455313,0,0,-11996371,-11996371
(주)대교,019680,2018/12,797454116,24.1,19.42,80.58,-6.78,62843727,0,25944000,26215073,26215073
