회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]   배당금(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
(주)BNK금융지주,138930,2020/12,6370117214,103818134,22.93,81.35,94.22,255673300,0.49,0.23,311488
(주)DB하이텍,000990,2020/12,1179256936,15207000,48.29,67.44,15.92,310467238,3.07,0.85,935920
(주)HJ중공업,097230,2020/12,2189125000,0,583.21,14.64,5.29,252907000,2.68,0.94,1694634
(주)JB금융지주,175330,2020/12,2820064000,72685000,37.84,72.55,57.09,246120000,0.63,0.33,181820
(주)KB금융지주,105560,2020/12,28108491000,689653000,33.94,74.66,67.75,1389345000,1,0.53,1597934
(주)MH에탄올,023150,2020/12,97515830,2277984,69.27,59.08,9.12,7639662,1.85,0.79,51277
(주)SH에너지화학,002360,2020/12,116570206,0,29.79,77.05,-33.88,3789738,2.17,0.62,91354
(주)SIMPAC,009160,2020/12,656622388,3449178,51.22,66.13,-30.58,433907,0.46,0.25,272087
(주)SNT에너지,100840,2020/12,332066179,2604780,40.37,71.24,13.4,66428615,0.64,0.33,229991
(주)SNT홀딩스,036530,2020/12,423961201,5906201,0.07,99.93,129.76,22924890,0.66,0.39,25310
(주)STX,011810,2020/12,362854000,0,1303.36,7.13,-36.31,66336000,7.04,3.34,788462
(주)TCC스틸,002710,2020/12,261204640,840407,165.86,37.61,-4.69,-998793,1.51,0.25,323435
(주)강원랜드,035250,2020/12,3635973900,0,12.06,89.24,-68.54,-657703238,1.96,1.06,477475
(주)갤럭시아에스엠,011420,2020/12,28554685,0,37.82,72.56,-32,2869297,3.24,0.98,19540
(주)경농,002100,2020/12,299102193,4466162,51.62,65.95,9.46,8535979,2.27,0.66,165655
(주)경동나비엔,009450,2020/12,535511600,4721175,90.27,52.56,13.87,54408162,2.95,1.24,746325
(주)경동도시가스,267290,2020/12,697182108,5154124,96.46,50.9,-23.62,-64559,0.39,0.21,1086023
(주)경동인베스트,012320,2020/12,306973265,1090176,0.47,99.53,-10.88,-5782743,0.31,0.13,7701
(주)경방,000050,2020/12,1212393834,3251909,59.64,62.64,-10.84,46548127,0.55,0.25,226062
(주)경보제약,214390,2020/12,253239177,2390686,62.27,61.62,12.3,20795227,3.59,0.73,215285
(주)경인양행,012610,2020/12,386097816,2058838,101.53,49.62,-12.59,37263507,2.34,0.8,214380
