회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
(주)BNK금융지주,138930,2013/12,3507651972,28.12,21.95,78.05,-9.17,64388577,0,0,0,63208978
(주)DB하이텍,000990,2013/12,1049494642,431.96,81.2,18.8,-15.44,28528798,0,0,-9392980,-9392980
(주)HJ중공업,097230,2013/12,5839633000,223.6,69.1,30.9,-2.7,-186309000,151231000,0,-109107000,-109107000
(주)JB금융지주,175330,2013/12,919650000,,,,,11524000,0,0,0,10377000
(주)KB금융지주,105560,2013/12,18664542000,3.41,3.3,96.7,-58.8,236098000,0,0,0,196749000
(주)MH에탄올,023150,2013/12,122520742,160.02,61.54,38.46,1.78,5638467,0,0,9650241,9650241
(주)SH에너지화학,002360,2013/12,109984767,57.61,36.55,63.45,19.74,7500585,0,406186,7203175,7203175
(주)SIMPAC,009160,2013/12,349836891,76.77,43.43,56.57,-8.63,11709355,0,0,23741361,23741361
(주)SNT에너지,100840,2013/12,311675279,57.28,36.42,63.58,-12.98,20128884,0,0,16804410,16804410
(주)SNT홀딩스,036530,2013/12,397336142,0.12,0.12,99.88,1.24,7969284,0,0,6923357,6923357
(주)STX,011810,2013/12,1086567000,0,148.05,0,-53.97,85353000,0,0,-67233000,-67233000
(주)TCC스틸,002710,2013/12,444204925,111.44,52.71,47.29,-4.79,21218485,0,0,8348275,8348275
(주)강원랜드,035250,2013/12,3105430200,23.04,18.72,81.28,4.95,432139763,0,22849092,398563590,398563590
(주)갤럭시아에스엠,011420,2013/12,34158874,52,34.21,65.79,-17.37,-780292,0,0,652285,652285
(주)경농,002100,2013/12,214988593,32.14,24.32,75.68,6.27,16373126,0,4543530,16404459,16404459
(주)경동나비엔,009450,2013/12,301475800,86.68,46.43,53.57,8.87,20201422,4946214,0,14798703,14798703
(주)경동인베스트,012320,2013/12,1161427092,124.72,55.5,44.5,10.83,54868445,0,0,46688406,46688406
(주)경방,000050,2013/12,1261257414,83.97,45.64,54.36,-0.24,50395794,0,3206756,35902115,35902115
(주)경보제약,214390,2013/12,143382795,116.53,53.82,46.18,0,21628813,4724179,2331686,26213776,26213776
(주)경인양행,012610,2013/12,274570963,54.19,35.14,64.86,29.58,-1601346,0,0,12078064,12078064
(주)광명전기,017040,2013/12,105483729,73.51,42.37,57.63,13.9,615721,0,0,8443372,8443372
(주)광주신세계,037710,2013/12,656355808,60.6,37.73,62.27,-3.37,57337481,0,0,55981723,55981723
(주)국동,005320,2013/12,40194919,575.8,85.2,14.8,4.58,-1572579,0,0,3421258,3421258
(주)국보,001140,2013/12,94915572,242.92,70.84,29.16,-0.17,3388938,0,0,653034,653034
(주)금비,008870,2013/09,131903805,73.65,42.41,57.59,-1.52,4278839,0,366597,654359,654359
(주)금양,001570,2013/12,142485295,213.69,68.12,31.88,21.95,-16431019,0,0,5188276,5188276
(주)금호에이치티,214330,2013/12,87559606,83.96,45.64,54.36,0,7401980,0,0,10458306,10458306
(주)까뮤이앤씨,013700,2013/12,167635146,397.2,79.89,20.11,-8.14,-10254054,0,0,-1085474,-1085474
(주)나이스홀딩스,034310,2013/12,340424811,6.35,5.97,94.03,-24.3,6370321,0,0,6707279,6707279
(주)남선알미늄,008350,2013/12,237576875,235.43,70.19,29.81,14.53,15754793,0,0,13600289,13600289
(주)남성,004270,2013/12,170466140,109.12,52.18,47.82,1.82,14320713,36988,0,3152255,3152255
(주)넥센,005720,2013/12,550327802,30.63,23.45,76.55,2.26,26459446,0,0,23238144,23238144
(주)노루페인트,090350,2013/12,507427528,125.56,55.67,44.33,2.39,18284130,0,4285776,17074685,17074685
(주)노루홀딩스,000320,2013/12,281605639,32.48,24.52,75.48,54.41,19663524,0,329846,22490958,22490958
(주)녹십자,006280,2013/12,1040802954,26.43,20.9,79.1,10.92,23956630,0,0,70623235,70623235
(주)녹십자홀딩스,005250,2013/12,766055042,35.09,25.98,74.02,11.75,-15233225,0,0,16808172,16808172
(주)농심,004370,2013/12,2129920031,41.32,29.24,70.76,-4.5,151175206,0,58179182,92102849,92102849
(주)농심홀딩스,072710,2013/12,571644835,9.73,8.87,91.13,0,14277517,0,0,16425872,16425872
(주)다우기술,023590,2013/12,667637262,46,31.51,68.49,6.31,15275559,0,0,21362926,21362926
(주)다이나믹디자인,145210,2013/12,231663017,74.13,42.57,57.43,2.28,17019763,0,0,26488146,26488146
(주)대교,019680,2013/12,823465031,24.41,19.62,80.38,-1.91,106743640,0,27641000,43117656,43117656
(주)대구백화점,006370,2013/03,499634654,25.1,20.07,79.93,-6.83,15150885,0,25114159,6951509,6951509
(주)대덕,008060,2013/12,518607793,22.18,18.15,81.85,-1.84,75842778,0,0,1617175,1617175
(주)대동,000490,2013/12,489594789,138.39,58.05,41.95,7.51,16521273,6438012,0,3771865,3771865
(주)대양금속,009190,2013/12,101769162,407.84,80.31,19.69,13.01,7125508,0,0,-3502453,-3502453
(주)대우건설,047040,2013/12,9721382818,270.82,73.03,26.97,2.89,-620701049,16120000,29354000,-253099375,-253099375
(주)대웅,003090,2013/12,309791451,5.74,5.43,94.57,-1.54,7313921,380948,1373715,10702531,10702531
(주)대웅제약,069620,2013/12,572053856,30.86,23.58,76.42,1.54,55720701,0,32056830,72035114,72035114
(주)대유에이텍,002880,2013/12,336455370,271.56,73.09,26.91,15.1,13343450,0,0,10252470,10252470
(주)대유플러스,000300,2013/12,238456059,143.59,58.95,41.05,9.56,43600601,0,0,2014020,2014020
(주)대창,012800,2013/12,491396483,181.86,64.52,35.48,-3.81,-16868581,1619032,0,-263180,-263180
(주)대한항공,003490,2013/12,20964254228,823.31,89.17,10.83,-4.5,1762075444,0,0,-18000856,-18000856
(주)대현,016090,2013/12,216232675,101.17,50.29,49.71,13.09,3398130,0,0,12496793,12496793
(주)대호에이엘,069460,2013/12,111294953,143.22,58.88,41.12,-7.08,10402245,546598,0,471223,471223
(주)더메디팜,118000,2013/12,19814271,26.2,20.76,79.24,-58.23,258121,0,323441,-4396198,-4396198
(주)더존비즈온,012510,2013/12,195222471,102.28,50.56,49.44,4.18,22756149,0,0,18347041,18347041
(주)덕성,004830,2013/12,99916345,56.68,36.17,63.83,14.13,3253051,0,18821,6663941,6663941
(주)덴티움,145720,2013/12,87819896,103.12,50.77,49.23,8.53,14332832,0,4355840,18411291,18411291
(주)도화엔지니어링,002150,2013/12,337616482,54.38,35.23,64.77,-4.43,19458211,0,192198,6786088,6786088
(주)동남합성,023450,2013/12,56641902,14.77,12.87,87.13,-2.26,184372,0,0,2393917,2393917
(주)동방,004140,2013/12,531783964,309.64,75.59,24.41,2.54,21845225,0,0,4068815,4068815
(주)동방아그로,007590,2013/12,152686236,33.88,25.31,74.69,3.6,18416852,0,2758520,7896650,7896650
(주)동서,026960,2013/12,959158837,9.49,8.66,91.34,1.02,100938863,0,0,39542210,39542210
(주)동성케미컬,102260,2013/12,240030183,33.78,25.25,74.75,30.7,-1169058,0,0,3247765,3247765
(주)동아지질,028100,2013/12,222553416,65.07,39.42,60.58,16.43,-1746147,0,0,4933434,4933434
(주)동양,001520,2013/12,940420262,0,149.66,0,-50.18,48263512,0,0,-65882236,-65882236
(주)동양고속,084670,2013/12,210730816,87.1,46.55,53.45,10.07,21965271,0,0,13773928,13773928
(주)동원에프앤비,049770,2013/12,711103333,76.44,43.32,56.68,4.65,75751666,0,57227442,38240394,38240394
(주)두산,000150,2013/12,3291631175,67.27,40.22,59.78,-10.27,231349135,0,0,195440822,195440822
(주)두올,016740,2013/12,,,,,,,,,,
(주)드림텍,192650,2013/12,200475426,84.18,45.7,54.3,82.27,32349560,15448164,0,64436621,64436621
(주)디비아이엔씨,012030,2013/12,654682413,152.27,60.36,39.64,-3.62,10001225,0,529931,19055772,19055772
(주)디아이,003160,2013/12,155372329,40.89,29.02,70.98,65.2,12769279,0,0,2507428,2507428
(주)디아이씨,092200,2013/12,431021443,198.2,66.47,33.53,-2.52,53071904,0,0,15506176,15506176
(주)디알비동일,004840,2013/12,254574210,44.13,30.62,69.38,-0.56,13608321,0,126326,11784035,11784035
(주)디엔오토모티브,007340,2013/12,619850775,21.55,17.73,82.27,6.45,37063641,0,65770,35369219,35369219
(주)디지비금융지주,139130,2013/12,2600984014,20.9,17.28,82.72,-0.97,50302607,0,0,0,46383954
(주)락앤락,115390,2013/12,651757636,26.31,20.83,79.17,9.43,18397577,0,0,4161665,4161665
(주)마니커,027740,2013/12,223435840,176.65,63.85,36.15,-4.35,9715815,0,0,-1517803,-1517803
(주)메리츠금융지주,138040,2013/03,799131922,35.37,26.13,73.87,137.22,30533319,0,0,0,26550944
(주)메타랩스,090370,2013/12,128265379,171.26,63.13,36.87,-9.46,3770548,0,1360039,1071187,1071187
(주)모나리자,012690,2013/12,69499188,27.61,21.63,78.37,-2.21,14012276,0,0,8618319,8618319
(주)모나미,005360,2013/12,145811785,206.01,67.32,32.68,-29.88,13994168,155175,1766811,-3255176,-3255176
(주)모토닉,009680,2013/12,395645331,11.44,10.26,89.74,-13.29,27910942,2621095,0,13958900,13958900
(주)무학,033920,2013/12,440361967,27.14,21.34,78.66,10.82,67371326,0,19025647,59979466,59979466
(주)미래아이앤지,007120,2013/12,32881790,77.1,43.54,56.46,-28.44,-4889169,0,0,-4310494,-4310494
(주)방림,003610,2013/09,262766857,37.35,27.2,72.8,-7,-2933602,0,0,3241383,3241383
(주)백산,035150,2013/12,150978561,64.86,39.34,60.66,-6.23,6158942,0,0,7559483,7559483
(주)벽산,007210,2013/12,301784379,73.56,42.38,57.62,8.95,27764036,0,0,19117604,19117604
(주)보락,002760,2013/12,49687810,26.59,21,79,-2.08,1992367,0,0,750828,750828
(주)보령,003850,2013/12,267559994,67.25,40.21,59.79,4.87,28527119,0,8972447,19136761,19136761
(주)비비안,002070,2013/12,201654096,54.58,35.31,64.69,4.16,-3365415,0,0,-3971488,-3971488
(주)비상교육,100220,2013/12,245502198,59.52,37.31,62.69,3.97,30291313,3717489,11717647,20964506,20964506
(주)비와이씨,001460,2013/12,526385377,47.44,32.18,67.82,-16.37,40811381,0,0,29115087,29115087
(주)비지에프,027410,2013/12,1026686864,411.88,80.46,19.54,7.51,223705147,2042000,6458000,94477769,94477769
(주)빙그레,005180,2013/12,561401086,20.75,17.18,82.82,2.02,51690332,0,0,50707920,50707920
(주)사조대림,003960,2013/12,266385366,100.28,50.07,49.93,5.55,7877109,0,451581,5209826,5209826
(주)사조오양,006090,2013/12,172567839,127.21,55.99,44.01,-13.68,3005925,0,0,1046684,1046684
(주)삼성출판사,068290,2013/12,76758882,14.02,12.3,87.7,-1.23,3292179,0,2839761,803473,803473
(주)삼양사,145990,2013/12,761642799,75.88,43.14,56.86,-2.25,18094292,0,0,21998184,21998184
(주)삼양홀딩스,000070,2013/12,1122216976,17.37,14.8,85.2,-22.1,-6518081,0,0,12152204,12152204
(주)삼영,003720,2013/12,173245369,30.51,23.38,76.62,-10.93,5480830,6083,0,-1217140,-1217140
(주)삼원강재,023000,2013/12,203893675,26.85,21.16,78.84,-10.31,30481265,0,0,18684202,18684202
(주)삼익악기,002450,2013/12,293896365,71.47,41.68,58.32,2.63,-9955910,0,194864,5674977,5674977
(주)삼일씨엔에스,004440,2013/12,323495936,110.29,52.45,47.55,4.41,18907068,0,0,31915770,31915770
(주)삼천리,004690,2013/12,2506237676,110.45,52.48,47.52,4.54,-145477573,2134251,0,52794022,52794022
(주)상상인증권,001290,2013/03,572694402,209.66,67.71,32.29,-25.45,303920364,0,0,0,-2889702
(주)서연,007860,2013/12,774672365,93.05,48.2,51.8,6.37,44641920,0,0,8055858,8055857
(주)서원,021050,2013/12,264560670,175.15,63.66,36.34,-17.64,-15677539,0,0,3935637,3935637
(주)서흥,008490,2013/12,374450728,113.31,53.12,46.88,43.38,-13050900,0,0,15723174,15723174
(주)선앤엘,002820,2013/12,428902565,58.84,37.04,62.96,8.73,-9314095,0,0,1232282,1232282
(주)선진,136490,2013/12,283036239,94.45,48.57,51.43,19.88,41594073,0,0,28481763,28481763
(주)성안,011300,2013/12,124589979,59.6,37.34,62.66,-11.95,3794059,338902,0,650624,650624
(주)세아베스틸지주,001430,2013/12,2209112063,55.23,35.58,64.42,-3.71,142195347,0,0,143852131,143852131
(주)세아제강지주,003030,2013/12,1717961948,61.57,38.11,61.89,-10.09,125400526,0,0,92690766,92690766
(주)세아특수강,019440,2013/12,436661795,88.07,46.83,53.17,5.87,51842875,0,0,47210420,47210420
(주)세아홀딩스,058650,2013/12,959769610,28.98,22.47,77.53,-37.47,15941804,0,204193,-107036148,-107036148
(주)세우글로벌,013000,2013/12,42403303,8.14,7.53,92.47,16.51,2634059,0,158,2672035,2672035
(주)세원정공,021820,2013/06,228191916,18.33,15.49,84.51,18.26,25033495,3700255,0,1590597,1590597
(주)세이브존아이앤씨,067830,2013/12,516280230,76.3,43.28,56.72,3.5,41593586,0,6255909,32346503,32346503
(주)세진중공업,075580,2013/12,394031406,284.51,73.99,26.01,0,19749277,0,0,17684567,17684567
(주)셀트리온,068270,2013/12,1972614126,81.19,44.81,55.19,-35.64,137441210,0,0,100983544,100983544
