회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]   배당금(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
(주)BNK금융지주,138930,2012/12,3403623051,63815367,24.19,80.52,0,80796302,1.07,0.76,115746
(주)DB하이텍,000990,2012/12,1149069244,0,318.52,23.89,9.28,68047966,2.49,1.35,583902
(주)HJ중공업,097230,2012/12,5938108000,0,218.65,31.38,-14.48,-227250000,0.62,0.28,1980761
(주)KB금융지주,105560,2012/12,18390028000,231811000,1.69,98.34,2470.25,662904000,0.97,0.7,693943
(주)MH에탄올,023150,2012/12,139200817,0,137.09,42.18,5.28,2788992,0.71,0.31,45489
(주)SH에너지화학,002360,2012/12,102492810,0,57.95,63.31,11.09,363577,2.74,0.54,191908
(주)SIMPAC,009160,2012/12,307366684,2701566,72.84,57.86,4.67,12986618,1.37,0.77,223855
(주)SNT에너지,100840,2012/12,292802033,1416923,59.73,62.6,18.12,26635237,0.97,0.56,230708
(주)SNT홀딩스,036530,2012/12,388964716,5810836,0.09,99.91,286.13,8670824,0.56,0.34,8718
(주)STX,011810,2012/12,3226878000,7300000,187.21,34.82,-1.36,159192000,0.94,0.41,4116767
(주)TCC스틸,002710,2012/12,438642951,2878622,109.12,47.82,-3.58,10878979,0.49,0.35,440568
(주)강원랜드,035250,2012/12,2915385756,153067943,22.33,81.74,2.31,458412852,3.06,2.14,1292896
(주)갤럭시아에스엠,011420,2012/12,40169876,0,59.7,62.62,17.12,2596523,3.12,1.48,37398
(주)경농,002100,2012/12,203467698,1296612,34.3,74.46,8.53,12031973,0.53,0.41,131021
(주)경동나비엔,009450,2012/12,254627468,1262385,67.3,59.77,7.25,22554949,1.17,0.48,341339
(주)경동인베스트,012320,2012/12,1168400020,4354986,149.17,40.13,33.09,154970428,0.62,0.4,2403815
(주)경방,000050,2012/12,1301719900,0,94.36,51.45,-3.75,27341666,0.43,0.26,265409
(주)경보제약,214390,2012/12,,,,,,,,,152822
(주)경인양행,012610,2012/12,241045608,1796003,48.69,67.25,9.79,14914670,1.05,0.54,141304
(주)광명전기,017040,2012/12,104218586,0,89.02,52.9,36.83,1183806,3.83,1.84,79318
(주)광주신세계,037710,2012/12,430662968,2000000,19.09,83.97,-2.65,56319963,1.09,0.75,213803
(주)국동,005320,2012/12,35813125,0,1190.51,7.75,-8.56,2881390,3.8,1.52,91524
(주)국보,001140,2012/12,93953021,50365,196.8,33.69,-7.71,-3331024,1.12,0.48,109184
(주)금비,008870,2012/09,131454531,497237,72.32,58.03,-8.08,130614,0.68,0.42,83297
(주)금양,001570,2012/12,127197484,1176321,181.03,35.58,7.29,3020423,1.51,0.71,108276
(주)금호에이치티,214330,2012/12,,,,,,,,,106418
(주)까뮤이앤씨,013700,2012/12,203481478,0,399.18,20.03,1.03,3105839,0.4,0.19,90977
(주)나이스홀딩스,034310,2012/12,326573175,4772075,3.25,96.85,16.39,16095924,0.76,0.53,32479
(주)남선알미늄,008350,2012/12,236720122,0,285.96,25.91,2.03,-3855861,1.65,0.66,308547
(주)남성,004270,2012/12,189440992,524327,132.89,42.94,0.73,-4199539,0.42,0.31,55617
(주)넥센,005720,2012/12,553189087,2189134,36.07,73.49,-8.79,31717846,1.12,0.63,218801
(주)노루페인트,090350,2012/12,511877762,4094941,134.05,42.73,7.82,-6315034,0.95,0.28,388476
(주)노루홀딩스,000320,2012/12,264856913,3648266,34.94,74.1,4.75,6996088,0.73,0.46,25780
(주)녹십자,006280,2012/12,904287417,12639000,34.1,74.57,2.39,49808775,2.81,1.82,715597
(주)녹십자홀딩스,005250,2012/12,699470921,19941000,29.71,77.1,-9.32,2091107,1.7,1.14,30843
(주)농심,004370,2012/12,2075419644,23130504,44.02,69.43,-0.6,27987328,1.29,0.88,1958918
(주)농심홀딩스,072710,2012/12,570463412,9275530,11.02,90.08,0.93,14241318,0.6,0.46,19995
(주)다우기술,023590,2012/12,652777396,5624660,44.23,69.33,19.61,22369981,1.82,1.03,200446
