회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]   배당금(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
(주)BNK금융지주,138930,2017/12,5868328826,74961690,26.96,78.77,42.36,192132861,0.83,0.61,185726
(주)DB하이텍,000990,2017/12,977575054,10964000,121.4,45.17,-12.08,182244045,2.58,1.24,679738
(주)HJ중공업,097230,2017/12,3312303000,0,487.9,17.01,-9.91,368798000,0.99,0.54,1737428
(주)JB금융지주,175330,2017/12,1964715000,15285000,31.92,75.8,49.22,94490000,0.74,0.58,91927
(주)KB금융지주,105560,2017/12,25102834000,766728000,31.25,76.19,2.72,570143000,1.46,0.96,727087
(주)MH에탄올,023150,2017/12,107437079,2415000,66.06,60.22,-1.28,10755779,0.99,0.7,48270
(주)SH에너지화학,002360,2017/12,123261552,4768891,16.59,85.77,-13.86,16292838,2.03,1.48,184673
(주)SIMPAC,009160,2017/12,343005145,1989425,53.28,65.24,-5.88,-13628628,0.68,0.52,203150
(주)SNT에너지,100840,2017/12,300266693,106269,28.42,77.87,-27.55,-5579426,0.64,0.41,184092
(주)SNT홀딩스,036530,2017/12,425435423,3395435,0.07,99.93,-24.45,6184231,0.69,0.54,7418
(주)STX,011810,2017/12,520393000,0,1063.93,8.59,8.87,93844000,89.15,6.26,1595494
(주)TCC스틸,002710,2017/12,248896237,0,177.7,36.01,5.21,-7248002,0.71,0.47,333762
(주)강원랜드,035250,2017/12,4182527382,200711608,19.47,83.7,-5.41,465968987,2.56,2.1,1602902
(주)갤럭시아에스엠,011420,2017/12,48958128,0,20.9,82.71,-19.16,-7384193,2.63,1.43,36918
(주)경농,002100,2017/12,268967010,5270072,47.01,68.02,-0.02,14393946,0.85,0.68,143175
(주)경동나비엔,009450,2017/12,391400492,2524770,76.28,56.73,12.59,13453817,3.32,1.83,569820
(주)경동도시가스,267290,2017/12,707917077,3535031,,,,18774744,,,870829
(주)경동인베스트,012320,2017/12,318031347,1136564,2.66,97.41,-99.94,49566809,0.73,0.34,612
(주)경방,000050,2017/12,1199063663,4934749,68.65,59.29,-8.21,51272565,0.66,0.51,288104
(주)경보제약,214390,2017/12,204869399,5976715,44.77,69.07,2.64,25805146,2.66,1.94,191661
