회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
미원상사(주),002840,2014/12,161860081,31.05,23.69,76.31,3.3,14513289,0,0,9673756,9673756
미원홀딩스(주),107590,2014/12,197500917,16.75,14.35,85.65,4.45,24130735,0,22898,30194270,30194270
미원화학(주),134380,2014/12,90882280,30.29,23.25,76.75,5.24,12593846,0,4859,10770266,10770266
미창석유공업(주),003650,2014/12,215671275,11.01,9.92,90.08,-3.96,29252983,0,128801,18466906,18466906
백광산업(주),001340,2014/12,449205565,249.44,71.38,28.62,-14.15,9446120,0,0,-24308514,-24308514
범양건영(주),002410,2014/12,28056093,108.72,52.09,47.91,-1.62,-2003913,0,0,-2435148,-2435148
보해양조(주),000890,2014/12,210456522,157.59,61.18,38.82,3.36,18414814,0,5739281,8761758,8761758
부광약품(주),003000,2014/12,234547293,12.37,11.01,88.99,8.07,27572077,0,8426800,27981774,27981774
부국증권(주),001270,2014/03,655049074,74.33,42.64,57.36,83.24,15252916,0,0,0,5039668
부국철강(주),026940,2014/12,125858272,17.3,14.75,85.25,-24.77,14807743,0,0,2115078,2115078
부산산업(주),011390,2014/12,45137523,33.51,25.1,74.9,-12.19,784523,0,0,797872,797872
부산주공(주),005030,2014/12,254414152,464.82,82.3,17.7,4.22,11803878,0,0,6133481,6133481
비케이탑스(주),030790,2014/12,116515342,212.4,67.99,32.01,-72.48,1184804,0,0,2820898,2820898
사조동아원(주),008040,2014/12,574642560,473.24,82.56,17.44,-8.36,-3804469,0,0,-22055021,-22055021
사조산업(주),007160,2014/12,535691156,147.99,59.68,40.32,7.62,34450785,0,0,18850045,18850045
사조씨푸드(주),014710,2014/12,242285992,47.19,32.06,67.94,3.76,15553859,0,0,11931960,11931960
삼부토건(주),001470,2014/12,1873745931,586.05,85.42,14.58,1.49,-18319450,61736212,0,-59136878,-59136878
삼성SDI(주),006400,2014/12,15215158250,31.59,24.01,75.99,18.33,55877181,0,0,-83686079,-83686079
삼성공조(주),006660,2014/12,212356629,17.24,14.7,85.3,-3.52,5952372,0,0,1697470,1697470
삼성물산(주),028260,2014/12,9245982497,73.78,42.45,57.55,9.75,43308912,0,0,92604294,92604294
삼성바이오로직스(주),207940,2014/12,1359452121,75.84,43.13,56.87,66600.93,-72580377,0,0,-80885948,-80885948
삼성생명보험(주),032830,2014/12,211204057000,879.26,89.79,10.21,0,8633970000,0,0,,1280930000
삼성에스디에스(주),018260,2014/12,4717009358,21.44,17.65,82.35,-1.25,840563536,0,11360276,364358470,364358470
삼성엔지니어링(주),028050,2014/12,5044789503,498.87,83.3,16.7,-9.26,296992746,0,0,302852399,302852399
삼성전기(주),009150,2014/12,5921198649,35.72,26.32,73.68,-15.31,-97230924,0,0,-202842031,-202842031
삼성전자(주),005930,2014/12,164060583000,23.65,19.13,80.87,-12.97,18653817000,0,0,13924994000,13924994000
삼성제약(주),001360,2014/12,57410354,146.45,59.42,40.58,-35.45,-13583335,0,0,-19819967,-19819967
삼성중공업(주),010140,2014/12,16685970543,206.37,67.36,32.64,-14.43,-520685539,0,0,142738191,142738191
삼성증권(주),016360,2014/12,25037280992,629.58,86.29,13.71,0,-1316409090,0,0,725125701,160458006
삼성카드(주),029780,2014/12,17690548634,176.05,63.77,36.23,22.07,-1135530484,0,0,0,862189308
삼성화재해상보험(주),000810,2014/12,57631927630,509.89,83.6,16.4,0,3426121793,0,0,,1063757604
삼아알미늄(주),006110,2014/12,194141867,78.53,43.99,56.01,-3.08,-909213,0,0,193511,193511
삼양식품(주),003230,2014/12,286599169,75.88,43.14,56.86,4.45,9213349,0,5572758,9557489,9557489
삼양통상(주),002170,2014/12,290800648,34.89,25.87,74.13,21.02,-3708584,0,0,8595277,8595277
삼영무역(주),002810,2014/12,251602433,22.01,18.04,81.96,-0.76,13291453,0,0,4619648,4619648
삼영전자공업(주),005680,2014/12,432646104,5.15,4.9,95.1,-1.7,31321306,0,0,10330255,10330255
삼익티에이치케이(주),004380,2014/12,216227826,55.45,35.67,64.33,-4.17,21024957,0,967326,16929270,16929270
삼일제약(주),000520,2014/12,107453929,94.15,48.49,51.51,-1.53,-11685725,0,10252725,-8406902,-8406902
삼정펄프(주),009770,2014/12,180736726,15.57,13.47,86.53,0.27,11043160,0,0,6900238,6900238
삼진제약(주),005500,2014/12,209306205,66.06,39.78,60.22,4.84,32406392,13854708,4643793,31576844,31576844
삼호개발(주),010960,2014/12,204616504,59.35,37.25,62.75,-10.4,21974774,0,0,6174781,6174781
삼화왕관(주),004450,2014/12,142115133,23.54,19.05,80.95,2.8,14959450,0,0,9654762,9654762
삼화전기(주),009470,2014/12,113268111,336.66,77.1,22.9,-9.5,6970919,0,0,1637263,1637263
삼화전자공업(주),011230,2014/12,69194980,633.68,86.37,13.63,-12.12,439973,0,10521,-955723,-955723
삼화콘덴서공업(주),001820,2014/12,98557083,151.95,60.31,39.69,-9.13,1756904,0,66227,-7199811,-7199811
삼화페인트공업(주),000390,2014/12,449735162,83.48,45.5,54.5,3.43,36070033,0,6579891,20828429,20828429
상신브레이크(주),041650,2014/12,225843490,114.77,53.44,46.56,12.61,17901500,0,0,20251211,20251211
새론오토모티브(주),075180,2014/12,171633235,15.24,13.22,86.78,2.46,27171001,0,0,18481245,18481245
샘표(주),007540,2014/12,239690365,52.73,34.52,65.48,-1.04,21885135,0,33198171,10313459,10313459
서울도시가스(주),017390,2014/12,1516131640,88.72,47.01,52.99,-3.13,49238089,0,0,3631631,3631631
서울식품공업(주),004410,2014/12,51453164,100.61,50.15,49.85,0.68,2673413,0,0,1604907,1604907
선도전기(주),007610,2014/12,127401998,78.15,43.87,56.13,-17.88,4648879,0,0,484187,484187
성문전자(주),014910,2014/12,45955638,71.47,41.68,58.32,-9.95,529788,0,0,-1267436,-1267436
성보화학(주),003080,2014/12,106396073,17.04,14.56,85.44,9.84,-662744,2478876,503347,5305214,5305214
성신양회(주),004980,2014/12,1109476277,220.31,68.78,31.22,1.95,51261223,0,0,44882199,44882199
성창기업지주(주),000180,2014/12,89758434,1.71,1.68,98.32,14.92,2611421,0,63562,1458580,1458580
세기상사(주),002420,2014/12,45805284,74.18,42.59,57.41,6.62,-588697,0,0,-989780,-989780
세방(주),004360,2014/12,704000774,31.18,23.77,76.23,7.79,15492041,0,0,24334558,24334558
세방전지(주),004490,2014/12,927725912,32.72,24.65,75.35,4,76015357,0,0,81017045,81017045
세원이앤씨(주),091090,2014/12,314753555,250.45,71.47,28.53,8.72,-1111942,3550202,0,-12076225,-12076225
세종공업(주),033530,2014/12,492339950,69.36,40.95,59.05,-2.74,6430071,0,0,-644976,-644976
세하(주),027970,2014/12,176950935,1715.73,94.49,5.51,-13.06,-1891018,0,0,-3157609,-3157609
송원산업(주),004430,2014/12,810847000,176.74,63.86,36.14,-4.51,54007000,0,0,12954000,12954000
스틱인베스트먼트(주),026890,2014/12,106278880,19.33,16.2,83.8,-7.03,2827411,0,0,1295660,1295660
신대양제지(주),016590,2014/12,308634622,24.04,19.38,80.62,-5.44,33706953,0,0,22811709,22811709
신라교역(주),004970,2014/12,505485353,18.16,15.37,84.63,-23.48,13968576,0,0,4742180,4742180
신성통상(주),005390,2014/06,644404427,170.06,62.97,37.03,5.99,52632345,0,0,36347139,36347139
신세계건설(주),034300,2014/12,672732058,2282.87,95.8,4.2,89.41,20548631,0,0,24697804,24697804
신송홀딩스(주),006880,2014/12,174373591,17.48,14.88,85.12,55.93,-1822488,0,1468,-745445,-745445
신영증권(주),001720,2014/03,4777038005,426.79,81.02,18.98,-11.92,265508679,0,0,0,48790429
신일전자(주),002700,2014/12,90526384,73.62,42.4,57.6,-4.81,-14477881,0,0,501315,501315
신풍제약(주),019170,2014/12,401872765,116.66,53.84,46.16,1.51,205616,9395157,4343135,19995620,19995620
쌍용씨앤이(주),003410,2014/12,2414750023,117.13,53.94,46.06,-1.01,194236228,460508,228565,117965102,117965102
써니전자(주),004770,2014/12,32551948,13.96,12.25,87.75,1.6,2283131,0,0,1039906,1039906
씨에스윈드(주),112610,2014/12,347786455,11.85,10.6,89.4,-1.29,15731356,0,0,62567041,62567041
씨제이(주),001040,2014/12,2978815856,12.46,11.08,88.92,9.02,51236505,1439528,8086489,56066189,56066189
씨제이대한통운(주),000120,2014/12,3712040089,64.82,39.33,60.67,20.14,210723090,0,8817227,108575488,108575488
씨제이씨지브이(주),079160,2014/12,1150311356,143.29,58.9,41.1,11.84,146074360,0,4148343,71444016,71444016
씨제이씨푸드(주),011150,2014/12,101198140,113.8,53.23,46.77,1.31,-8423424,0,0,6455900,6455900
씨제이제일제당(주),097950,2014/12,6137783790,109.81,52.34,47.66,-4.09,348405266,0,106397301,313175062,313175062
아남전자(주),008700,2014/12,125171904,60.24,37.59,62.41,12.89,-9541781,1957309,2000,-15824,-15824
아세아(주),002030,2014/12,394269169,8.45,7.79,92.21,-95.1,-4332756,0,0,6575462,6575462
아세아시멘트(주),183190,2014/12,758158469,35.17,26.02,73.98,0,57022913,0,0,51528481,51528481
