회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]   배당금(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
(주)BNK금융지주,138930,2021/12,6825305648,181681735,29.96,76.94,-10.1,205631955,0.6,0.35,280016
(주)DB하이텍,000990,2021/12,1548223597,19563000,39.99,71.43,29.78,391303244,3.3,2.03,1214682
(주)HJ중공업,097230,2021/12,2381044000,0,450.92,18.15,0.66,-111432000,2.03,1.3,1705790
(주)JB금융지주,175330,2021/12,2800542000,116412000,34.39,74.41,-5.56,196719000,0.93,0.52,171702
(주)KB금융지주,105560,2021/12,28871379000,853299000,28.24,77.98,3.53,1346081000,1.15,0.77,1654411
(주)MH에탄올,023150,2021/12,98740736,2277984,70.07,58.8,-10.5,2030480,2.62,1.02,45892
(주)SH에너지화학,002360,2021/12,118423520,1096915,29.78,77.05,52.47,-2312274,1.79,1.03,139284
(주)SIMPAC,009160,2021/12,796759604,11172128,62.24,61.64,80.4,45876785,1.36,0.34,490855
(주)SNT에너지,100840,2021/12,322124195,2634814,31.22,76.21,-28.06,27963345,0.88,0.47,165466
(주)SNT홀딩스,036530,2021/12,425705145,5783865,0.16,99.84,-25.34,16763142,0.93,0.56,18897
(주)STX,011810,2021/12,389174000,0,547.76,15.44,-17.84,-6179000,6.68,1.51,647804
(주)TCC스틸,002710,2021/12,308992347,3479073,142.17,41.29,26.1,6479414,2.08,0.7,407836
(주)강원랜드,035250,2021/12,3817618525,0,17.49,85.11,64.9,215114775,1.95,1.43,787377
(주)갤럭시아에스엠,011420,2021/12,40900713,0,23.75,80.81,47.9,1611959,3.28,1.21,28899
(주)경농,002100,2021/12,312930580,6252628,46.13,68.43,5.5,21191387,1.86,1.01,174768
(주)경동나비엔,009450,2021/12,667507445,6503819,84.94,54.07,27.44,68019725,3.13,1.86,951116
(주)경동도시가스,267290,2021/12,901837037,5154124,141.35,41.43,34.1,138294611,0.46,0.29,1456386
(주)경동인베스트,012320,2021/12,306026123,1635264,0.39,99.61,15.14,823547,0.4,0.22,8866
(주)경방,000050,2021/12,1214189554,3130605,58.36,63.15,20.2,-6107441,0.56,0.41,271718
(주)경보제약,214390,2021/12,236979153,1195343,62.65,61.48,-20.73,17967903,3.17,1.36,170660
(주)경인양행,012610,2021/12,462114130,2073838,121.84,45.08,28.85,1344530,1.62,1.22,276227
(주)광명전기,017040,2021/12,150647821,433376,46.27,68.37,9.08,-2088861,1.95,0.85,122751
(주)광주신세계,037710,2021/12,852280199,13527223,14.28,87.51,15.23,77532153,0.53,0.32,169972
(주)국동,005320,2021/12,108310948,0,36.63,73.19,-33.14,-24301785,3.52,1.37,111711
(주)국보,001140,2021/12,80664677,0,135.58,42.45,0.24,1413296,5.12,2.12,53418
(주)금비,008870,2021/09,162948184,890450,92.75,51.88,3.7,13988569,1.2,0.67,82273
(주)금양,001570,2021/12,233730825,0,295.42,25.29,45.14,-41422728,5.77,2.99,175521
(주)금호에이치티,214330,2021/12,419500176,0,26.15,79.27,8.91,-1903428,1.65,0.79,197312
