회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]   배당금(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
코오롱인더스트리(주),120110,2011/12,3578931698,32788902,142.32,41.27,0,243266332,2.6,1.11,4063829
코오롱플라스틱(주),138490,2011/12,195514531,1450000,124.81,44.48,25.95,12217392,4.12,1.45,209195
코웨이(주),021240,2011/12,1576459029,77841536,110.64,47.47,13.85,317604404,5.31,3.85,1709868
쿠쿠홀딩스(주),192400,2011/06,,,,,,,,,272723
키움증권(주),039490,2011/03,4555024498,17679792,552.68,15.32,6.28,85481937,2.19,1.31,493733
태경산업(주),015890,2011/12,220017265,4384312,45.23,68.86,15.35,7070857,0.97,0.53,138611
태경케미컬(주),006890,2011/12,82971175,1740000,17.88,84.83,34.71,6651815,0.79,0.46,50958
태광산업(주),003240,2011/12,2764784725,1472854,29.17,77.42,22.2,634848134,0.99,0.62,3154926
태림포장(주),011280,2011/12,517230256,1410657,66.68,60,13.59,7151015,0.38,0.24,377011
태양금속공업(주),004100,2011/12,315471372,599875,233.11,30.02,20.75,-8483970,0.42,0.23,315246
태원물산(주),001420,2011/12,47711093,699366,65.02,60.6,18.86,3712369,0.64,0.38,42075
태평양물산(주),007980,2011/12,303023405,828134,165.84,37.62,46.89,-6083735,0.44,0.23,448418
텔코웨어(주),078000,2011/12,112139766,2043722,25.48,79.7,11.74,15128931,1.05,0.77,54875
티와이엠(주),002900,2011/12,331960122,980833,111.62,47.25,7.81,-10590880,1.39,0.57,327792
티케이지휴켐스(주),069260,2011/12,699453771,28615012,57.36,63.55,5.11,74968679,2.8,1.81,566909
파미셀(주),005690,2011/12,100904653,0,21.71,82.16,51.73,-15765172,170.63,9.83,9663
팜젠사이언스(주),004720,2011/12,42704817,0,127.16,44.02,-30.34,2902805,3.46,1.34,27912
팬오션(주),028670,2011/12,6354050000,16378000,152.95,39.53,-12.31,-140372000,1.01,0.42,5059026
퍼스텍(주),010820,2011/12,106860273,0,69.19,59.1,3.83,4661807,2.57,1.07,81845
페이퍼코리아(주),001020,2011/12,400911563,0,226.31,30.65,9.32,-31996110,12.34,0.38,230744
평화산업(주),090080,2011/12,65895748,0,246.72,28.84,13.12,-4785984,1.89,0.96,108561
평화홀딩스(주),010770,2011/12,210322310,1384145,81.07,55.23,4.46,7130435,0.71,0.35,10367
포스코스틸리온(주),058430,2011/12,521470744,1294000,133.3,42.86,-4.55,-11453630,0.9,0.47,956179
포스코홀딩스(주),005490,2011/12,52727876388,579333000,40.24,71.31,20.22,3186490773,1.24,0.81,39171703
피아이첨단소재(주),178920,2011/12,247916921,0,28.25,77.97,-3.02,28465201,0,0,108234
하나제약(주),293480,2011/12,,,,,,,,,80492
하이트진로(주),000080,2011/12,3435692574,84718140,148.57,40.23,39.59,221749684,2.22,1.2,984947
하이트진로홀딩스(주),000140,2011/12,1815175627,3323457,139.96,41.67,-42.52,4293176,0.67,0.29,62146
한국가스공사(주),036460,2011/12,34234501920,55183000,364.28,21.54,24.96,-933039222,0.54,0.3,28254771
한국공항(주),005430,2011/12,362907479,1529125,47.2,67.94,9.54,17826741,0.68,0.39,398403
한국내화(주),010040,2011/12,189906757,1599184,159.27,38.57,17.23,43242001,0.87,0.57,233438
한국단자공업(주),025540,2011/12,461597307,2083000,32,75.76,14.91,45421149,0.87,0.54,409828
한국무브넥스(주),010100,2011/12,449302987,1522521,134.26,42.69,10.37,15718318,0.78,0.39,596583
한국석유공업(주),004090,2011/12,180704762,327600,94.54,51.4,17.88,-12625458,0.42,0.19,197877
한국수출포장공업(주),002200,2011/12,286554900,2000000,53.42,65.18,10.57,7517160,0.28,0.2,246833
한국쉘석유(주),002960,2011/12,119139746,19500000,54.16,64.87,14.89,13351670,5.65,4.3,295623
한국앤컴퍼니(주),000240,2011/12,4554851566,58075972,64.59,60.76,17.92,282440369,2.82,1.54,3955397
한국유나이티드제약(주),033270,2011/12,169921672,1627189,50.23,66.57,7.77,28075173,1.35,0.66,145446
한국자산신탁(주),123890,2011/12,162100770,0,44.7,69.11,35.6,1680687,0,0,36717
한국전력공사(주),015760,2011/12,94769898000,0,113.26,46.89,9.99,1112398000,0.44,0.28,43214858
한국전력기술(주),052690,2011/12,739893313,81255720,94.9,51.31,14.34,192303826,14.59,6.45,663335
한국주강(주),025890,2011/12,83528606,0,13.18,88.35,9.03,3011211,0.69,0.42,44414
한국주철관공업(주),000970,2011/03,270993669,3226707,30.16,76.83,-20.36,921007,0.59,0.39,125280
한국지역난방공사,071320,2011/12,4198284591,4052560,199.73,33.36,37.81,258783667,0.67,0.48,1980926
한국철강(주),104700,2011/12,1015150137,8286143,50.61,66.4,8.51,47145804,0.52,0.28,1020601
한국콜마홀딩스(주),024720,2011/03,211304397,2886485,78.29,56.09,38.04,7524214,2.93,1.01,259596
한국투자금융지주(주),071050,2011/03,2737580745,41225717,35.67,73.71,-86.14,-28053924,1.64,0.81,247783
한국항공우주산업(주),047810,2011/12,1755769881,19495021,107.42,48.21,1.5,-126002801,6.67,2.99,1285657
한국화장품(주),123690,2011/12,130731648,0,69.89,58.86,0,-1604820,0.72,0.33,50519
한미반도체(주),042700,2011/12,198575006,2491203,17.98,84.76,-21.76,-8736486,1.51,0.73,133726
한미사이언스(주),008930,2011/12,413995597,0,8.65,92.04,45.7,-8118172,0.94,0.47,15075
한미약품(주),128940,2011/12,662074998,0,120.16,45.42,0,40037650,3.12,1.96,512497
한성기업(주),003680,2011/12,159637721,931270,164.98,37.74,5.8,-1296260,1.48,0.77,268378
한세실업(주),105630,2011/12,438149273,4000000,128.19,43.82,12.45,101948171,1.77,1.13,972373
한세엠케이(주),069640,2011/12,177778935,2400000,36.86,73.07,13.18,-18329168,1.26,0.63,239249
한세예스24홀딩스(주),016450,2011/12,136616503,2539866,15.1,86.88,10.55,1926971,2.67,0.72,3413
한솔로지스틱스(주),009180,2011/12,174466154,959675,80.82,55.3,-0.76,18804075,1.3,0.57,357072
한솔테크닉스(주),004710,2011/12,475129084,0,157.77,38.79,-41.88,-11650996,3.27,0.85,890101
한솔피엔에스(주),010420,2011/12,101284017,379655,192.76,34.16,-11.67,3861662,1.28,0.52,199671
한솔홀딩스(주),004150,2011/12,1764297841,12137000,134.22,42.7,-1.18,81886268,0.65,0.38,1541805
한신공영(주),004960,2011/12,1287729220,1413846,304.13,24.74,-16.39,-49144807,0.45,0.2,846562
한신기계공업(주),011700,2011/12,68219429,1339291,40.49,71.18,14.8,507970,1.26,0.69,62074
한양증권(주),001750,2011/03,733994802,9924697,181.72,35.5,14.42,-133908320,0.56,0.44,164036
한온시스템(주),018880,2011/12,1570081056,70888640,41.45,70.69,13.35,153463434,2.91,1.67,2005796
한올바이오파마(주),009420,2011/12,105495778,0,107.91,48.1,-17.96,7383603,14.47,7.36,87702
한일철강(주),002220,2011/12,336612165,0,114.37,46.65,12.64,4608447,0.24,0.16,150567
한일현대시멘트(주),006390,2011/12,604236689,0,458.05,17.92,12.4,3323850,0.7,0.34,269202
한일홀딩스(주),003300,2011/12,1980534212,7065313,60.98,62.12,8.1,-9013150,0.39,0.23,704112
한전산업개발(주),130660,2011/12,123687460,8508600,65.53,60.41,10.19,8133303,8.61,2.39,266418
한전케이피에스(주),051600,2011/12,672432244,72900000,36.08,73.49,10.37,32208620,6.42,3.02,925497
한화생명보험(주),088350,2011/03,64483312602,199761000,882.73,10.18,-6.35,44250644,1.36,0.93,12028739
한화손해보험(주),000370,2011/03,5244977362,0,1417.98,6.59,73.17,-25217127,1.9,1.46,3617137
한화솔루션(주),009830,2011/12,6233873334,63689448,80.03,55.55,9.43,471603239,2.41,0.91,3970365
한화시스템(주),272210,2011/12,616477606,10287000,64.8,60.68,-12.48,85371022,0,0,561975
한화에어로스페이스(주),012450,2011/12,3079468492,26558080,100.81,49.8,-10.27,41313273,4.36,1.99,2806143
한화투자증권(주),003530,2011/03,5444795226,13111545,500.13,16.66,202.63,-19475218,0.99,0.6,2148259
해태제과식품(주),101530,2011/12,685706114,0,354.08,22.02,4.85,27530650,0,0,701306
핸즈코퍼레이션(주),143210,2011/12,,,,,,,,,514541
현대건설(주),000720,2011/12,10683666843,55732000,147.44,40.41,0.6,-341304932,2.44,1.3,10104552
현대글로비스(주),086280,2011/12,3189635612,56250000,123.11,44.82,29.38,262740261,6.66,3.48,7547777
현대로템(주),064350,2011/12,3256852260,0,211.16,32.14,-6.73,174249691,0,0,2698762
현대모비스(주),012330,2011/12,16526454000,167236000,46.53,68.25,15.99,1456484000,3.69,2.17,15886201
현대비앤지스틸(주),004560,2011/12,619301501,0,142.29,41.27,5.89,19778962,1.85,0.66,827211
현대약품(주),004310,2011/11,156609403,937972,50.86,66.28,1.06,6162148,0.49,0.32,113046
현대엘리베이터(주),017800,2011/12,1449062486,5188144,129.35,43.6,5.24,-46580254,3.82,1.48,879189
현대오토에버(주),307950,2011/12,378792030,10000000,147.04,40.48,18.65,44106875,0,0,668165
현대위아(주),011210,2011/12,3553860079,12865060,158.5,38.68,27.04,129411977,3.68,1.36,5634181
현대자동차(주),005380,2011/12,50236010000,480105000,54.47,64.74,16.36,6470652000,2.45,1.54,42774077
현대제철(주),004020,2011/12,21691656675,42142748,138.64,41.9,49.63,826629528,1.43,0.71,15259909
현대차증권(주),001500,2011/03,2951484546,0,376.39,20.99,24.52,-80811627,1.33,0.77,338687
현대코퍼레이션(주),011760,2011/12,1756463961,11164901,437.56,18.6,38.44,58208749,3.36,1.89,5030784
현대해상화재보험(주),001450,2011/03,13638522992,56290150,872.46,10.28,16.62,923490588,2.24,1.25,9210035
호전실업(주),111110,2011/12,,,,,,,,,250452
화성산업(주),002460,2011/12,492296030,0,131.76,43.15,2.16,47934690,0.3,0.12,402482
화천기계(주),010660,2011/12,194379195,1980000,85.39,53.94,32.84,6884350,0.92,0.42,296247
화천기공(주),000850,2011/12,297026996,2750000,49.69,66.8,52.6,8526376,0.86,0.4,241320
환인제약(주),016580,2011/12,166109686,3816768,10.85,90.21,4.13,15115300,1.26,0.73,110052
효성아이티엑스(주),094280,2011/12,61708828,0,186.44,34.91,17.51,8108437,3.71,1.72,197872
흥국화재해상보험(주),000540,2011/03,3464444000,0,3788.48,2.57,26.36,637849000,8.39,5.92,2797552
흥아해운(주),003280,2011/12,517830001,486594,388.47,20.47,12.26,4840323,1,0.41,663337
