회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
(주)BNK금융지주,138930,2016/12,5808093984,26.83,21.16,78.84,99.25,87325088,0,0,0,77866019
(주)DB하이텍,000990,2016/12,1006370876,176.13,63.79,36.21,15.98,247018873,0,0,171787648,171787648
(주)HJ중공업,097230,2016/12,3921561000,333.73,76.94,23.06,-5.52,78719000,7776000,0,49319000,49319000
(주)JB금융지주,175330,2016/12,1910239000,30.51,23.38,76.62,20,8303000,0,0,0,36835000
(주)KB금융지주,105560,2016/12,23369959000,22.86,18.61,81.39,121.01,595720000,0,0,0,590308000
(주)MH에탄올,023150,2016/12,72025138,13.86,12.17,87.83,-2.96,12230065,0,0,11876872,11876872
(주)SH에너지화학,002360,2016/12,122956894,19.28,16.16,83.84,0.23,11581159,0,0,23600205,23600205
(주)SIMPAC,009160,2016/12,366245273,59.96,37.48,62.52,1.26,30470575,0,0,21406076,21406076
(주)SNT에너지,100840,2016/12,348042346,51.45,33.97,66.03,-2.31,35017765,0,0,1195144,1195144
(주)SNT홀딩스,036530,2016/12,427001710,0.07,0.07,99.93,15.85,761622,0,0,7999927,7999927
(주)STX,011810,2016/12,627686000,0,152.4,0,7.59,31638000,0,0,-105780000,-105780000
(주)TCC스틸,002710,2016/12,250878191,170.86,63.08,36.92,-9.38,-34206656,0,0,13291420,13291420
(주)강원랜드,035250,2016/12,3975979890,22.23,18.19,81.81,3.9,600686651,0,20084362,624885355,624885356
(주)갤럭시아에스엠,011420,2016/12,55825556,24.48,19.67,80.33,-15.1,-1876676,0,0,-3225040,-3225040
(주)경농,002100,2016/12,266622289,50.87,33.72,66.28,4.07,8683420,0,4786689,7226128,7226128
(주)경동나비엔,009450,2016/12,347643876,65.39,39.54,60.46,12.89,54602640,7880271,15326857,36574176,36574176
(주)경동인베스트,012320,2016/12,903818865,62.48,38.46,61.54,-24.51,32578235,0,0,23543293,23543293
(주)경방,000050,2016/12,1237024388,79.22,44.2,55.8,1.99,61707854,0,3140352,42576774,42576774
(주)경보제약,214390,2016/12,203735980,57.44,36.49,63.51,4.88,25328803,3468420,2459602,15594227,15594227
(주)경인양행,012610,2016/12,290035389,51.83,34.14,65.86,2.43,8421999,0,0,2198152,2198152
(주)광명전기,017040,2016/12,125405290,45.25,31.15,68.85,4.23,2813219,0,0,3818917,3818917
(주)광주신세계,037710,2016/12,655502726,22.69,18.49,81.51,2.48,50122658,0,0,56047368,56047368
(주)국동,005320,2016/12,86116813,114.92,53.47,46.53,24.26,-2263482,0,0,7880757,7880757
(주)국보,001140,2016/12,77487791,487,82.96,17.04,-8.79,175508,0,0,-507392,-507392
(주)금비,008870,2016/09,155344926,93.49,48.32,51.68,7.15,6739915,0,282658,7204631,7204631
(주)금양,001570,2016/12,174953809,686.69,87.29,12.71,5.61,1940653,0,0,8874219,8874219
(주)금호에이치티,214330,2016/12,151786975,63.71,38.92,61.08,4.38,18418054,0,0,16480586,16480586
