,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
BNK금융지주,기타금융,2015,90279548107000.0,1358.31,6.86,12.89,11.399390461063852,0.795,A,A+,A,B이하,38388000.0
CS홀딩스,서비스업,2015,284933124000.0,15.89,86.29,-1.83,13.56916380182002,0.605,B이하,B,B이하,B이하,0.0
JB금융지주,기타금융,2015,39811176000000.0,1386.19,6.73,50.28,-14.509738994935722,0.5700000000000001,B이하,A+,B이하,B이하,7772000.0
KISCO홀딩스,서비스업,2015,1407103545000.0,17.06,85.43,-6.21,14.617137563451777,0.43499999999999994,B이하,B+,B이하,B이하,2753000.0
LG이노텍,전기전자,2015,3914337673000.0,121.77,45.09,-5.07,0.11919205860968565,1.73,A,A,A,A,8283000.0
MH에탄올,음식료품,2015,78996052000.0,36.47,73.27,2.86,0.2656306513714127,1.5950000000000002,B이하,B,B이하,B이하,1820000.0
OCI,화학,2015,7298775478000.0,125.12,44.42,-26.7,0.00942838722375354,0.8500000000000001,B+,B,A,B이하,0.0
SH에너지화학,화학,2015,115520726000.0,26.05,79.33,-6.27,0.11516011632582453,2.445,B이하,B,B이하,B이하,4880000.0
SIMPAC,기계,2015,422833445000.0,82.25,54.87,2.42,0.048118844768052844,0.855,B이하,B,B이하,B이하,3248000.0
SK이노베이션,서비스업,2015,31359835736000.0,83.97,54.36,-26.58,2.45063883037428,0.9099999999999999,A,B+,A,A,447386000.0
가온전선,전기전자,2015,520474259000.0,98.22,50.45,-12.12,0.0508716456993067,0.38,B이하,B+,B이하,B이하,2356000.0
강원랜드,서비스업,2015,3690791830000.0,23.12,81.22,9.17,0.3525381265339732,2.8949999999999996,B+,A,B+,B+,198684000.0
경농,화학,2015,316341853000.0,81.11,55.21,4.21,-0.07161013451155085,0.715,B이하,C,B이하,B이하,2501000.0
경동나비엔,전기전자,2015,402084368000.0,95.11,51.25,19.36,0.09752259414412606,2.305,B이하,C,B이하,B이하,1262000.0
경방,섬유의복,2015,1318643312000.0,98.9,50.28,8.69,0.12972009202453988,0.8600000000000001,B이하,B,B이하,B이하,3427000.0
경인양행,화학,2015,326687437000.0,62.43,61.57,-5.06,0.03111224693869388,1.0499999999999998,B이하,B,B이하,B이하,1952000.0
경인전자,전기전자,2015,64239944000.0,7.74,92.81,-16.72,0.1384063457609806,0.71,B이하,B,B이하,B이하,480000.0
계양전기,기계,2015,211584625000.0,31.87,75.83,2.46,0.06823877913587266,0.99,B이하,B,B이하,B이하,1877000.0
고려산업,음식료품,2015,159959339000.0,101.61,49.6,0.18,0.05260227135036295,0.885,B이하,B,B이하,B이하,724000.0
고려아연,철강금속,2015,5907933007000.0,13.19,88.35,-3.38,0.231184450115487,1.8650000000000002,B+,B,B+,B+,150231000.0
