,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
유유제약,의약품,2013,88679929000.0,27.59,78.37,5.42,0.11593779716855133,0.775,B이하,B,B이하,B이하,953000.0
유한양행,의약품,2013,1513968939000.0,23.26,81.13,21.53,0.08563431879366087,1.905,B이하,B,B이하,B+,15629000.0
유화증권,증권,2013,655592339000.0,39.82,71.52,-22.85,0.9604126770564712,0.42000000000000004,B이하,B,B이하,B이하,8393000.0
율촌화학,화학,2013,522867533000.0,63.96,60.99,8.61,0.06376463566570521,0.895,B이하,B,B이하,B이하,12400000.0
이건산업,종이목재,2013,382494365000.0,134.55,42.64,-7.23,0.18139652225086875,1.115,B이하,C,B이하,B이하,1332000.0
이구산업,철강금속,2013,275686501000.0,158.18,38.73,-0.13,0.013036669767213155,0.425,B이하,B,B이하,B이하,0.0
이마트,유통업,2013,13051829830000.0,94.86,51.32,2.76,0.07446119263853397,1.0,B+,B+,B+,B+,41796000.0
이수페타시스,전기전자,2013,467565657000.0,125.53,44.34,28.03,0.12230554575912538,1.435,B이하,C,B이하,B이하,4067000.0
이수화학,화학,2013,1291256102000.0,219.89,31.26,-7.11,-0.024824758498203668,0.49,B이하,C,B+,B+,6653000.0
이스타코,서비스업,2013,92335201000.0,78.02,56.17,341.13,1.1431230746840664,1.145,B이하,C,B이하,B이하,0.0
이연제약,의약품,2013,178399194000.0,27.07,78.7,-4.06,-0.00047216321916621843,2.055,B이하,B,B이하,B이하,1935000.0
이월드,서비스업,2013,204443013000.0,207.34,32.54,9.27,-0.12403147540983607,0.905,B이하,C,B이하,B이하,0.0
이화산업,유통업,2013,277575752000.0,50.87,66.28,0.0,0.04109407380619192,0.47,B이하,C,B이하,B이하,0.0
인디에프,섬유의복,2013,198771950000.0,120.87,45.27,-8.33,0.03253449788747039,0.6900000000000001,B이하,C,B이하,B이하,0.0
인지컨트롤스,운수장비,2013,411595835000.0,110.53,47.5,-2.41,0.011034779057332782,0.64,B이하,C,B이하,B이하,1452000.0
인천도시가스,전기가스업,2013,355456808000.0,156.31,39.02,6.2,0.01786412683598292,0.8,B이하,C,B이하,B이하,4684000.0
인터지스,운수창고업,2013,458605173000.0,146.83,40.51,15.96,0.030457612869248814,0.6950000000000001,B이하,C,B이하,B이하,795000.0
인팩,운수장비,2013,158810730000.0,94.63,51.38,5.77,0.09272890977521782,0.85,B이하,C,B이하,B이하,1300000.0
일성건설,건설업,2013,284773448000.0,123.21,44.8,4.7,-0.066779686914526,0.28500000000000003,B이하,C,B이하,B이하,758000.0
일신방직,섬유의복,2013,776197124000.0,19.86,83.43,-3.84,0.14638735518380888,0.515,B이하,B+,B이하,B이하,4693000.0
일신석재,유통업,2013,82370066000.0,47.3,67.89,-3.94,0.03164464854338272,1.795,B이하,C,B이하,B이하,0.0
일양약품,의약품,2013,377664126000.0,107.65,48.16,3.75,0.03022328811082814,3.3200000000000003,B이하,B,B이하,B이하,1757000.0
일정실업,섬유의복,2013,70202818000.0,38.13,72.4,-0.69,0.07530386717398824,0.5449999999999999,B이하,B,B이하,B이하,1500000.0
일진전기,전기전자,2013,835753216000.0,160.29,38.42,-11.05,-0.017823793420054634,0.655,B이하,C,B이하,B이하,2595000.0
일진홀딩스,서비스업,2013,1116481234000.0,164.56,37.8,-8.52,-3.7555202117420596,0.5,B이하,C,B이하,B이하,2099000.0
자화전자,전기전자,2013,357073877000.0,48.77,67.22,43.13,0.11243137853797597,2.105,B이하,C,B이하,B이하,5764000.0
전방,섬유의복,2013,525458565000.0,162.21,38.14,-0.45,0.023918239411415267,0.255,B이하,B,B이하,B이하,0.0
제일기획,서비스업,2013,1704530969000.0,154.96,39.22,14.56,-0.07146323844472627,5.4,B이하,B,B이하,B이하,0.0
제주은행,은행,2013,3196049000000.0,994.18,9.14,-8.77,0.9399581328145443,0.395,B+,A,B이하,B이하,2213000.0
조광페인트,화학,2013,226436953000.0,65.69,60.35,6.71,0.0545572831877028,0.685,B이하,C,B이하,B이하,2100000.0
조광피혁,기타제조업,2013,193032480000.0,27.42,78.48,-2.14,0.06989722707942059,1.345,B이하,B,B이하,B이하,0.0
조비,화학,2013,81378985000.0,164.87,37.76,26.56,0.031711615857135875,1.575,B이하,D,B이하,B이하,0.0
조선내화,비금속광물,2013,1133194843000.0,71.86,58.19,1.51,0.17252575248251614,0.67,B이하,B,B+,B이하,13000000.0
조선선재,기계,2013,60264361000.0,24.6,80.25,-1.61,0.20684982141373867,1.125,B이하,C,B이하,B이하,0.0
조일알미늄,철강금속,2013,258754256000.0,49.85,66.73,-9.15,0.03547441565289905,0.47,B이하,B,B이하,B+,1044000.0
조흥,음식료품,2013,118038382000.0,21.11,82.57,3.57,0.1555910053494184,0.615,B이하,C,B이하,B이하,900000.0
종근당바이오,의약품,2013,175499039000.0,41.68,70.58,-11.77,0.10883711430592502,0.635,B이하,B,B이하,B이하,513000.0
주연테크,전기전자,2013,32224379000.0,22.5,81.63,-19.45,-0.03196001528289977,1.5299999999999998,B이하,C,B이하,B이하,0.0
진도,유통업,2013,183720537000.0,169.57,37.1,-4.93,0.07608788860188548,0.585,B이하,C,B이하,B이하,0.0
진양산업,화학,2013,38791830000.0,20.3,83.12,-0.51,0.09577940616673011,0.9550000000000001,B이하,C,B이하,B이하,1300000.0
진양홀딩스,서비스업,2013,528198182000.0,43.88,69.5,0.0,2.2343377903488473,0.6,B이하,B,B이하,B이하,5480000.0
진양화학,화학,2013,44339143000.0,62.29,61.62,9.15,0.06735353219104002,0.9400000000000001,B이하,B,B이하,B이하,1800000.0
진흥기업,건설업,2013,487800578000.0,1287.89,7.21,2.75,0.010111620035724422,10.68,B+,B,B+,B+,0.0
참엔지니어링,기계,2013,533445139000.0,466.89,17.64,57.95,0.09683321301242823,1.025,B이하,B,B이하,B이하,0.0
천일고속,운수창고업,2013,60338619000.0,35.36,73.88,3.3,0.041441576634155736,1.415,B이하,C,B이하,B이하,0.0
카프로,화학,2013,643433406000.0,79.36,55.75,-19.32,-0.0698822178890019,1.07,B이하,B,B이하,B+,0.0
