,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
AJ네트웍스,서비스업,2020,1588170350000.0,451.43,18.13,-15.44,0.03908226565686631,2.98,B,D,B,B,9832682000.0
BNK금융지주,기타금융,2020,114156870957000.0,1085.89,8.43,-1.27,-3.567815370094514,2.565,A+,B+,A+,A+,103818134000.0
CS홀딩스,기타금융,2020,323725568000.0,9.53,91.3,-2.47,4.4238383627128774,21.784999999999997,C,D,C,B,573661000.0
DB금융투자,증권,2020,9959594273000.0,980.15,9.26,60.32,0.2154861416688278,0.91,B,D,A,B,12428667000.0
DB손해보험,보험,2020,60051327012000.0,823.21,10.83,7.68,0.07200332639099609,2.005,B+,A,A,B+,132095632000.0
DB하이텍,전기전자,2020,1178581197000.0,48.33,67.42,15.92,0.3312063317377554,3.485,B+,B+,A,B+,15207000000.0
JB금융지주,기타금융,2020,53375463000000.0,1224.83,7.55,0.3,-2.133236167638324,2.55,A+,A,A,A+,72685000000.0
KISCO홀딩스,철강금속,2020,1564589807000.0,17.21,85.31,-10.01,10.001235273516846,6.115,C,B,B,C,4499849000.0
LG이노텍,전기전자,2020,6038600272000.0,148.74,40.2,14.93,0.1022865582728228,6.06,A,A,A+,B+,16565000000.0
MH에탄올,음식료품,2020,449679366000.0,459.13,17.89,17.02,0.37025949256001717,19.75,B,C,B,B+,2277984000.0
OCI,화학,2020,4437236050000.0,85.99,53.77,-23.13,-0.09698000291330941,0.485,A,A,A+,A,0.0
SH에너지화학,화학,2020,117356594000.0,30.38,76.7,-33.56,0.046125949602644656,1.085,C,C,C,B+,0.0
SIMPAC,기계,2020,737277692000.0,58.9,62.93,-14.93,-0.06263717487421303,2.3,C,C,B,C,3449178000.0
SK이노베이션,화학,2020,38498146106000.0,149.04,40.15,-31.5,0.7485971690919289,2.295,A,A,A,A,0.0
STX,유통업,2020,617563000000.0,655.62,13.23,-33.69,0.0734531277347545,3.52,B,C,B+,B,0.0
STX엔진,기계,2020,809261679000.0,203.7,32.93,-3.92,0.10288838768668089,2.425,B+,B+,B+,B,0.0
STX중공업,기계,2020,467363346000.0,168.72,37.21,-2.37,0.06728742427721164,6.915000000000001,B,C,B+,B+,0.0
TCC스틸,철강금속,2020,306758932000.0,153.25,39.49,-1.23,-0.017289711997773898,0.755,C,B,B,C,840407000.0
가온전선,전기전자,2020,542461378000.0,105.82,48.59,3.27,0.012996094008263124,2.9699999999999998,B+,B,B+,B+,2358629000.0
강남제비스코,화학,2020,712155829000.0,22.26,81.79,2.49,0.1175087572143132,5.32,B,B,C,B,3250000000.0
강원랜드,서비스업,2020,3641632201000.0,12.15,89.16,-68.52,-1.373216046913451,0.98,A,B,A,A,0.0
갤럭시아에스엠,서비스업,2020,28554685000.0,37.82,72.56,-32.0,0.14684222108495393,11.32,C,D,C,C,0.0
경농,화학,2020,371525656000.0,75.77,56.89,9.14,0.09579031118891672,7.109999999999999,C,B,B+,C,4466162000.0
경동나비엔,전기전자,2020,734688738000.0,111.02,47.39,12.8,0.07721183130673634,10.26,B+,B,B+,B+,4721175000.0
경동도시가스,전기가스업,2020,699658165000.0,96.16,50.98,-23.61,0.00028947637388895077,2.085,B+,B,A,B+,5154124000.0
경동인베스트,기타금융,2020,589277835000.0,36.8,73.1,14.27,2.3967696403064536,15.139999999999999,B,C,B,B+,1090176000.0
경방,유통업,2020,1264902051000.0,70.49,58.66,-4.27,0.1487894958020366,3.83,C,C,B,B,3251909000.0
경보제약,의약품,2020,253239177000.0,62.27,61.62,12.3,0.09659394291288292,7.615,B,B,B,B,2390686000.0
경인양행,화학,2020,505102151000.0,121.17,45.21,-8.22,0.2544624405261685,1.17,B,B,C,B,2058838000.0
경인전자,전기전자,2020,57835598000.0,6.97,93.49,56.23,-0.2706897470039947,0.525,C,D,C,B,325347000.0
계양전기,기계,2020,294209839000.0,58.41,63.13,1.24,0.050772328803330324,3.445,B,B,B+,B,1197000000.0
고려산업,음식료품,2020,216577001000.0,111.01,47.39,-1.01,-0.016830766804780704,3.5199999999999996,C,C,C,C,863500000.0
고려아연,철강금속,2020,8499645578000.0,19.93,83.38,13.25,0.0807698075546133,5.34,B,B+,C,B+,265113600000.0
고려제강,철강금속,2020,2245729071000.0,53.51,65.14,-14.78,0.41068495159736695,9.585,B,B+,B+,C,5998000000.0
광동제약,의약품,2020,830643379000.0,65.41,60.46,0.45,0.029868186546123,4.15,B,C,B+,B+,4108061000.0
광명전기,전기전자,2020,165884690000.0,51.1,66.18,-6.31,0.04682853486884197,5.215,C,C,C,C,650064000.0
