회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
(주)BNK금융지주,138930,2022/12,6915786818,29.33,22.68,77.32,36.67,312746783,0,0,0,305909289
(주)DB하이텍,000990,2022/12,2120023184,29.48,22.77,77.23,37.92,728512079,0,0,768587460,768587460
(주)HJ중공업,097230,2022/12,2563983000,565.7,84.98,15.02,4.78,83791000,4777000,0,6360000,6360000
(주)JB금융지주,175330,2022/12,3090423000,36.39,26.68,73.32,132.74,261667000,0,0,0,335964000
(주)KB금융지주,105560,2022/12,30453827000,25.68,20.43,79.57,17.22,1692319000,0,0,0,1668341000
(주)MH에탄올,023150,2022/12,110116900,76.34,43.29,56.71,12,-847932,0,0,585536,585536
(주)SH에너지화학,002360,2022/12,123343925,33.11,24.87,75.13,15.33,-3253900,0,0,548817,548817
(주)SIMPAC,009160,2022/12,784010055,51.63,34.05,65.95,2.77,22908530,0,0,87061651,87061651
(주)SNT에너지,100840,2022/12,385516446,56.02,35.91,64.09,10.4,19337049,0,0,2286564,2286564
(주)SNT홀딩스,036530,2022/12,434669253,0.2,0.2,99.8,12.06,19194843,0,0,18739701,18739701
(주)STX,011810,2022/12,376964000,784.41,88.69,11.31,35.8,-12635000,0,0,1979000,1979000
(주)TCC스틸,002710,2022/12,433842077,149.87,59.98,40.02,29.31,-11763879,0,0,42909458,42909458
(주)강원랜드,035250,2022/12,4157624144,21.86,17.94,82.06,61.22,419875334,0,0,217938432,217938432
(주)갤럭시아에스엠,011420,2022/12,57863012,73.59,42.39,57.61,4.13,871656,0,0,4174665,4174665
(주)경농,002100,2022/12,342108581,51.44,33.97,66.03,15.92,26521071,1694770,0,26820420,26820420
(주)경동나비엔,009450,2022/12,716145017,75.88,43.14,56.86,2.99,28496999,15027921,24394568,58702662,58702662
(주)경동도시가스,267290,2022/12,1064615087,171.22,63.13,36.87,58.22,52246135,0,0,25053659,25053659
(주)경동인베스트,012320,2022/12,296772228,0.47,0.46,99.54,29.52,2162438,0,0,2155029,2155029
(주)경방,000050,2022/12,1140221654,50.19,33.42,66.58,-0.71,56746199,0,3161223,36897227,36897227
(주)경보제약,214390,2022/12,240544942,67.39,40.26,59.74,15,10126731,0,1754604,1392652,1392652
(주)경인양행,012610,2022/12,397711513,86.51,46.38,53.62,-10.95,21293145,0,0,10919529,10919529
(주)광명전기,017040,2022/12,153664335,46.33,31.66,68.34,6.09,-611291,0,0,4340165,4340165
(주)광주신세계,037710,2022/12,913454051,15.64,13.52,86.48,8.77,68461740,0,0,65584851,65584851
(주)국동,005320,2022/12,117757753,48.11,32.48,67.52,56.57,6634143,0,0,7109779,7109779
(주)국보,001140,2022/12,84758718,97.75,49.43,50.57,9.05,1233382,0,0,-8831743,-8831743
(주)금비,008870,2022/09,154959481,92.38,48.02,51.98,-0.98,-13001827,0,180647,-5334624,-5334624
(주)금양,001570,2022/12,249083247,162.53,61.91,38.09,3.51,37707192,0,0,11563753,11563753
(주)금호에이치티,214330,2022/12,392135777,23.84,19.25,80.75,5.97,7373683,0,0,6566133,6566133
(주)까뮤이앤씨,013700,2022/12,195489394,146.99,59.51,40.49,19.22,-12329059,0,0,-15897800,-15897800
(주)나이스홀딩스,034310,2022/12,480427525,60.93,37.86,62.14,10.14,27082041,0,0,24885987,24885987
(주)남선알미늄,008350,2022/12,291323169,36.36,26.66,73.34,11.03,-6606352,1325673,0,-2333712,-2333712
(주)남성,004270,2022/12,223160819,86.46,46.37,53.63,-24.19,-16869170,0,0,3580576,3580576
(주)넥센,005720,2022/12,736767227,16.71,14.31,85.69,45.42,53259004,0,0,30653869,30653869
(주)노루페인트,090350,2022/12,593723438,89.03,47.1,52.9,3.23,35275072,1178610,3489128,18091323,18091323
(주)노루홀딩스,000320,2022/12,393560433,18.36,15.51,84.49,-7.89,3307125,301539,364783,4841606,4841606
(주)녹십자,006280,2022/12,1943161484,55.41,35.65,64.35,6.38,82575739,0,40269000,70305248,70305248
(주)녹십자홀딩스,005250,2022/12,1082659486,66.02,39.77,60.23,-9.69,11476283,0,0,26220626,26220626
(주)농심,004370,2022/12,2687384597,27.47,21.55,78.45,13.95,127355576,0,75259657,63302715,63302715
(주)농심홀딩스,072710,2022/12,571596295,1.4,1.38,98.62,4.04,16010870,0,0,15677273,15677273
(주)다우기술,023590,2022/12,1139873834,80.67,44.65,55.35,10.45,94029889,0,3090505,53297763,53297763
(주)다이나믹디자인,145210,2022/12,80697224,63.72,38.92,61.08,13.08,-14850796,0,0,-14914964,-14914964
(주)대교,019680,2022/12,594879015,50.42,33.52,66.48,-0.69,53027731,0,38890000,-36853960,-36853960
(주)대구백화점,006370,2022/12,399527018,49.21,32.98,67.02,-7.76,-14201339,0,8447947,-17617255,-17617255
(주)대덕,008060,2022/12,523823895,0.47,0.46,99.54,45.96,5524447,0,0,6281936,6281936
(주)대동,000490,2022/12,1037444849,268.66,72.87,27.13,15.16,-55362484,0,0,62957426,62957426
(주)대양금속,009190,2022/12,278312224,157.94,61.23,38.77,17.72,11707485,0,0,14572913,14572913
(주)대우건설,047040,2022/12,9668849513,222.94,69.03,30.97,15.25,-532919702,16022000,26184000,433402928,433402928
(주)대웅,003090,2022/12,467020461,5,4.76,95.24,6.41,45380879,0,1267849,54478995,54478995
(주)대웅제약,069620,2022/12,1374022214,108.23,51.98,48.02,10.05,92493752,0,76011967,105963323,105963323
(주)대유에이텍,002880,2022/12,421159049,449.44,81.8,18.2,17.45,24506274,0,0,37683578,37683578
(주)대유플러스,000300,2022/12,266382911,377.31,79.05,20.95,-34.72,-30219845,0,0,-7548507,-7548507
(주)대창,012800,2022/12,562912422,148.83,59.81,40.19,10.03,21559124,1971544,0,9696799,9696799
(주)대한항공,003490,2022/12,28065730615,204.21,67.13,32.87,53.23,5368435223,0,0,2883641014,2883641014
(주)대현,016090,2022/12,297649820,22.67,18.48,81.52,10.91,21770390,0,0,30195182,30195182
(주)대호에이엘,069460,2022/12,157016307,107.63,51.84,48.16,21.36,5065643,0,0,9340387,9340387
(주)더메디팜,118000,2022/12,129648762,31.05,23.7,76.3,19.26,-3117778,0,667,-67309,-67309
(주)더블유게임즈,192080,2022/12,723165536,12.63,11.21,88.79,-3.04,41857987,20910620,47353263,56970366,56970366
(주)더존비즈온,012510,2022/12,823154130,93.49,48.32,51.68,-5.13,71980918,0,0,45164807,45164807
(주)덕성,004830,2022/12,120573135,45.83,31.43,68.57,9.17,9587428,0,29163,4903685,4903685
(주)덴티움,145720,2022/12,605644843,86.87,46.49,53.51,26.67,64124596,0,12692040,109357470,109357470
(주)도화엔지니어링,002150,2022/12,495800634,79.39,44.26,55.74,-5.79,18627523,0,183118,10121946,10121946
(주)동남합성,023450,2022/12,92085226,84.07,45.67,54.33,20.65,12891622,0,0,13461075,13461075
(주)동방,004140,2022/12,517263612,336.31,77.08,22.92,27.66,43300666,0,0,26399664,26399664
(주)동방아그로,007590,2022/12,215451170,43.86,30.49,69.51,9.6,6450283,0,3073571,9308222,9308222
(주)동서,026960,2022/12,1605210800,4.9,4.67,95.33,4.06,82688581,0,1581702,34700109,34700109
(주)동성케미컬,102260,2022/12,482177264,41.07,29.12,70.88,41.07,43869259,1473444,0,29087958,29087958
(주)동아지질,028100,2022/12,371930624,67.56,40.32,59.68,-8.01,31470461,0,0,-30473075,-30473075
(주)동양,001520,2022/12,926206557,20.84,17.25,82.75,18.59,-14789063,0,0,20463968,20463968
(주)동양고속,084670,2022/12,165071359,120.47,54.64,45.36,28.65,-4815792,0,0,-11048901,-11048901
(주)동원에프앤비,049770,2022/12,1442896840,99.31,49.83,50.17,5.96,54332944,0,50796420,86186465,86186465
(주)두산,000150,2022/12,5012811344,57.46,36.49,63.51,11.34,-101565274,0,0,72361153,72361153
(주)두올,016740,2022/12,287289681,67.92,40.45,59.55,0.42,21045635,0,0,10840684,10840684
(주)드림텍,192650,2022/12,389586094,49.51,33.11,66.89,15.89,44664508,0,0,66059984,66059984
(주)디비아이엔씨,012030,2022/12,428747549,39.43,28.28,71.72,24.84,25600546,0,13092260,12401397,12401397
(주)디아이,003160,2022/12,217873583,66.51,39.94,60.06,-18.32,7443914,0,0,7759514,7759514
(주)디아이씨,092200,2022/12,398240294,468.71,82.42,17.58,15.51,66376795,0,0,28505629,28505629
(주)디알비동일,004840,2022/12,262339726,33.4,25.04,74.96,-57.34,-3594714,0,200866,-513250,-513250
(주)디엔오토모티브,007340,2022/12,1632577263,144.8,59.15,40.85,228.58,57370278,0,245529,96511673,96511673
(주)디지비금융지주,139130,2022/12,4354003044,34.59,25.7,74.3,26.38,348922125,0,0,0,150859004
(주)락앤락,115390,2022/12,567175879,12.32,10.97,89.03,-6.41,79075792,0,0,-8334285,-8334285
(주)마니커,027740,2022/12,170180863,242.01,70.76,29.24,26.58,-3976276,0,0,-6397710,-6397710
(주)메리츠금융지주,138040,2022/12,2683516183,66.05,39.78,60.22,-38.28,-39466400,0,0,0,120668296
(주)메타랩스,090370,2022/12,84868537,10.17,9.23,90.77,-27.5,-799299,0,1010708,-3681310,-3681310
(주)모나리자,012690,2022/12,97794376,26,20.63,79.37,13.6,6565473,0,0,2895380,2895380
(주)모나미,005360,2022/12,166227997,106.08,51.47,48.53,14.06,-10651194,658434,2291804,1317000,1317000
(주)모토닉,009680,2022/12,463199227,7.81,7.25,92.75,14.17,20196623,1466427,0,14271412,14271412
(주)무학,033920,2022/12,597841141,25.43,20.28,79.72,21.62,28101613,0,18835662,16328939,16328939
(주)미래아이앤지,007120,2022/12,96334886,41.02,29.09,70.91,64.31,5844313,0,0,3234003,3234003
(주)바이오노트,377740,2022/12,1096584391,4.74,4.52,95.48,-23.37,253453608,0,1844278,298440452,298440452
(주)방림,003610,2022/09,241989773,20.17,16.79,83.21,6.98,303481,0,0,2071431,2071431
(주)백산,035150,2022/12,266024191,57.6,36.55,63.45,10.91,40144903,0,0,30484595,30484595
(주)벽산,007210,2022/12,462714949,109.06,52.17,47.83,19.03,33413921,0,0,15111185,15111185
(주)보락,002760,2022/12,60912252,25.89,20.57,79.43,21.81,2548454,0,0,3282892,3282892
(주)보령,003850,2022/12,870256643,72.26,41.95,58.05,21.47,26786300,0,17348052,60264528,60264528
(주)비비안,002070,2022/12,192175877,108.97,52.15,47.85,13.51,-2222885,0,2719360,5352205,5352205
(주)비상교육,100220,2022/12,306759391,55.64,35.75,64.25,24.32,-292829,0,17272605,1992558,1992558
(주)비와이씨,001460,2022/12,657344581,28.5,22.18,77.82,2.99,9126339,0,0,24457946,24457946
(주)비지에프,027410,2022/12,1513373776,3.26,3.16,96.84,16.94,22151752,0,2614000,26706199,26706199
(주)비지에프리테일,282330,2022/12,2857090834,206.8,67.41,32.59,12.06,617016113,3895000,13637000,249222456,249222456
(주)빙그레,005180,2022/12,743539884,26.73,21.09,78.91,10.92,-29082353,0,0,38933540,38933540
(주)사조대림,003960,2022/12,758321849,74.39,42.66,57.34,20.7,25147515,0,8852308,77105028,77105028
(주)사조오양,006090,2022/12,343207955,66.65,39.99,60.01,12.24,-16187076,0,0,10201023,10201023
(주)삼성출판사,068290,2022/12,211487638,20.44,16.97,83.03,-8.1,19738978,789291,1619469,-900934,-900934
(주)삼양사,145990,2022/12,2278458050,86.53,46.39,53.61,12.01,61181670,0,0,37795019,37795019
(주)삼양패키징,272550,2022/12,642309324,77.87,43.78,56.22,3.93,31281547,0,0,23762623,23762623
(주)삼양홀딩스,000070,2022/12,2074324604,15.86,13.69,86.31,-40.09,163337111,12999000,0,69037747,69037747
(주)삼영,003720,2022/12,98509521,90.01,47.37,52.63,6.91,6230540,0,0,2879227,2879227
(주)삼원강재,023000,2022/12,293690103,27.26,21.42,78.58,21.39,6224660,0,0,16532526,16532526
(주)삼익악기,002450,2022/12,292340683,51.13,33.83,66.17,-10.75,4991982,0,388141,10418758,10418758
(주)삼일씨엔에스,004440,2022/12,401468204,50.66,33.63,66.37,0.4,1287541,0,0,-9849043,-9849043
(주)삼천리,004690,2022/12,3604174264,165.45,62.33,37.67,52.81,288837796,195501,0,9526833,9526833
(주)상상인증권,001290,2022/12,600349827,165.29,62.3,37.7,10.55,31736377,0,0,0,-846754
(주)서연,007860,2022/12,316196307,1.21,1.19,98.81,32.78,7644264,0,222429,5607082,5607082
(주)서연이화,200880,2022/12,1214063323,69.44,40.98,59.02,14.86,91928629,0,0,82070425,82070425
(주)서원,021050,2022/12,266232857,95.42,48.83,51.17,5.37,10941811,0,0,173336,173336
(주)서흥,008490,2022/12,541149356,69.61,41.04,58.96,-7.68,35955939,7257750,0,36472675,36472675
(주)선앤엘,002820,2022/12,479170758,120.66,54.68,45.32,-1.97,-18960562,0,0,-5536321,-5536321
(주)선진,136490,2022/12,915554063,114.75,53.43,46.57,2.48,14921702,0,0,30096580,30096580
(주)성안,011300,2022/12,115883629,300.89,75.06,24.94,68.9,-3118088,292534,0,-2773207,-2773207
(주)세아베스틸지주,001430,2022/12,1757749084,15.87,13.7,86.3,-67.51,8265846,0,0,62859399,62859399
