회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
(주)BNK금융지주,138930,2012/12,3403623051,24.19,19.48,80.52,0,80796302,0,0,0,80371686
(주)DB하이텍,000990,2012/12,1149069244,318.52,76.11,23.89,9.28,68047966,0,0,-14429657,-14429657
(주)HJ중공업,097230,2012/12,5938108000,218.65,68.62,31.38,-14.48,-227250000,151169000,0,28591000,28591000
(주)KB금융지주,105560,2012/12,18390028000,1.69,1.66,98.34,2470.25,662904000,0,0,0,645191000
(주)MH에탄올,023150,2012/12,139200817,137.09,57.82,42.18,5.28,2788992,0,0,6518758,6518758
(주)SH에너지화학,002360,2012/12,102492810,57.95,36.69,63.31,11.09,363577,0,925257,2874585,2874585
(주)SIMPAC,009160,2012/12,307366684,72.84,42.14,57.86,4.67,12986618,0,0,25309896,25309896
(주)SNT에너지,100840,2012/12,292802033,59.73,37.4,62.6,18.12,26635237,0,0,15132783,15132783
(주)SNT홀딩스,036530,2012/12,388964716,0.09,0.09,99.91,286.13,8670824,0,0,6695560,6695560
(주)STX,011810,2012/12,3226878000,187.21,65.18,34.82,-1.36,159192000,0,0,17733000,17733000
(주)TCC스틸,002710,2012/12,438642951,109.12,52.18,47.82,-3.58,10878979,0,0,11675644,11675644
(주)강원랜드,035250,2012/12,2915385756,22.33,18.26,81.74,2.31,458412852,0,26210963,416789419,416789419
(주)갤럭시아에스엠,011420,2012/12,40169876,59.7,37.38,62.62,17.12,2596523,0,0,1598883,1598883
(주)경농,002100,2012/12,203467698,34.3,25.54,74.46,8.53,12031973,0,3618870,13993847,13993847
(주)경동나비엔,009450,2012/12,254627468,67.3,40.23,59.77,7.25,22554949,4410609,0,11593426,11593426
(주)경동인베스트,012320,2012/12,1168400020,149.17,59.87,40.13,33.09,154970428,0,0,51501974,51501974
(주)경방,000050,2012/12,1301719900,94.36,48.55,51.45,-3.75,27341666,0,3516662,8240616,8240616
(주)경보제약,214390,2012/12,,,,,,,,,,
