회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
(주)BNK금융지주,138930,2021/12,6825305648,29.96,23.06,76.94,-10.1,205631955,0,0,0,207266355
(주)DB하이텍,000990,2021/12,1548223597,39.99,28.57,71.43,29.78,391303244,0,0,398950429,398950429
(주)HJ중공업,097230,2021/12,2381044000,450.92,81.85,18.15,0.66,-111432000,8940000,0,-109186000,-109186000
(주)JB금융지주,175330,2021/12,2800542000,34.39,25.59,74.41,-5.56,196719000,0,0,0,128408000
(주)KB금융지주,105560,2021/12,28871379000,28.24,22.02,77.98,3.53,1346081000,0,0,0,1435420000
(주)MH에탄올,023150,2021/12,98740736,70.07,41.2,58.8,-10.5,2030480,0,0,3675428,3675428
(주)SH에너지화학,002360,2021/12,118423520,29.78,22.95,77.05,52.47,-2312274,0,0,721605,721605
(주)SIMPAC,009160,2021/12,796759604,62.24,38.36,61.64,80.4,45876785,0,0,80178305,80178305
(주)SNT에너지,100840,2021/12,322124195,31.22,23.79,76.21,-28.06,27963345,0,0,13710198,13710198
(주)SNT홀딩스,036530,2021/12,425705145,0.16,0.16,99.84,-25.34,16763142,0,0,16501190,16501190
(주)STX,011810,2021/12,389174000,547.76,84.56,15.44,-17.84,-6179000,0,0,7736000,7736000
(주)TCC스틸,002710,2021/12,308992347,142.17,58.71,41.29,26.1,6479414,0,0,23158320,23158320
(주)강원랜드,035250,2021/12,3817618525,17.49,14.89,85.11,64.9,215114775,0,0,-52800541,-52800541
(주)갤럭시아에스엠,011420,2021/12,40900713,23.75,19.19,80.81,47.9,1611959,0,0,3452415,3452415
(주)경농,002100,2021/12,312930580,46.13,31.57,68.43,5.5,21191387,1921882,0,14712953,14712953
(주)경동나비엔,009450,2021/12,667507445,84.94,45.93,54.07,27.44,68019725,13032947,28927166,46249999,46249999
(주)경동도시가스,267290,2021/12,901837037,141.35,58.57,41.43,34.1,138294611,0,0,26830709,26830709
