기업명,업종명,평가연도,총자산규모,부채비율,자기자본비율,매출액증가율,현금흐름,PBR,ESG_-,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_B이하,ESG_C,ESG_D,E_-,E_A,E_A+,E_B,E_B+,E_B+ 이하,E_C,E_D,S_-,S_A,S_A+,S_B,S_B+,S_B이하,S_C,S_D,G_-,G_A,G_A+,G_B,G_B+,G_B이하,G_C,G_D,배당률
광명전기,전기전자,2022,172178417000.0,44.85,69.04,0.84,-0.0044219751718172,1.315,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,일반배당기업
광전자,전기전자,2022,247855307000.0,8.89,91.84,-12.41,0.1130311618304501,0.7150000000000001,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,일반배당기업
광주신세계,유통업,2022,913454051000.0,15.64,86.48,8.77,0.3703157645975605,1.1849999999999998,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,고배당기업
교보증권,증권,2022,12149139534000.0,676.37,12.88,80.62,0.0173890048341598,0.2799999999999999,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,일반배당기업
교촌에프앤비,유통업,2022,304973383000.0,70.17,58.77,1.94,0.0055218838878924,2.285,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,일반배당기업
국도화학,화학,2022,1499093659000.0,74.68,57.25,1.56,0.079982272057817,0.615,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,일반배당기업
국동,유통업,2022,175008166000.0,60.48,62.31,45.34,0.0201109798408385,1.355,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,무배당기업
국보,운수창고업,2022,109959854000.0,155.2,39.19,5.58,0.0120618191039686,2.625,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,무배당기업
국제약품,의약품,2022,136592863000.0,84.39,54.23,5.71,0.0534564314091002,1.555,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,무배당기업
그린케미칼,화학,2022,196645335000.0,60.56,62.28,13.52,0.0577272293441491,2.1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,일반배당기업
극동유화,화학,2022,353076047000.0,71.97,58.15,28.78,-0.0013993905965986,0.815,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,일반배당기업
금강공업,철강금속,2022,1094801795000.0,144.26,40.94,27.76,0.0071176090597169,0.785,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,일반배당기업
금양,화학,2022,282778726000.0,131.91,43.12,-2.11,0.1769163024762695,14.15,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,무배당기업
금호건설,건설업,2022,1691163707000.0,211.25,32.13,-0.8,0.0229388715711967,0.64,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,일반배당기업
금호에이치티,운수장비,2022,426633825000.0,30.95,76.37,18.71,0.0265459683524972,1.195,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,무배당기업
금호전기,전기전자,2022,61814214000.0,381.44,20.77,10.51,-0.1782888714361611,7.529999999999999,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,무배당기업
금호타이어,화학,2022,4694985403000.0,277.24,26.51,36.83,-0.0728198892426835,1.98,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,무배당기업
기아,운수장비,2022,73710965000000.0,87.35,53.37,23.9,0.0727510587023798,1.335,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,고배당기업
까뮤이앤씨,건설업,2022,195489394000.0,146.99,40.49,19.22,-0.0631804254951972,1.915,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,일반배당기업
깨끗한나라,종이목재,2022,661046979000.0,173.9,36.51,4.79,-0.0126734958580344,0.675,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,무배당기업
남광토건,건설업,2022,345922884000.0,223.29,30.93,26.25,0.0597326607165017,1.11,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,무배당기업
남선알미늄,철강금속,2022,401195144000.0,30.84,76.43,11.03,-0.0258322681251253,1.765,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,무배당기업
남성,유통업,2022,271152129000.0,126.91,44.07,-4.09,-0.1718937855678172,0.78,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,일반배당기업
남양유업,음식료품,2022,902259070000.0,22.27,81.79,0.9,-0.0609885562105494,0.52,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,일반배당기업
남해화학,화학,2022,902896420000.0,72.97,57.81,49.43,-0.0431105195975863,1.24,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,일반배당기업
넥센,화학,2022,4726896214000.0,121.8,45.09,24.96,0.0177296572491626,0.39,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,일반배당기업
넥센타이어,화학,2022,3944336740000.0,147.1,40.47,24.91,-0.0447824791931217,0.4599999999999999,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,일반배당기업
넷마블,서비스업,2022,8935573716000.0,58.94,62.91,6.64,-0.1293132224148168,1.56,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,무배당기업
노루페인트,화학,2022,668177302000.0,89.46,52.78,3.05,0.0468301732688978,0.77,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,고배당기업
노루홀딩스,기타금융,2022,1171989378000.0,77.35,56.38,8.66,0.0031863632046788,0.5599999999999999,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,고배당기업
녹십자,의약품,2022,2525537081000.0,61.21,62.03,11.28,0.0482528628870021,1.805,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,일반배당기업
녹십자홀딩스,서비스업,2022,3592060735000.0,82.61,54.76,12.99,0.0055186112254706,1.74,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,고배당기업
농심,음식료품,2022,3034718536000.0,31.07,76.3,17.5,0.0407008379609326,0.92,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,고배당기업
농심홀딩스,기타금융,2022,1389130864000.0,28.95,77.55,5.16,0.0237346037000034,0.575,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,고배당기업
다스코,기계,2022,346117669000.0,141.66,41.38,4.09,0.0215381385066806,0.8899999999999999,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,무배당기업
다우기술,서비스업,2022,49260008743000.0,849.42,10.53,51.32,0.0102088662753742,1.525,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,고배당기업
다이나믹디자인,기계,2022,97847548000.0,100.33,49.92,9.9,-0.2551728233275323,8.700000000000001,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,무배당기업
대교,서비스업,2022,666723789000.0,64.87,60.65,7.0,0.0776307530860708,0.8500000000000001,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,일반배당기업
대구백화점,유통업,2022,470347263000.0,103.24,49.2,-7.21,-0.1871066231831469,0.455,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
대덕,기타금융,2022,1903351069000.0,28.24,77.98,21.16,0.0033241614019611,0.485,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,고배당기업
대덕전자,전기전자,2022,1191756988000.0,39.39,71.74,31.49,0.2161656939227197,1.65,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,고배당기업
대동,기계,2022,1713773206000.0,263.09,27.54,24.13,-0.0378226749921005,1.295,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,일반배당기업
대림통상,기계,2022,171792619000.0,113.86,46.76,12.16,0.0377509253196653,0.69,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,일반배당기업
대상,음식료품,2022,3190196448000.0,141.2,41.46,17.7,-0.0132854257145781,0.6799999999999999,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,고배당기업
대상홀딩스,기타금융,2022,4015327449000.0,158.2,38.73,24.27,0.0017365922620921,0.98,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,일반배당기업
대성산업,유통업,2022,1824588315000.0,190.96,34.37,65.73,-0.001563960857418,0.4399999999999999,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,무배당기업
대성에너지,전기가스업,2022,834489958000.0,165.94,37.6,32.51,0.0529127849126641,1.29,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,일반배당기업
대성홀딩스,서비스업,2022,1391346078000.0,130.05,43.47,33.25,0.005162319097417,4.735,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,일반배당기업
대신증권,증권,2022,13561139399000.0,561.73,15.11,27.76,0.0902964456865925,0.71,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,일반배당기업
대양금속,철강금속,2022,400877091000.0,129.73,43.53,0.0,0.0459175312864888,1.82,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,무배당기업
대영포장,종이목재,2022,247356883000.0,48.1,67.52,-6.21,0.0881597894744398,1.3250000000000002,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,무배당기업
대우건설,건설업,2022,11140353752000.0,199.1,33.43,19.97,-0.0511477877694305,0.81,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,무배당기업
대우조선해양,운수장비,2022,12235665305000.0,1542.43,6.09,8.33,-0.2181205144840944,3.86,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,무배당기업
대웅,기타금융,2022,2158905107000.0,68.73,59.27,12.3,0.0267364933126305,3.655,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,일반배당기업
대웅제약,의약품,2022,1563340614000.0,110.91,47.41,11.03,0.0722555587927104,3.925,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,일반배당기업
대원강업,운수장비,2022,1010418825000.0,68.96,59.18,18.82,0.0394342362460989,0.51,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,일반배당기업
대원전선,전기전자,2022,245958532000.0,168.52,37.24,18.41,0.0434112268275207,1.425,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,무배당기업
대원제약,의약품,2022,453550066000.0,82.32,54.85,35.21,0.0737686279094312,1.83,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,고배당기업
대원화성,화학,2022,130913447000.0,109.61,47.71,29.53,-0.066676807543799,2.17,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,무배당기업
대유에이텍,운수장비,2022,1375206765000.0,476.7,17.34,-15.21,0.0174550177110785,1.6349999999999998,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,무배당기업
대유플러스,전기전자,2022,543210277000.0,388.27,20.48,4.83,-0.0563092118879239,2.475,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,무배당기업
대창,철강금속,2022,840153818000.0,203.62,32.94,12.81,0.0149583954872056,0.725,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,무배당기업
대창단조,운수장비,2022,338228490000.0,39.53,71.67,18.92,0.081658140553654,0.495,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,일반배당기업
대한방직,섬유의복,2022,210639558000.0,55.74,64.21,-4.42,0.0088836609495156,2.04,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,무배당기업
대한유화,화학,2022,2195832516000.0,17.93,84.79,-11.64,-0.0227486981741228,0.5449999999999999,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,일반배당기업
대한전선,전기전자,2022,1620264871000.0,83.66,54.45,22.67,-0.0221725250431182,-4.365,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,무배당기업
대한제강,철강금속,2022,1220496810000.0,52.86,65.42,5.48,0.0200837955705848,0.665,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,고배당기업
대한제당,음식료품,2022,1219466296000.0,126.79,44.09,9.25,0.0058601244189143,0.835,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,일반배당기업
대한제분,음식료품,2022,1318431899000.0,43.41,69.73,23.11,-0.0400610559776096,0.365,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,고배당기업
대한항공,운수창고업,2022,28997701022000.0,212.06,32.05,56.33,0.3808455669412733,1.12,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,일반배당기업
대한해운,운수창고업,2022,4490260112000.0,151.68,39.73,39.71,0.1564849619116072,0.75,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,무배당기업
대한화섬,화학,2022,836764532000.0,17.2,85.33,28.56,0.0161406006614743,0.22,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,일반배당기업
대현,섬유의복,2022,297649820000.0,22.67,81.52,10.91,0.0681804885907304,0.475,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
대호에이엘,철강금속,2022,157016307000.0,107.63,48.16,21.36,0.0291067447648884,1.925,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,무배당기업
더블유게임즈,서비스업,2022,1235636098000.0,22.79,81.44,-1.09,0.0678123481499801,1.4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,고배당기업
