회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
(주)BNK금융지주,138930,2011/12,3249906091,,,,,124598364,0,0,0,122554731
(주)DB하이텍,000990,2011/12,1183957429,305.87,75.36,24.64,-9.96,61642286,0,0,-39983672,-35487273
(주)HJ중공업,097230,2011/12,5857119000,212.4,67.99,32.01,-15.3,-297988000,120656000,0,59453000,38436000
(주)KB금융지주,105560,2011/12,18510690000,4.48,4.29,95.71,-79.46,-68061000,0,0,0,-62362000
(주)MH에탄올,023150,2011/12,135927085,142.03,58.68,41.32,-0.23,4202371,0,0,6908187,6896119
(주)SH에너지화학,002360,2011/12,102383199,58.74,37,63,14.9,6995359,0,848663,4987642,4395254
(주)SIMPAC,009160,2011/12,296953131,90.56,47.52,52.48,18.43,18174973,0,0,27382839,28911382
(주)SNT에너지,100840,2011/12,276511841,72.18,41.92,58.08,-8.7,-17274075,0,0,-6597216,-6712851
(주)SNT홀딩스,036530,2011/12,388123974,0.07,0.07,99.93,9.15,9351556,0,0,-4240083,646164
(주)STX,011810,2011/12,3302248000,183.54,64.73,35.27,30.76,-108220000,0,0,61711000,61711000
(주)TCC스틸,002710,2011/12,407743559,98.3,49.57,50.43,10.88,-8210627,0,0,12575854,12785214
(주)강원랜드,035250,2011/12,2730283806,19.84,16.56,83.44,-3.79,428912416,0,22483778,501039825,501595380
(주)갤럭시아에스엠,011420,2011/12,40711969,65.9,39.72,60.28,-25.23,3957763,0,0,5151679,2830238
(주)경농,002100,2011/12,176741869,21.04,17.38,82.62,-15.6,14271710,0,0,8213288,7637153
(주)경동나비엔,009450,2011/12,224373470,56.61,36.15,63.85,14.37,12393396,4116538,0,12583280,10863671
(주)경동인베스트,012320,2011/12,941176098,127.94,56.13,43.87,40.11,90136711,0,0,55958306,53827583
(주)경방,000050,2011/12,1331930968,96.85,49.2,50.8,-0.71,-11592653,0,3576803,21404671,22576814
(주)경보제약,214390,2011/12,,,,,,,,,,
(주)경인양행,012610,2011/12,245825940,54.72,35.37,64.63,-13.62,10022891,0,0,1876257,1876257
(주)광명전기,017040,2011/12,99992644,75.46,43.01,56.99,-15.07,1814521,0,0,1483791,1483791
(주)광주신세계,037710,2011/12,380753715,22.74,18.53,81.47,5.69,58007847,0,0,58896505,58439344
(주)국동,005320,2011/12,42291817,1469.67,93.63,6.37,-9.5,-547564,0,0,-5805369,-336778
(주)국보,001140,2011/12,97415381,187.58,65.23,34.77,8.94,2837703,0,0,1856012,665907
(주)금비,008870,2011/09,134828296,75.94,43.16,56.84,24.66,3797084,0,460858,2521986,2521986
(주)금양,001570,2011/12,124086392,188.41,65.33,34.67,11.24,1114958,0,0,6136009,6126577
(주)금호에이치티,214330,2011/12,,,,,,,,,,
(주)까뮤이앤씨,013700,2011/12,248885092,440.08,81.48,18.52,-58.95,-20322130,0,0,-132765820,-127967901
(주)나이스홀딩스,034310,2011/12,329687222,27.9,21.82,78.18,98.29,4364308,0,0,8388023,8706349
(주)남선알미늄,008350,2011/12,224292636,413.17,80.51,19.49,11.64,-2094516,0,0,4913867,4168554
(주)남성,004270,2011/12,185361070,130.41,56.6,43.4,-15.71,197740,457779,0,4351800,3209905
(주)넥센,005720,2011/12,428934662,66.15,39.81,60.19,-3.24,17008153,0,0,13098285,10691019
(주)노루페인트,090350,2011/12,473071190,116.11,53.73,46.27,19.63,23786392,0,3713417,13011839,11482709
(주)노루홀딩스,000320,2011/12,253906367,37.02,27.02,72.98,3.22,4414019,0,335179,7933687,7887647
(주)녹십자,006280,2011/12,814582371,31.61,24.02,75.98,-11.65,53233256,0,0,82232270,77735510
(주)녹십자홀딩스,005250,2011/12,880446935,71.74,41.77,58.23,5.12,8858618,0,0,14023510,20082645
(주)농심,004370,2011/12,2170397253,46.81,31.89,68.11,3.98,112393944,0,67420685,110123858,98215717
(주)농심홀딩스,072710,2011/12,570464078,12.06,10.76,89.24,22.21,14359491,0,0,16326271,16326200
(주)다우기술,023590,2011/12,581257334,37.83,27.45,72.55,8.04,17163938,0,0,36029701,17398576
(주)다이나믹디자인,145210,2011/12,181460933,120.26,54.6,45.4,27.13,28607334,0,0,27305553,28455523
(주)대교,019680,2011/12,829834807,28.73,22.32,77.68,3.31,41760421,0,32344000,79347515,59986191
(주)대구백화점,006370,2011/03,504984223,32.86,24.73,75.27,9.28,42424149,0,25578355,31300282,31354381
(주)대덕,008060,2011/12,512463968,32.99,24.81,75.19,23.55,82291490,0,0,53974615,40907455
(주)대동,000490,2011/12,469760509,121.71,54.9,45.1,14.08,30245296,5537182,0,8261447,5806062
(주)대양금속,009190,2011/12,216928733,540.67,84.39,15.61,-32.09,7941415,0,0,-23353104,-23810704
(주)대우건설,047040,2011/12,8984781744,167.37,62.6,37.4,4.66,-61856669,19217000,44427000,364866381,341680696
(주)대웅,003090,2011/12,288431000,7.18,6.7,93.3,0,8715145,0,684923,11635369,12124793
(주)대웅제약,069620,2011/12,493208780,37.33,27.18,72.82,0,80115580,0,40479951,64726128,60343958
(주)대유에이텍,002880,2011/12,246556552,280.7,73.73,26.27,60.69,-21918663,0,0,12266705,13297920
(주)대유플러스,000300,2011/12,250262905,191.53,65.7,34.3,33.38,8963713,0,0,2217026,-587824
(주)대창,012800,2011/12,467584792,167.07,62.56,37.44,7.08,8679416,1800080,0,15658043,14984432
(주)대한항공,003490,2011/12,20222503363,824.92,89.19,10.81,4.67,1820213439,0,0,394096710,394096711
(주)대현,016090,2011/12,173743262,81.65,44.95,55.05,6.03,-2585299,0,0,11792258,10919209
(주)대호에이엘,069460,2011/12,124276183,190.4,65.56,34.44,3.06,8625782,429953,0,11856898,11417999
(주)더메디팜,118000,2011/12,58089712,250.91,71.5,28.5,15.04,1267777,0,2982142,-6769421,-5746318
