회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
(주)하이트론씨스템즈,019490,2017/12,58308305,77.1,43.53,56.47,-8.15,-11013859,0,0,-11013601,-11013601
(주)한국전자홀딩스,006200,2017/12,133278790,2.87,2.79,97.21,-8.95,-1132578,0,0,-1434640,-1434640
(주)한국종합기술,023350,2017/12,230798691,101.78,50.44,49.56,0.12,-11091184,0,0,-7252930,-7252930
(주)한국카본,017960,2017/12,364029443,12.92,11.44,88.56,-6.87,-15248839,0,0,4782791,4782791
(주)한국토지신탁,034830,2017/12,1145487054,70.56,41.37,58.63,38.91,-97754465,0,0,,167301758
(주)한국특강,007280,2017/12,344112520,456.78,82.04,17.96,40.08,810626,0,0,8506256,8506256
(주)한국화장품제조,003350,2017/12,69855872,47.07,32.01,67.99,3.43,-644736,0,0,2907883,2907883
(주)한농화성,011500,2017/12,165277180,52.41,34.39,65.61,15.28,2922585,0,0,7944428,7944428
(주)한독,002390,2017/12,663641903,98.33,49.58,50.42,4.34,9237018,7223098,11986423,2320303,2320303
(주)한미글로벌건축사사무소,053690,2017/12,134726362,35.31,26.1,73.9,5.53,8668323,0,0,5233315,5233315
(주)한샘,009240,2017/12,935683265,80.69,44.66,55.34,6.41,99819338,0,96111386,161936686,161936686
(주)한섬,020000,2017/12,1169590763,27.06,21.29,78.71,7.83,44652829,0,6204132,73256238,73256238
(주)한솔케미칼,014680,2017/12,497325653,66.25,39.85,60.15,8.25,63947909,0,0,60519796,60519796
(주)한솔홈데코,025750,2017/12,311097846,93.49,48.32,51.68,8.34,15099157,0,2480164,10103448,10103448
(주)한익스프레스,014130,2017/12,186368540,194.84,66.08,33.92,12.82,1647527,0,0,10331736,10331736
(주)한진,002320,2017/12,1921771772,130.62,56.64,43.36,1.76,33497990,0,0,12074513,12074513
(주)한진중공업홀딩스,003480,2017/12,426045000,3.87,3.72,96.28,-4.35,4226000,0,0,5744000,5744000
(주)한진칼,180640,2017/12,1923442122,28.72,22.31,77.69,-2.29,39063316,0,0,44665913,44665913
(주)한창,005110,2017/12,44974883,28.61,22.25,77.75,-5.14,308234,0,0,-3585758,-3585758
(주)한창제지,009460,2017/12,150932868,114.88,53.46,46.54,3.29,18315609,0,0,17510598,17510598
(주)한컴라이프케어,372910,2017/12,110913956,30.22,23.21,76.79,0,13858428,0,0,24249746,24249746
(주)한화,000880,2017/12,7479345461,132.68,57.02,42.98,-9.05,579104525,61684703,0,259099930,259099930
(주)현대리바트,079430,2017/12,677910642,63.28,38.76,61.24,20.74,21795305,0,0,47875118,47875118
(주)현대미포조선,010620,2017/12,3758029548,68.89,40.79,59.21,-29.08,-31041110,0,0,81585612,81585612
(주)현대백화점,069960,2017/12,4941793010,45.33,31.19,68.81,0.43,292391666,0,93355391,266114048,266114048
(주)현대지에프홀딩스,005440,2017/12,1619121356,22.79,18.56,81.44,-4.94,68555381,0,0,48911729,48911729
(주)현대퓨처넷,126560,2017/12,725309544,9.69,8.83,91.17,188,78650443,0,11959846,48159010,48159010
(주)현대홈쇼핑,057050,2017/12,1671130951,21.93,17.98,82.02,6.29,73685796,0,319964692,149943798,149943798
(주)형지엘리트,093240,2017/06,131726334,65.68,39.64,60.36,-9.01,5165508,0,597398,2108630,2108630
(주)혜인,003010,2017/12,223416189,136.91,57.79,42.21,11.92,-21846253,0,0,3765457,3765457
(주)호텔신라,008770,2017/12,2261641205,187.47,65.21,34.79,6.59,256360811,0,0,99426197,99426196
(주)화승엔터프라이즈,241590,2017/12,270034797,5.03,4.79,95.21,21.85,-6022736,0,0,42594824,42594824
(주)화승인더스트리,006060,2017/12,514052979,113.64,53.19,46.81,17.24,20183469,0,0,21795065,21795065
(주)화승코퍼레이션,013520,2017/12,708183879,162.92,61.97,38.03,-5.14,26316049,0,0,2900381,2900381
(주)화신,010690,2017/12,575544521,42.43,29.79,70.21,-10.08,30792123,2732456,0,-22350273,-22350273
(주)화인베스틸,133820,2017/12,215737385,116.53,53.82,46.18,-21.88,14631064,242570,0,4656974,4656974
(주)황금에스티,032560,2017/12,227603315,24.27,19.53,80.47,0.73,13215284,0,0,14405485,14405485
(주)효성,004800,2017/12,7844283138,125.82,55.72,44.28,6.72,616481366,0,0,415424693,415424693
(주)후성,093370,2017/12,285241565,58.02,36.72,63.28,29.54,52260553,0,0,37824351,37824351
(주)휠라홀딩스,081660,2017/12,666259924,75.43,43,57,11.85,22811093,0,11531311,1414941,1414941
