,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]배당금(*)(요약)(IFRS),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),ESG 통합등급,2011_E,2011_S,2011_G,평가연도,업종명,현금흐름,PBR
보해양조,890,2011/12,244226095000.0,0.0,375.72,21.02,0.45,C,B,C,C,2011,음식료품,0.1572811754543077,10.365
부광약품,3000,2011/03,251539303000.0,12994000000.0,26.55,79.02,5.74,B이하,B+,B이하,C,2011,의약품,0.18642061000658838,2.39
부국증권,1270,2011/03,652854503000.0,10370000000.0,72.37,58.01,44.74,B이하,B,B이하,C,2011,증권,0.6324608317818999,0.705
부국철강,26940,2011/12,144303661000.0,1500000000.0,43.83,69.52,-5.82,C,B,C,C,2011,철강금속,-0.030706492066047694,0.49
부산산업,11390,2011/12,108216597000.0,0.0,165.8,37.62,16.7,C,C,C,C,2011,비금속광물,0.20454589974589973,0.5800000000000001
부산주공,5030,2011/12,214468630000.0,829000000.0,368.37,21.35,14.24,B이하,B,B이하,B이하,2011,운수장비,0.045946621326860476,0.73
비상교육,100220,2011/12,179673049000.0,2502000000.0,44.64,69.14,18.75,B이하,B,B이하,C,2011,서비스업,0.061768453525282783,0.935
빙그레,5180,2011/12,493949047000.0,10610000000.0,24.41,80.38,0.0,B+,B,B+,C,2011,음식료품,0.0187825414843041,1.47
사조대림,3960,2011/12,358454161000.0,1925000000.0,138.05,42.01,35.76,B이하,B,B이하,C,2011,음식료품,-0.09850939251506194,0.9450000000000001
사조산업,7160,2011/12,1138408934000.0,989000000.0,234.89,29.86,21.09,B이하,B,B이하,C,2011,"농업, 임업 및 어업",-0.10730184032423837,1.435
사조오양,6090,2011/12,172615973000.0,0.0,153.95,39.38,8.62,C,B,C,C,2011,"농업, 임업 및 어업",0.07701564923574347,1.15
삼성SDI,6400,2011/12,8527410755000.0,67334000000.0,35.04,74.05,6.24,A+,B,A+,A+,2011,전기전자,0.06603550183486219,1.39
삼성공조,6660,2011/12,259963771000.0,521000000.0,59.22,62.81,41.18,C,B,C,B이하,2011,운수장비,0.08587591609573315,0.38
삼성엔지니어링,28050,2011/12,5188614818000.0,110872000000.0,295.07,25.31,75.03,B+,B+,B+,B이하,2011,서비스업,0.021561252919561652,7.755
삼성전기,9150,2011/12,7328861760000.0,58244000000.0,89.09,52.88,-13.45,A+,B+,A+,A+,2011,전기전자,0.12033489574183402,2.42
삼성전자,5930,2011/12,155631254000000.0,752195000000.0,52.81,65.44,6.71,A,A,A,A+,2011,전기전자,0.18969263477462092,1.735
삼성제약,1360,2011/12,87524733000.0,0.0,161.71,38.21,12.32,B이하,B,B이하,C,2011,의약품,-0.03737652850563761,0.8500000000000001
삼성중공업,10140,2011/12,16413939003000.0,108366000000.0,253.44,28.29,1.87,B이하,B,B이하,B+,2011,운수장비,0.10777795640579697,1.9049999999999998
삼성증권,16360,2011/03,15675659382000.0,80881000000.0,449.69,18.19,-0.7,A,A,A,B+,2011,증권,0.1565072683511626,1.945
삼성출판사,68290,2011/12,85801871000.0,990000000.0,21.46,82.33,0.61,B이하,B,B이하,C,2011,서비스업,0.14442526248581158,0.865
삼성카드,29780,2011/12,16135253273000.0,85724000000.0,163.16,38.0,-10.98,B+,B+,B+,C,2011,기타금융,-0.3958822938077532,1.05
삼아알미늄,6110,2011/12,185399645000.0,1100000000.0,70.94,58.5,2.66,C,B,C,B이하,2011,철강금속,-0.03024000531363073,2.25
삼양식품,3230,2011/12,321774390000.0,1130000000.0,104.3,48.95,9.58,B이하,B,B이하,C,2011,음식료품,0.07867281209180817,1.855
삼양통상,2170,2011/12,249832139000.0,2250000000.0,20.15,83.23,0.0,C,B,C,B이하,2011,기타제조업,0.029085597629487963,0.32499999999999996
삼영무역,2810,2011/12,240268361000.0,1011000000.0,28.06,78.09,0.0,B이하,B,B이하,C,2011,유통업,0.010865316888702856,0.59
삼익악기,2450,2011/12,351805364000.0,2116000000.0,143.33,41.1,0.27,B이하,B,B이하,C,2011,기타제조업,0.0014166161309884778,0.89
삼일제약,520,2011/12,121203013000.0,782000000.0,81.98,54.95,-4.05,B이하,B,B이하,C,2011,의약품,-0.04897764282259365,0.44
삼정펄프,9770,2011/12,161284262000.0,1920000000.0,27.57,78.39,15.67,B이하,B,B이하,C,2011,종이목재,0.11077041970880834,0.52
삼진제약,5500,2011/12,208103870000.0,2863000000.0,73.59,57.61,0.67,B이하,B+,B이하,C,2011,의약품,0.06280017446816948,1.1
삼천리,4690,2011/12,2445760692000.0,10690000000.0,114.15,46.7,12.77,B이하,B+,B이하,B이하,2011,전기가스업,0.030212229781751865,0.36
삼호개발,10960,2011/12,197762038000.0,1663000000.0,76.69,56.6,0.0,B이하,B,B이하,C,2011,건설업,0.025801496370864395,0.55
삼화왕관,4450,2011/12,122671950000.0,2046000000.0,25.32,79.8,10.24,B이하,B,B이하,B이하,2011,기계,0.11102958703034287,0.485
삼화전기,9470,2011/12,145593871000.0,331000000.0,270.74,26.97,-8.79,B이하,C,B이하,B이하,2011,전기전자,0.02571084001394214,1.275
상신브레이크,41650,2011/12,220883454000.0,2365000000.0,169.45,37.11,19.31,B이하,B,B이하,B이하,2011,운수장비,0.10520469951736659,1.4649999999999999
새론오토모티브,75180,2011/12,181333153000.0,3593000000.0,38.29,72.31,18.43,C,C,C,B이하,2011,운수장비,0.16913064524177854,0.7949999999999999
서원,21050,2011/12,388794060000.0,979000000.0,174.98,36.37,15.31,B이하,B,B이하,B이하,2011,철강금속,-0.044452989052146355,1.075
선도전기,7610,2011/12,101053375000.0,447000000.0,37.89,72.52,0.0,B이하,B,B이하,B이하,2011,전기전자,0.03569606758210072,0.625
성문전자,14910,2011/12,55202224000.0,371000000.0,48.93,67.15,10.33,B이하,C,B이하,B이하,2011,전기전자,0.03260867260049484,1.205
성보화학,3080,2011/12,100586249000.0,1201000000.0,16.98,85.48,16.98,C,B,C,C,2011,화학,0.08247428585297187,0.5549999999999999
성신양회,4980,2011/12,1151105428000.0,0.0,243.18,29.14,-6.9,B이하,B+,B이하,B이하,2011,비금속광물,-0.015113279295078812,0.23
성안,11300,2011/12,307479899000.0,0.0,208.84,32.38,12.63,B이하,C,B이하,C,2011,섬유의복,0.2776202939423121,0.625
성창기업지주,180,2011/12,307997635000.0,2888000000.0,137.15,42.17,8.1,B이하,C,B이하,B이하,2011,서비스업,0.8796710042640788,0.9450000000000001
세기상사,2420,2011/12,52280158000.0,0.0,68.76,59.25,-6.18,C,B,C,C,2011,서비스업,-0.07652015259578702,0.48
세방,4360,2011/12,908627879000.0,4052000000.0,55.72,64.22,10.62,B이하,B,B이하,B이하,2011,운수창고업,0.09510634234493238,0.755
세방전지,4490,2011/12,712634498000.0,4900000000.0,45.31,68.82,20.71,B이하,B,B이하,B이하,2011,전기전자,0.08697421561802841,1.19
세아홀딩스,58650,2011/12,3845130468000.0,6998000000.0,78.62,55.98,28.13,B이하,B,B이하,C,2011,서비스업,6.673549306345236,0.665
세우글로벌,13000,2011/12,31195672000.0,0.0,11.84,89.42,0.0,C,B,C,C,2011,유통업,0.1508582767555512,0.49
세종공업,33530,2011/12,637756161000.0,4479000000.0,131.95,43.11,20.14,B이하,B,B이하,B이하,2011,운수장비,-0.0009852813555441067,1.525
세하,27970,2011/12,190494276000.0,0.0,457.02,17.95,7.57,B이하,B,B이하,B이하,2011,종이목재,-0.013507767186966906,2.58
송원산업,4430,2011/12,870166000000.0,1440000000.0,216.4,31.61,12.92,B이하,B,B이하,B이하,2011,화학,0.03301299431624189,1.395
수산중공업,17550,2011/12,117248095000.0,1261000000.0,66.17,60.18,15.64,B이하,C,B이하,B이하,2011,기계,0.09070119073022918,1.275
신대양제지,16590,2011/12,421658812000.0,1795000000.0,87.01,53.47,15.67,B이하,C,B이하,B이하,2011,종이목재,0.08032587940516091,0.275
신도리코,29530,2011/12,980932781000.0,27039000000.0,16.96,85.5,4.63,B이하,C,B이하,B이하,2011,전기전자,0.12781398045571699,0.6599999999999999
신라교역,4970,2011/12,435062940000.0,3156000000.0,26.59,79.0,7.95,C,B,C,C,2011,"농업, 임업 및 어업",0.031576356335792324,0.7050000000000001
신성이엔지,11930,2011/12,415221081000.0,0.0,173.86,36.51,-15.88,B이하,C,B이하,C,2011,기계,-0.19263464954863765,1.695
