,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]배당금(*)(요약)(IFRS),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),ESG 통합등급,2011_E,2011_S,2011_G,평가연도,업종명,현금흐름,PBR
코오롱,2020,2011/12,3808664515000.0,6622000000.0,282.9,26.12,115.41,B이하,B,B이하,B이하,2011,서비스업,0.327637695007442,0.605
콤텍시스템,31820,2011/12,116722640000.0,0.0,131.87,43.13,13.48,B이하,B,B이하,C,2011,서비스업,0.026386119601849674,0.635
키움증권,39490,2011/03,4605545958000.0,17680000000.0,554.07,15.29,6.8,B이하,B,B이하,C,2011,증권,0.17902447274133995,1.75
태경산업,15890,2011/12,422190911000.0,4384000000.0,62.46,61.55,19.5,B이하,B,B이하,C,2011,화학,0.23410551110662212,0.75
태광산업,3240,2011/12,3834259530000.0,1473000000.0,49.15,67.05,21.3,B이하,B,B이하,B이하,2011,화학,0.2788519705375023,0.8049999999999999
태림포장,11280,2011/12,517230256000.0,1411000000.0,66.68,60.0,13.59,C,C,C,B이하,2011,종이목재,0.018967656116134542,0.31
태영건설,9410,2011/12,2936605061000.0,6563000000.0,154.83,39.24,29.22,C,B+,C,B이하,2011,건설업,0.12846868998145822,0.6799999999999999
태원물산,1420,2011/12,47711093000.0,699000000.0,65.02,60.6,18.86,C,B,C,C,2011,운수장비,0.08823218062982768,0.51
태평양물산,7980,2011/12,321869195000.0,828000000.0,195.77,33.81,0.0,B이하,B,B이하,C,2011,섬유의복,-0.01674579967797903,0.335
텔코웨어,78000,2011/12,111961617000.0,2044000000.0,25.49,79.69,11.75,B이하,B,B이하,C,2011,서비스업,0.2755221685649203,0.91
티에이치엔,19180,2011/12,138935629000.0,777000000.0,170.24,37.0,29.85,B이하,C,B이하,B이하,2011,전기전자,0.026175845271172372,0.63
파미셀,5690,2011/12,101152986000.0,0.0,22.14,81.88,42.47,C,C,C,C,2011,섬유의복,-1.6730214219186588,90.23
팜스코,36580,2011/12,496991334000.0,0.0,146.66,40.54,0.53,B이하,C,B이하,B이하,2011,음식료품,0.03863428800997229,0.65
퍼스텍,10820,2011/12,116424272000.0,0.0,69.69,58.93,6.51,B이하,B,B이하,C,2011,기계,0.056957419512493127,1.8199999999999998
퍼시스,16800,2011/12,348015874000.0,6857000000.0,18.75,84.21,0.0,B이하,B,B이하,B이하,2011,기타제조업,0.012219852867003876,1.185
페이퍼코리아,1020,2011/12,418284547000.0,0.0,253.3,28.3,13.37,B이하,C,B이하,C,2011,종이목재,-0.13780524303990568,6.36
평화산업,90080,2011/12,66945856000.0,0.0,235.22,29.83,0.0,B이하,B,B이하,B이하,2011,운수장비,-0.04454288372435773,1.4249999999999998
평화홀딩스,10770,2011/12,602375346000.0,1384000000.0,243.64,29.1,8.19,B이하,B,B이하,C,2011,서비스업,-0.8596790778431561,0.53
풍산,103140,2011/12,2626526476000.0,11205000000.0,178.48,35.91,6.41,B이하,B+,B이하,B+,2011,철강금속,0.003948338775647204,1.155
풍산홀딩스,5810,2011/12,581445901000.0,5518000000.0,21.79,82.11,-43.01,B이하,B,B이하,C,2011,서비스업,0.19693305736369,0.685
하나금융지주,86790,2011/12,178228882000000.0,72309000000.0,1102.55,8.32,-1.76,B+,A+,B+,B이하,2011,기타금융,-15.157799489866196,0.74
하이스틸,71090,2011/12,257771024000.0,204000000.0,111.85,47.2,57.78,B이하,B,B이하,C,2011,철강금속,-0.1004200186533844,0.44
하이트진로,80,2011/12,3573282814000.0,84718000000.0,151.06,39.83,28.81,C,B,C,B+,2011,음식료품,0.23803730353003766,1.71
한국가스공사,36460,2011/12,36010498709000.0,55183000000.0,347.67,22.34,25.3,A,A,A,B+,2011,전기가스업,-0.016629854051905073,0.42000000000000004
한국공항,5430,2011/12,395898225000.0,1529000000.0,43.12,69.87,9.27,B이하,C,B이하,B이하,2011,운수창고업,0.07936809210774015,0.535
한국내화,10040,2011/12,189906757000.0,1599000000.0,159.27,38.57,17.23,B이하,B,B이하,C,2011,비금속광물,0.18523976816113916,0.72
한국쉘석유,2960,2011/12,119139746000.0,19500000000.0,54.16,64.87,14.89,B이하,B,B이하,C,2011,화학,0.045164516969247996,4.975
한국전자홀딩스,6200,2011/12,277755785000.0,0.0,70.6,58.62,-8.44,B이하,B,B이하,C,2011,서비스업,-0.6881653362602275,0.24000000000000002
한국주강,25890,2011/12,83528606000.0,0.0,13.18,88.35,9.03,C,B,C,C,2011,기계,0.06779868960237763,0.5549999999999999
한국철강,104700,2011/12,1015150137000.0,8286000000.0,50.61,66.4,8.51,B+,B+,B+,C,2011,철강금속,0.04619415814799319,0.4
한국카본,17960,2011/12,276531776000.0,2187000000.0,49.03,67.1,-8.32,B이하,B,B이하,B이하,2011,기계,-0.11356685582878974,0.9299999999999999
한국화장품제조,3350,2011/12,43611977000.0,0.0,28.44,77.86,-38.67,B이하,C,B이하,C,2011,화학,-0.10364694355861222,0.65
한농화성,11500,2011/12,120129408000.0,1529000000.0,78.07,56.16,11.99,B이하,B,B이하,B이하,2011,화학,0.013818406393799951,0.845
한미반도체,42700,2011/12,204374193000.0,2491000000.0,20.37,83.08,-20.78,B이하,B+,B이하,C,2011,기계,-0.052671432630901995,1.12
한샘,9240,2011/12,394729625000.0,11265000000.0,95.0,51.28,13.69,B+,B,B+,B이하,2011,유통업,0.11354323960578587,2.3049999999999997
한섬,20000,2011/12,794253533000.0,10326000000.0,12.79,88.66,11.96,B이하,B,B이하,C,2011,섬유의복,0.11456095511448919,1.02
한성기업,3680,2011/12,165670477000.0,931000000.0,166.77,37.49,0.0,B이하,C,B이하,C,2011,음식료품,-0.005587384211820641,1.125
한세실업,105630,2011/12,513994136000.0,4000000000.0,172.43,36.71,14.75,B이하,B,B이하,C,2011,섬유의복,0.11208682676298087,1.45
한세예스24홀딩스,16450,2011/12,693150743000.0,2540000000.0,144.78,40.85,12.38,C,B,C,C,2011,서비스업,34.921836800468796,1.6949999999999998
한솔케미칼,14680,2011/12,321824251000.0,5044000000.0,111.37,47.31,21.64,B이하,B,B이하,B+,2011,화학,0.040794754919730246,1.465
한솔테크닉스,4710,2011/12,486477959000.0,0.0,160.39,38.4,-46.46,B이하,B,B이하,C,2011,전기전자,-0.023241787167973073,2.06
한솔홈데코,25750,2011/12,262213173000.0,0.0,161.3,38.27,21.88,C,C,C,B이하,2011,종이목재,0.021260243003223038,0.5800000000000001
한신공영,4960,2011/12,1290922344000.0,1414000000.0,301.74,24.89,-17.01,C,B,C,B이하,2011,건설업,-0.03900338191414214,0.325
한양증권,1750,2011/03,733994802000.0,9925000000.0,181.72,35.5,14.42,B+,B+,B+,B이하,2011,증권,-0.8163349508644444,0.5
한올바이오파마,9420,2011/12,105455816000.0,0.0,107.99,48.08,-17.96,B+,B,B+,C,2011,의약품,0.08453605390983102,10.915000000000001
한익스프레스,14130,2011/12,83431553000.0,0.0,390.54,20.39,0.0,B이하,B,B이하,B이하,2011,운수창고업,0.0003988147404426217,2.085
한일철강,2220,2011/12,377986500000.0,0.0,113.79,46.78,13.49,C,C,C,B이하,2011,철강금속,0.06836284843292355,0.2
한진,2320,2011/12,1793121990000.0,4721000000.0,133.73,42.78,9.99,B이하,B,B이하,C,2011,운수창고업,0.06064969446684191,0.44999999999999996
한진중공업홀딩스,3480,2011/12,1980735000000.0,6522000000.0,52.21,65.7,0.1,B이하,B+,B이하,C,2011,서비스업,-3.56140094855892,0.32
한창,5110,2011/12,32875105000.0,0.0,61.15,62.05,0.0,B이하,C,B이하,C,2011,유통업,0.2577031884964051,0.96
한창제지,9460,2011/12,154596738000.0,0.0,255.98,28.09,6.0,B이하,B,B이하,C,2011,종이목재,0.07039964695607248,0.67
한화,880,2011/12,15029730755000.0,31325000000.0,197.1,33.66,-15.8,B이하,A,B이하,B+,2011,화학,0.1218145584462991,1.37
한화손해보험,370,2011/03,5244988326000.0,0.0,1418.02,6.59,0.0,B이하,B+,B이하,B이하,2011,보험,-0.006762364544113203,1.68
현대건설,720,2011/12,11871889261000.0,55732000000.0,172.07,36.75,4.77,A,B+,A,A,2011,건설업,-0.015414060910369901,1.87
현대글로비스,86280,2011/12,3826579602000.0,56250000000.0,156.52,38.98,30.83,B+,B,B+,B이하,2011,운수창고업,0.0363560030986607,5.07
현대모비스,12330,2011/12,22575648000000.0,167236000000.0,63.66,61.1,18.75,A,B+,A,B+,2011,운수장비,0.13593010688962073,2.9299999999999997
현대미포조선,10620,2011/12,7824563657000.0,39181000000.0,129.55,43.56,11.74,B+,B,B이하,C,2011,운수장비,-0.139117440869505,1.02
현대백화점,69960,2011/12,4720062645000.0,14973000000.0,63.19,61.28,13.26,B+,B+,B+,C,2011,유통업,0.3614619359893642,1.7650000000000001
현대비앤지스틸,4560,2011/12,622203431000.0,0.0,142.53,41.23,0.0,B이하,B,B이하,B이하,2011,철강금속,0.023745459139203902,1.2550000000000001
현대제철,4020,2011/12,21776708194000.0,42143000000.0,138.81,41.87,49.09,A,B+,A,B+,2011,철강금속,0.05253320416261984,1.0699999999999998
혜인,3010,2011/12,199424354000.0,1315000000.0,78.6,55.99,0.0,B이하,C,B이하,C,2011,유통업,0.01505932030239052,0.8
호텔신라,8770,2011/12,1385303349000.0,11831000000.0,130.33,43.42,23.06,B이하,B,B이하,B이하,2011,유통업,0.011883578852984635,2.225
화성산업,2460,2011/12,486925661000.0,0.0,135.18,42.52,2.16,B+,B+,B+,C,2011,건설업,0.11907535989187094,0.21
화신,10690,2011/12,887893456000.0,3492000000.0,144.45,40.91,7.21,B이하,C,B이하,C,2011,운수장비,0.11829859830998934,2.04
화천기계,10660,2011/12,194379195000.0,1980000000.0,85.39,53.94,32.84,B이하,B,B이하,B이하,2011,기계,0.023238547563350854,0.67
화천기공,850,2011/12,312696483000.0,2750000000.0,49.46,66.91,52.12,B이하,B,B이하,C,2011,기계,0.03644610890104426,0.63
환인제약,16580,2011/12,166109686000.0,3817000000.0,10.85,90.21,4.13,B이하,B,B이하,C,2011,의약품,0.1373468905608258,0.995
황금에스티,32560,2011/12,257748613000.0,1800000000.0,62.19,61.65,15.22,B이하,B,B이하,C,2011,철강금속,0.009427300048151161,0.535
효성,4800,2011/12,13623189543000.0,33269000000.0,360.19,21.73,11.78,B이하,B+,B이하,B+,2011,화학,-0.058948199590555306,0.9950000000000001
후성,93370,2011/12,308040011000.0,0.0,140.7,41.55,26.01,B이하,C,B이하,B이하,2011,화학,0.09323555159004057,4.8100000000000005
휴스틸,5010,2011/12,536914288000.0,6919000000.0,40.52,71.16,11.36,C,B,C,B이하,2011,철강금속,0.09367193725976092,0.385
흥아해운,3280,2011/12,530943511000.0,487000000.0,368.79,21.33,12.78,B이하,B,B이하,C,2011,운수창고업,-0.008712544302518931,0.705
