종목명,2014_E,2014_S,2014_G,2015_E,2015_S,2015_G,Diff_E,Diff_S,Diff_G,업종명
한국카본,B,B이하,B이하,C,B이하,B이하,,,,기계
한국콜마,C,B이하,B이하,C,B이하,B이하,,,,화학
한국콜마홀딩스,C,B이하,B이하,B,B이하,B이하,,,,기타금융
한국항공우주,B+,B이하,B+,B,B이하,B+,,,,운수장비
한국화장품,C,B이하,B이하,C,B이하,B이하,,,,유통업
한국화장품제조,B,B이하,B이하,B,B이하,B이하,,,,화학
한농화성,B,B이하,B이하,B,B이하,B이하,,,,화학
한독,B+,B이하,B+,B,B+,B이하,,,,의약품
한미글로벌,B,B이하,B이하,B,B이하,B이하,,,,서비스업
한미반도체,B,B이하,B이하,C,B이하,B이하,,,,기계
한미사이언스,B,B이하,B이하,B,B이하,B이하,,,,기타금융
한미약품,B+,B+,B+,C,B+,B+,,,,의약품
한샘,B+,B이하,B이하,B+,B이하,B이하,,,,유통업
한섬,B,B이하,B이하,B,B이하,B이하,,,,섬유의복
한성기업,C,B이하,B이하,C,B이하,B이하,,,,음식료품
한세실업,B+,B이하,B이하,B+,B이하,B이하,,,,섬유의복
한세엠케이,B,B이하,B이하,B,B이하,B이하,,,,유통업
한세예스24홀딩스,B,B이하,B이하,B,B이하,B이하,,,,섬유의복
한솔로지스틱스,C,B이하,B이하,C,B이하,B이하,,,,운수창고업
한솔케미칼,B+,B이하,B+,B+,B이하,B+,,,,화학
한솔테크닉스,B,B이하,B이하,C,B이하,B이하,,,,전기전자
한솔홀딩스,B,B+,B+,B,B이하,B이하,,,,기타금융
한솔홈데코,C,B이하,B+,C,B+,B+,,,,종이목재
한신공영,B,B이하,B이하,B,B이하,B이하,,,,건설업
한양증권,B,B이하,B이하,B+,B이하,B이하,,,,증권
한온시스템,C,B+,B+,C,B이하,B+,,,,기계
한올바이오파마,B,B이하,B이하,B,B이하,B이하,,,,의약품
한익스프레스,B,B이하,B이하,B,B이하,B이하,,,,운수창고업
한일시멘트,B,B이하,B+,B,B+,B+,,,,비금속광물
한일철강,C,B이하,B이하,C,B이하,B이하,,,,철강금속
한전KPS,B,B+,B+,B,B+,B+,,,,건설업
한전기술,B,B이하,B+,B,B이하,B+,,,,서비스업
한전산업,B,B이하,B이하,B,B이하,B이하,,,,서비스업
한진,C,B이하,B이하,C,B이하,B이하,,,,운수창고업
한진중공업홀딩스,B+,B이하,B이하,B,B이하,B이하,,,,전기가스업
한창,D,B이하,B이하,D,B이하,B이하,,,,유통업
한창제지,B,B이하,B이하,C,B이하,B이하,,,,종이목재
한화,B+,A,B+,B+,B+,A,,,,화학
한화생명,A,B이하,B이하,A,A,B이하,,,,보험
한화손해보험,B+,B이하,B이하,B,B+,B이하,,,,보험
한화투자증권,B,B이하,B이하,B,B이하,B이하,,,,증권
현대건설,B+,B+,A,B,B+,A,,,,건설업
현대그린푸드,B+,B이하,B이하,B+,B이하,B이하,,,,유통업
현대글로비스,B+,B이하,B이하,B,B이하,B+,,,,운수창고업
현대리바트,B,B이하,B이하,B+,B이하,B이하,,,,기타제조업
현대모비스,B+,A,A,C,B+,B+,,,,운수장비
현대미포조선,B+,A,A,B+,B+,A,,,,운수장비
현대백화점,B+,B+,B이하,B+,B+,B이하,,,,유통업
현대비앤지스틸,C,B이하,B+,B,B이하,B+,,,,철강금속
현대약품,B+,B이하,B+,B+,B이하,B이하,,,,의약품
현대위아,B,B+,B+,B+,B+,B+,,,,운수장비
현대제철,B+,A,B+,B,B+,B+,,,,철강금속
현대해상,A,A,B+,A,A,B이하,,,,보험
현대홈쇼핑,B+,B이하,B이하,A,B이하,B이하,,,,유통업
형지엘리트,C,B이하,B이하,C,B이하,B이하,,,,섬유의복
혜인,B,B이하,B이하,C,B이하,B이하,,,,유통업
호텔신라,C,B이하,B이하,B,B이하,B+,,,,유통업
화성산업,B+,B이하,B이하,B+,B+,B이하,,,,건설업
화승알앤에이,C,B이하,B+,C,B이하,B+,,,,운수장비
화신,B,B이하,B이하,C,B이하,B이하,,,,운수장비
화천기계,B,B이하,B이하,C,B이하,B이하,,,,기계
화천기공,B,B이하,B이하,B,B이하,B이하,,,,기계
환인제약,B+,B이하,B이하,B,B이하,B이하,,,,의약품
황금에스티,B,B이하,B이하,B,B이하,B이하,,,,철강금속
효성,B,B+,B이하,C,B+,B+,,,,기타금융
후성,C,B이하,B이하,C,B이하,B+,,,,화학
휴비스,C,B이하,B이하,C,B이하,B이하,,,,화학
휴스틸,B,B이하,B+,B,B이하,B+,,,,철강금속
흥국화재,B,B이하,B이하,B+,B이하,B이하,,,,보험
흥아해운,B,B이하,B이하,B,B이하,B이하,,,,운수창고업
