,종목명,2014_E,2014_S,2014_G,2015_E,2015_S,2015_G,Diff_E,Diff_S,Diff_G,업종명,2014_종가,2015_종가,등락률,연도
456,현대비앤지스틸,1.0,1.5,3.0,2.0,1.5,3.0,1.0,0.0,0.0,철강금속,17350,10350,-0.4034582132564842,"14,15년"
457,현대약품,3.0,1.5,3.0,3.0,1.5,1.5,0.0,0.0,-1.5,의약품,2525,3790,0.500990099009901,"14,15년"
458,현대위아,2.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,운수장비,184500,133500,-0.2764227642276423,"14,15년"
459,현대제철,3.0,4.0,3.0,2.0,3.0,3.0,-1.0,-1.0,0.0,철강금속,68100,52100,-0.23494860499265785,"14,15년"
460,현대해상,4.0,4.0,3.0,4.0,4.0,1.5,0.0,0.0,-1.5,보험,28250,33950,0.20176991150442478,"14,15년"
461,현대홈쇼핑,3.0,1.5,1.5,4.0,1.5,1.5,1.0,0.0,0.0,유통업,136000,122000,-0.10294117647058823,"14,15년"
462,혜인,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,유통업,3580,3540,-0.0111731843575419,"14,15년"
463,호텔신라,1.0,1.5,1.5,2.0,1.5,3.0,1.0,0.0,1.5,유통업,100500,110000,0.0945273631840796,"14,15년"
464,화성산업,3.0,1.5,1.5,3.0,3.0,1.5,0.0,1.5,0.0,건설업,11950,17200,0.4393305439330544,"14,15년"
465,화승알앤에이,1.0,1.5,3.0,1.0,1.5,3.0,0.0,0.0,0.0,운수장비,31100,40950,0.3167202572347267,"14,15년"
466,화신,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,운수장비,8680,5880,-0.3225806451612903,"14,15년"
467,화천기계,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,기계,32750,30000,-0.08396946564885496,"14,15년"
468,화천기공,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기계,68800,62200,-0.09593023255813954,"14,15년"
469,환인제약,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,의약품,24600,20700,-0.15853658536585366,"14,15년"
470,황금에스티,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,철강금속,5120,5920,0.15625,"14,15년"
471,효성,2.0,3.0,1.5,1.0,3.0,3.0,-1.0,0.0,1.5,기타금융,63500,117000,0.84251968503937,"14,15년"
472,후성,1.0,1.5,1.5,1.0,1.5,3.0,0.0,0.0,1.5,화학,2495,4175,0.6733466933867736,"14,15년"
473,휴비스,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,화학,12300,8490,-0.3097560975609756,"14,15년"
474,휴스틸,2.0,1.5,3.0,2.0,1.5,3.0,0.0,0.0,0.0,철강금속,16650,17900,0.07507507507507508,"14,15년"
475,흥국화재,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,보험,3860,4010,0.038860103626943004,"14,15년"
476,흥아해운,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,운수창고업,2190,1935,-0.11643835616438356,"14,15년"
