,종목명,2021_E,2021_S,2021_G,2022_E,2022_S,2022_G,Diff_E,Diff_S,Diff_G,업종명,2021_종가,2022_종가,등락률,연도
0,AJ네트웍스,1.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,서비스업,5590,5870,0.05008944543828265,"21,22년"
1,AK홀딩스,3.0,4.0,4.0,3.0,5.0,3.0,0.0,1.0,-1.0,기타금융,26500,11300,-0.5735849056603773,"21,22년"
2,BGF,5.0,6.0,5.0,5.0,6.0,3.0,0.0,0.0,-2.0,기타금융,5540,3265,-0.41064981949458484,"21,22년"
3,BGF리테일,5.0,6.0,5.0,5.0,6.0,5.0,0.0,0.0,0.0,유통업,161500,186500,0.15479876160990713,"21,22년"
4,BNK금융지주,5.0,6.0,6.0,5.0,5.0,5.0,0.0,-1.0,-1.0,기타금융,8800,6410,-0.2715909090909091,"21,22년"
5,BYC,1.0,3.0,4.0,1.0,1.0,1.0,0.0,-2.0,-3.0,섬유의복,436000,367500,-0.15711009174311927,"21,22년"
6,CJ,4.0,6.0,5.0,4.0,5.0,4.0,0.0,-1.0,-1.0,기타금융,95800,71800,-0.25052192066805845,"21,22년"
7,CJ CGV,3.0,6.0,4.0,3.0,4.0,4.0,0.0,-2.0,0.0,서비스업,31950,13500,-0.5774647887323944,"21,22년"
8,CJ대한통운,5.0,6.0,5.0,4.0,6.0,3.0,-1.0,0.0,-2.0,운수창고업,142000,87900,-0.38098591549295774,"21,22년"
9,CJ씨푸드,2.0,4.0,4.0,2.0,3.0,3.0,0.0,-1.0,-1.0,음식료품,3885,2655,-0.3166023166023166,"21,22년"
10,CJ제일제당,5.0,6.0,5.0,5.0,5.0,4.0,0.0,-1.0,-1.0,음식료품,380000,414000,0.08947368421052632,"21,22년"
11,CS홀딩스,1.0,2.0,4.0,1.0,1.0,3.0,0.0,-1.0,-1.0,기타금융,64900,55400,-0.14637904468412943,"21,22년"
12,DB,1.0,4.0,4.0,1.0,3.0,4.0,0.0,-1.0,0.0,서비스업,1020,754,-0.2607843137254902,"21,22년"
