회사명,거래소코드,회계년도,종합등급,환경,사회,지배구조,한국ESG연구소,Moody's,MSCI,S&P
한국화장품,,2020,B,D,B+,B,-,-,-,-
한국화장품제조,,2020,C,D,B,B,-,-,-,-
한농화성,,2020,C,C,C,B,-,-,-,-
한독,,2020,B+,B+,B+,B,-,-,-,-
한미글로벌,,2020,B+,B,B+,B+,-,-,-,-
한미반도체,,2020,C,D,C,B,-,-,-,-
한미사이언스,,2020,B,B,B,B,-,-,-,-
한미약품,,2020,A,B+,A+,B+,-,-,BB,-
한샘,,2020,B+,B+,A+,B,-,-,-,-
한섬,,2020,A,B+,A,A,-,-,-,-
한성기업,,2020,C,D,B,C,-,-,-,-
한세실업,,2020,B,C,B,B+,-,-,-,-
한세엠케이,,2020,C,C,C,B,-,-,-,-
한세예스24홀딩스,,2020,B,C,B,B,-,-,-,-
한솔로지스틱스,,2020,B+,B,B+,A,-,-,-,-
한솔제지,,2020,A,A,A,A,-,-,-,-
한솔케미칼,,2020,B+,B,B+,B+,-,-,-,-
한솔테크닉스,,2020,B+,B+,B+,A,-,-,-,-
한솔피엔에스,,2020,A,B+,B+,A,-,-,-,-
한솔홀딩스,,2020,A,B+,A,A,-,-,-,-
한솔홈데코,,2020,B+,B,B+,A,-,-,-,-
한신공영,,2020,C,C,B,B,-,-,-,-
한신기계공업,,2020,C,B,C,C,-,-,-,-
한양증권,,2020,C,D,B+,C,-,-,-,-
한온시스템,,2020,B,B,B,B+,-,-,BBB,-
한올바이오파마,,2020,B,D,B+,B,-,-,-,-
한익스프레스,,2020,C,B,C,D,-,-,-,-
한일시멘트,,2020,B,C,B+,B,-,-,-,-
한일철강,,2020,D,D,D,C,-,-,-,-
한일현대시멘트,,2020,B+,B,B+,B+,-,-,-,-
한일홀딩스,,2020,B,D,B+,B+,-,-,-,-
한전KPS,,2020,B+,B+,A,B+,-,-,-,-
한전기술,,2020,B+,B+,A,B+,-,-,-,-
한전산업,,2020,B+,B,B+,B+,-,-,-,-
한진,,2020,B,B,C,B+,-,-,-,-
한진중공업홀딩스,,2020,B,D,C,B+,-,-,-,-
한진칼,,2020,B+,B,B,A,-,-,-,-
한창,,2020,C,D,B,C,-,-,-,-
한창제지,,2020,B,B,C,B,-,-,-,-
한화,,2020,A,B+,A,A,-,-,BBB,-
한화생명,,2020,A,A,A+,B+,-,-,B,-
한화손해보험,,2020,B+,B,A,B,-,-,-,-
한화솔루션,,2020,B+,A,A,B,-,-,BBB,-
한화시스템,,2020,-,-,-,-,-,-,-,-
한화에어로스페이스,,2020,A,A,A,A,-,-,-,-
한화투자증권,,2020,B+,B,A,B+,-,-,-,-
해성디에스,,2020,A,A,A,A,-,-,-,-
해태제과식품,,2020,B,D,B+,B,-,-,-,-
핸즈코퍼레이션,,2020,B,B,B,B+,-,-,-,-
현대건설,,2020,A,A+,A,A,-,-,B,-
현대건설기계,,2020,A,B+,A,A,-,-,-,-
현대그린푸드,,2020,A,B+,A,A,-,-,-,-
현대글로비스,,2020,A,A,A+,A,-,-,BB,-
현대두산인프라코어,,2020,A,A,A+,A,-,-,-,-
현대로템,,2020,B+,B,A,B+,-,-,-,-
현대리바트,,2020,A,B,A,A,-,-,-,-
현대모비스,,2020,A,B+,A+,A,-,-,B,-
현대미포조선,,2020,A,A,A+,A,-,-,-,-
현대백화점,,2020,A,B+,A,A,-,-,CCC,-
현대비앤지스틸,,2020,B+,B+,A,B+,-,-,-,-
현대약품,,2020,B,B,B+,B,-,-,-,-
현대에너지솔루션,,2020,-,-,-,-,-,-,-,-
현대엘리베이터,,2020,A,B+,A,A,-,-,-,-
현대오토에버,,2020,-,-,-,-,-,-,-,-
현대위아,,2020,A,A,A+,A,-,-,-,-
현대일렉트릭,,2020,A,A,A+,A,-,-,-,-
현대자동차,,2020,A,A,A+,A,-,-,B,-
현대제철,,2020,B+,B+,B,B+,-,-,CCC,-
현대중공업,,2020,-,-,-,-,-,-,-,-
현대차증권,,2020,A,B,A+,A,-,-,-,-
현대코퍼레이션,,2020,B,D,B,B,-,-,-,-
현대코퍼레이션홀딩스,,2020,C,D,C,B,-,-,-,-
현대퓨처넷,,2020,B+,C,A,A,-,-,-,-
현대해상,,2020,A,B+,A,A,-,-,A,-
현대홈쇼핑,,2020,A,A,A,A,-,-,-,-
형지엘리트,,2020,C,D,B,C,-,-,-,-
혜인,,2020,C,B,C,C,-,-,-,-
호전실업,,2020,C,D,C,B+,-,-,-,-
호텔신라,,2020,A,A,A,A,-,-,BB,-
화성산업,,2020,B,C,B,B+,-,-,-,-
화승엔터프라이즈,,2020,B+,B+,B,A,-,-,-,-
화승인더스트리,,2020,B,B,B,B+,-,-,-,-
화승코퍼레이션,,2020,B+,B+,B,B+,-,-,-,-
화신,,2020,C,D,B+,B,-,-,-,-
화인베스틸,,2020,B,B,C,B,-,-,-,-
화천기계,,2020,C,B,B,C,-,-,-,-
화천기공,,2020,C,D,C,B,-,-,-,-
환인제약,,2020,B,D,B+,B+,-,-,-,-
황금에스티,,2020,D,D,C,C,-,-,-,-
효성,,2020,B+,A,A+,B,-,-,-,-
효성 ITX,,2020,B+,C,B+,B+,-,-,-,-
효성중공업,,2020,A,A,A+,A,-,-,-,-
효성첨단소재,,2020,A+,A+,A+,A,-,-,-,-
효성티앤씨,,2020,A+,A+,A+,A,-,-,-,-
효성화학,,2020,A+,A+,A+,A,-,-,-,-
후성,,2020,C,B,C,C,-,-,-,-
휠라홀딩스,,2020,B+,B,B+,B+,-,-,BB,-
휴니드테크놀러지스,,2020,C,C,B,B,-,-,-,-
휴비스,,2020,B+,B+,B+,B+,-,-,-,-
휴스틸,,2020,C,B,B,C,-,-,-,-
흥국화재,,2020,B,D,A,B,-,-,-,-
흥아해운,,2020,D,D,C,D,-,-,-,-
