,종목명,2016_E,2016_S,2016_G,2017_E,2017_S,2017_G,Diff_E,Diff_S,Diff_G,업종명,2016_종가,2017_종가,등락률,연도
318,영진약품,2.0,1.5,1.5,1.0,3.0,1.5,-1.0,1.5,0.0,의약품,8750,8890,0.016,"16,17년"
319,영풍,,1.5,1.5,1.0,1.5,3.0,,0.0,1.5,철강금속,995000,1113000,0.1185929648241206,"16,17년"
320,영풍제지,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,종이목재,2900,2575,-0.11206896551724138,"16,17년"
321,영화금속,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,운수장비,1685,1490,-0.11572700296735905,"16,17년"
322,오뚜기,,3.0,1.5,,3.0,1.5,,0.0,0.0,음식료품,658000,759000,0.1534954407294833,"16,17년"
323,오리엔트바이오,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,의약품,1670,1160,-0.30538922155688625,"16,17년"
324,우리종금,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,기타금융,686,557,-0.1880466472303207,"16,17년"
325,우신시스템,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,기계,3805,8640,1.2706964520367936,"16,17년"
326,우진,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,의료정밀,6530,5870,-0.10107197549770292,"16,17년"
327,우진플라임,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기계,5860,9990,0.7047781569965871,"16,17년"
328,웅진,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,서비스업,2680,2315,-0.13619402985074627,"16,17년"
329,웅진씽크빅,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,서비스업,9530,6920,-0.2738719832109129,"16,17년"
330,원림,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,섬유의복,26200,23650,-0.09732824427480916,"16,17년"
331,윌비스,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,유통업,2750,1730,-0.3709090909090909,"16,17년"
332,유니드,1.0,1.5,3.0,2.0,1.5,1.5,1.0,0.0,-1.5,화학,46700,46250,-0.009635974304068522,"16,17년"
333,유니온,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,비금속광물,3865,3900,0.009055627425614488,"16,17년"
334,유니켐,1.0,1.5,1.5,3.0,1.5,1.5,2.0,0.0,0.0,기타제조업,1680,1425,-0.15178571428571427,"16,17년"
335,유니퀘스트,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,유통업,4925,7120,0.44568527918781725,"16,17년"
336,유성기업,3.0,1.5,3.0,2.0,1.5,3.0,-1.0,0.0,0.0,운수장비,4040,3715,-0.08044554455445545,"16,17년"
337,유수홀딩스,2.0,1.5,1.5,3.0,3.0,1.5,1.0,1.5,0.0,서비스업,6260,6490,0.036741214057507986,"16,17년"
338,유안타증권,4.0,1.5,1.5,4.0,1.5,1.5,0.0,0.0,0.0,증권,3140,3375,0.07484076433121019,"16,17년"
339,유엔젤,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,서비스업,5450,4020,-0.26238532110091745,"16,17년"
340,유유제약,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,의약품,10200,11350,0.11274509803921569,"16,17년"
341,유한양행,3.0,1.5,3.0,2.0,1.5,3.0,-1.0,0.0,0.0,의약품,210000,204000,-0.02857142857142857,"16,17년"
342,유화증권,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,증권,15700,17650,0.12420382165605096,"16,17년"
343,율촌화학,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,화학,13550,16650,0.22878228782287824,"16,17년"
344,이건산업,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,종이목재,11350,8070,-0.2889867841409692,"16,17년"
345,이구산업,3.0,1.5,3.0,2.0,1.5,3.0,-1.0,0.0,0.0,철강금속,2000,2305,0.1525,"16,17년"
346,이마트,1.0,1.5,4.0,3.0,4.0,3.0,2.0,2.5,-1.0,유통업,162500,224000,0.37846153846153846,"16,17년"
347,이수페타시스,,4.0,3.0,1.0,3.0,3.0,,-1.0,0.0,전기전자,4175,4425,0.059880239520958084,"16,17년"
348,이수화학,2.0,1.5,1.5,2.0,3.0,3.0,0.0,1.5,1.5,화학,15500,17150,0.1064516129032258,"16,17년"
349,이스타코,1.0,1.5,1.5,,1.5,1.5,,0.0,0.0,서비스업,1675,706,-0.5785074626865672,"16,17년"
350,이아이디,,1.5,1.5,1.0,1.5,1.5,,0.0,0.0,유통업,729,350,-0.5198902606310014,"16,17년"
351,이연제약,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,의약품,25500,36100,0.41568627450980394,"16,17년"
352,이월드,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,기타제조업,1900,1830,-0.03684210526315789,"16,17년"
353,이화산업,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,유통업,20100,16850,-0.16169154228855723,"16,17년"
354,인디에프,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,섬유의복,2800,1240,-0.5571428571428572,"16,17년"
355,인스코비,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,통신업,2085,1695,-0.18705035971223022,"16,17년"
356,인지컨트롤스,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,운수장비,5010,6030,0.20359281437125748,"16,17년"
357,인천도시가스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,전기가스업,31300,30600,-0.022364217252396165,"16,17년"
358,인터지스,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,운수창고업,3305,2990,-0.09531013615733737,"16,17년"
359,인팩,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,운수장비,6630,4805,-0.27526395173454,"16,17년"
360,일동홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,의약품,27300,14450,-0.4706959706959707,"16,17년"
361,일성건설,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,건설업,9100,1065,-0.8829670329670329,"16,17년"
362,일성신약,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,의약품,113500,137500,0.21145374449339208,"16,17년"
