종목명,2021_종가,2022_종가
미래산업,13800,8560
미래아이앤지,540,302
미래에셋생명,4275,2650
미래에셋증권,8680,6350
미원상사,207500,169500
미원에스씨,215500,167500
미원홀딩스,139000,115000
미원화학,80100,60300
방림,2710,7050
백광산업,5620,4445
백산,7920,8620
범양건영,7690,3170
벽산,3660,1945
보락,2080,1435
보해양조,988,628
부광약품,13050,7550
부국증권,24650,18050
부국철강,4755,3250
부산산업,123500,63200
부산주공,615,641
비비안,3050,1255
비상교육,8450,5860
비케이탑스,3640,904
빙그레,55700,37300
사조대림,27800,23750
사조동아원,1270,1045
사조산업,47700,41700
사조씨푸드,5220,4690
사조오양,9740,7640
삼부토건,2080,1365
삼성SDI,734000,737000
삼성공조,16400,10700
삼성물산,114000,118500
삼성바이오로직스,871000,877000
삼성생명,67300,67400
삼성에스디에스,153000,125000
삼성엔지니어링,24800,23850
삼성전기,159000,121000
삼성전자,69800,59400
삼성제약,5840,2720
삼성중공업,6380,5150
삼성증권,47350,31750
삼성출판사,34350,24850
삼성카드,34250,30900
삼아알미늄,26550,28000
삼양사,68300,37100
삼양식품,81800,111000
삼양통상,64000,50100
삼양패키징,26350,15900
삼양홀딩스,103000,61900
삼영무역,15550,12950
삼원강재,3295,2570
삼익THK,11950,11550
삼익악기,1820,1180
삼일씨엔에스,10500,6050
삼일제약,8090,7400
삼정펄프,30250,24650
삼진제약,25750,25200
삼천리,94400,279000
삼호개발,5090,3880
삼화왕관,43650,35600
삼화전기,28850,15450
상상인증권,1250,824
상신브레이크,4515,2725
새론오토모티브,5500,4805
샘표,44000,49850
샘표식품,46150,31400
서연,15650,5220
서연이화,7710,7130
서원,2135,1285
서흥,47850,33550
선도전기,4750,3000
선진,12950,7950
성문전자,2635,1625
성보화학,4280,2970
성신양회,11100,9530
성안,787,985
성창기업지주,2545,1860
세기상사,6160,7100
세방,12450,16450
세방전지,81800,38950
세아제강,103000,139000
세아제강지주,125500,135500
세아특수강,15750,20800
세아홀딩스,111000,101500
세우글로벌,2810,1305
세원이앤씨,1095,852
세원정공,8090,8090
세이브존I&C,3190,2575
세종공업,10950,4625
세진중공업,6500,5730
세하,1860,1160
센트랄모텍,28750,13000
셀트리온,200500,192000
솔루스첨단소재,82300,33600
송원산업,17900,17250
수산중공업,2650,2675
시디즈,66800,42500
신대양제지,87500,82800
신도리코,32850,32200
신라교역,12850,11150
신성이엔지,2360,1890
신성통상,3600,2360
신세계,248000,212500
신세계건설,38100,16300
신세계인터내셔날,168000,23550
신세계푸드,90400,47900
신송홀딩스,5390,8110
신영와코루,117500,11500
신영증권,62700,55300
신원,3430,1540
신일전자,1940,1765
신풍제약,51800,21650
신한지주,38250,36300
신흥,16000,14850
쌍방울,738,376
써니전자,3950,2265
쎌마테라퓨틱스,6410,6410
씨아이테크,988,825
씨에스윈드,69400,58800
아남전자,2365,1850
아모레퍼시픽,181500,92700
아세아,124500,109000
아세아시멘트,136000,9270
아세아제지,45900,36600
아센디오,3310,926
아시아나IDT,20300,10650
아시아나항공,22550,10350
아이마켓코리아,10950,10300
아이에스동서,45200,31550
알루코,3995,2515
애경산업,22200,11000
에넥스,2445,880
에스엘,32750,30750
에스원,83300,62400
에쓰씨엔지니어링,3830,1885
에어부산,2730,1950
에이블씨엔씨,7680,4380
에이엔피,2095,1880
에이플러스에셋,10450,5480
엔씨소프트,627000,390000
엔케이,1125,890
영보화학,4260,3335
영원무역,44650,47300
영원무역홀딩스,47000,54100
영진약품,4690,2720
영풍,686000,630000
영풍제지,7090,9240
영화금속,1980,899
영흥,1080,705
예스코홀딩스,38100,31650
오뚜기,481000,441500
오리엔트바이오,1335,615
오리온,118000,101500
오리온홀딩스,16000,14300
와이투솔루션,2440,605
용평리조트,6300,3040
우리금융지주,13250,11750
우신시스템,6810,2615
우진,9660,8400
우진아이엔에스,7900,5450
우진플라임,4435,3715
웅진,2415,1130
웅진씽크빅,3345,2280
원림,20900,20000
웰바이오텍,1825,1290
윌비스,1895,726
유니드,116500,77000
유니온,6950,5330
유니온머티리얼,3575,3060
유니켐,1385,1140
유니퀘스트,10300,8370
유성기업,3375,2645
유수홀딩스,5970,6900
유안타증권,4490,2405
유엔젤,5580,2890
유유제약,7420,6070
유한양행,59900,59800
유화증권,2770,2285
율촌화학,22000,32600
이건산업,14200,7480
이구산업,3890,3025
이노션,58800,40150
이마트,168000,84600
이수페타시스,4130,5890
이수화학,15200,25200
이스타코,3280,1020
이아이디,387,1000
이엔플러스,3460,4980
이연제약,55500,19200
이월드,2435,1565
이화산업,16600,15100
인디에프,1700,725
인바이오젠,3700,630
인스코비,3280,1530
인지컨트롤스,16800,8000
인천도시가스,28500,27750
인터지스,3630,2680
인팩,15850,6380
일동제약,14050,27500
일동홀딩스,13600,24000
일성건설,6120,2285
일성신약,77400,106500
일신방직,114500,104000
일신석재,2770,1135
일양약품,29800,17800
일정실업,23000,20500
일진다이아,37850,15750
일진디스플,3465,1170
일진머티리얼즈,100500,60600
일진전기,5730,4375
일진홀딩스,6680,4015
잇츠한불,21550,14300
자이에스앤디,9540,6100
자화전자,18650,18650
전방,41900,71000
제이에스코퍼레이션,25450,14150
제이준코스메틱,1150,421
제일기획,23850,24450
제일약품,34000,17850
제일연마,8890,8150
제일파마홀딩스,17400,9470
제주은행,6300,7650
제주항공,21900,9970
조광페인트,8390,7550
조광피혁,61500,49000
조비,26600,14800
조선내화,88000,76500
조선선재,109000,107000
조일알미늄,2375,2340
조흥,207000,185500
종근당,117500,84000
종근당바이오,42100,21800
종근당홀딩스,81900,52500
주연테크,1155,689
지누스,78100,31300
지엠비코리아,6450,4855
지역난방공사,41300,26150
지투알,6320,5870
진도,3335,2555
진양산업,6770,6810
진양홀딩스,3230,3005
진양화학,4380,3755
진에어,21050,13150
진원생명과학,25050,7390
진흥기업,2100,1230
참엔지니어링,1260,866
천일고속,68800,60700
체시스,1350,910
카카오,125500,50700
카카오뱅크,63100,17100
카프로,4145,2205
컨버즈,4100,4100
케이비아이동국실업,1015,619
케이씨,22850,15500
케이씨텍,22450,15100
코리아써키트,15750,14350
코리안리,9660,7350
코스맥스,124000,45800
코스맥스비티아이,17450,7640
코스모신소재,42050,67100
코스모화학,15500,25200
코아스,1290,787
코오롱,35300,22600
코오롱글로벌,26000,13400
코오롱인더,89200,43500
코오롱플라스틱,16250,9730
코웨이,79400,55300
콤텍시스템,930,626
쿠쿠홀딩스,22500,16250
쿠쿠홈시스,43500,28700
큐로,504,326
크라운제과,10300,8140
크라운해태홀딩스,8870,6090
키다리스튜디오,17250,6250
키움증권,105000,80800
태경비케이,5680,5190
태경산업,6440,6450
태경케미컬,13400,10000
태광산업,1000000,703000
태림포장,4180,2525
태영건설,11100,4200
태원물산,5360,4260
태평양물산,2720,1200
테이팩스,72400,57600
텔코웨어,11200,8650
토니모리,6850,3260
티에이치엔,4260,3735
티와이홀딩스,27150,10550
티웨이항공,4010,1550
티웨이홀딩스,1270,480
파미셀,12450,10200
팜스코,6080,3675
팜젠사이언스,11800,7540
팬오션,6020,4300
퍼스텍,2125,3025
퍼시스,39050,27400
페이퍼코리아,1750,1140
평화산업,2115,1255
평화홀딩스,4995,2925
포스코인터내셔널,21700,20650
포스코케미칼,145500,199500
풀무원,17050,10250
풍산,33100,26100
풍산홀딩스,28500,25500
하나금융지주,45000,41250
하나제약,20550,14300
하나투어,83700,49850
하이브,335000,121000
하이스틸,3440,3565
하이트진로,34800,25650
하이트진로홀딩스,14850,10100
한국가스공사,44300,34800
한국공항,47000,36550
한국금융지주,87000,49550
한국내화,4010,2805
한국쉘석유,279000,249000
한국앤컴퍼니,16700,12850
한국자산신탁,4410,2900
한국전자홀딩스,1635,1200
한국조선해양,103000,72700
한국종합기술,7420,6980
한국주강,6000,2425
한국철강,8990,5820
한국카본,12550,11100
한국콜마,44650,34250
한국콜마홀딩스,23050,13800
한국타이어앤테크놀로지,41350,36550
한국토지신탁,2340,1365
한국특강,2940,2130
한국항공우주,30550,47350
한국화장품,10200,6020
한국화장품제조,31550,18000
한농화성,19650,13600
한독,23650,16200
한미글로벌,10650,39650
한미반도체,32150,11800
한미사이언스,57000,32050
한미약품,264000,253000
한샘,101500,37450
한섬,42150,25100
한성기업,6610,5090
한세실업,23200,14750
한세엠케이,5290,3005
한세예스24홀딩스,7970,4620
한솔로지스틱스,4740,2585
한솔제지,14400,13650
한솔케미칼,329000,185500
한솔테크닉스,6760,5200
한솔홀딩스,3790,3160
한솔홈데코,2000,1055
한신공영,19050,8820
한양증권,17800,8680
한온시스템,14400,7800
한올바이오파마,20400,14200
한익스프레스,6050,4500
한일시멘트,19300,11300
한일철강,3235,2910
한일현대시멘트,34350,18200
한일홀딩스,13950,10100
한전KPS,41850,31900
한전기술,70900,49650
한전산업,16700,8010
한진,34650,19300
한진중공업홀딩스,4540,3780
한진칼,54800,39800
한창,1140,861
한창제지,2050,1490
한화,33500,25400
한화생명,3475,2185
한화손해보험,4515,3680
한화솔루션,40850,47200
한화시스템,16400,11150
한화에어로스페이스,45000,66300
한화투자증권,5540,2460
해성디에스,43500,38000
해태제과식품,8310,5880
핸즈코퍼레이션,5530,2950
현대건설,50300,34900
현대건설기계,40250,43000
현대그린푸드,9680,6510
현대글로비스,167500,174000
현대로템,22500,24350
현대리바트,15850,8420
현대모비스,252000,219000
현대미포조선,75700,91800
현대백화점,82800,54100
현대비앤지스틸,16700,10400
현대약품,5930,5010
현대에너지솔루션,22950,58900
현대오토에버,116500,118500
현대위아,84100,61100
현대일렉트릭,22100,34350
현대제철,44450,28100
현대중공업,117000,109000
현대차증권,12650,9220
현대코퍼레이션,18400,16200
현대코퍼레이션홀딩스,12950,10150
현대퓨처넷,4705,2640
현대해상,26250,33300
현대홈쇼핑,70100,44800
형지엘리트,3925,1455
혜인,6200,6210
호전실업,13800,7250
호텔신라,87400,65000
