업종명,종목명,2017_E,2017_S,2017_G,2018_E,2018_S,2018_G,Diff_E,Diff_S,Diff_G,2017_종가,2018_종가,등락률,연도
1차 산업,동원수산,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,8920,8990,0.0078475336322869,"17,18년"
1차 산업,사조산업,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,73100,50000,-0.3160054719562243,"17,18년"
1차 산업,신라교역,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,15350,12600,-0.1791530944625407,"17,18년"
건설업,GS건설,3.0,4.0,4.0,3.0,3.0,4.0,0.0,-1.0,0.0,26000,41750,0.6057692307692307,"17,18년"
건설업,까뮤이앤씨,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,10050,1050,-0.8955223880597015,"17,18년"
건설업,남광토건,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,6700,13700,1.044776119402985,"17,18년"
건설업,대우건설,3.0,4.0,4.0,3.0,5.0,4.0,0.0,1.0,0.0,7350,4525,-0.3843537414965986,"17,18년"
건설업,동아지질,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,13050,13150,0.0076628352490421,"17,18년"
건설업,범양건영,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,11600,1290,-0.8887931034482759,"17,18년"
건설업,삼호개발,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,4250,4300,0.0117647058823529,"17,18년"
건설업,신세계건설,3.0,1.5,1.5,3.0,3.0,1.5,0.0,1.5,0.0,28150,23700,-0.1580817051509769,"17,18년"
건설업,에쓰씨엔지니어링,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,3745,1570,-0.5807743658210948,"17,18년"
건설업,일성건설,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,1065,1125,0.056338028169014,"17,18년"
건설업,진흥기업,2.0,3.0,3.0,1.0,1.5,1.5,-1.0,-1.5,-1.5,1990,1770,-0.1105527638190954,"17,18년"
건설업,코오롱글로벌,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,9800,5920,-0.3959183673469387,"17,18년"
건설업,태영건설,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,8580,9480,0.1048951048951049,"17,18년"
건설업,한신공영,1.0,1.5,1.5,2.0,3.0,1.5,1.0,1.5,0.0,16050,15750,-0.0186915887850467,"17,18년"
건설업,한전KPS,2.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,0.0,41300,27500,-0.3341404358353511,"17,18년"
