,업종명,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,평가연도,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
CS홀딩스,서비스업,188753459000.0,15.95,86.25,30.53,2011,2.8252153338224506,0.39,C,B,C,C,0.0
KISCO홀딩스,서비스업,779731867000.0,14.21,87.56,5.37,2011,2.9343513823939618,0.325,C,B+,C,C,2753000000.0
LG이노텍,전기전자,4409966704000.0,232.87,30.04,10.95,2011,0.06755646407824693,1.7599999999999998,A,B+,A,A,0.0
MH에탄올,음식료품,134206851000.0,214.54,31.79,-18.64,2011,0.004138681232207744,0.36,C,B,C,B이하,0.0
OCI,화학,7205013146000.0,93.68,51.63,28.71,2011,0.4032830914326689,3.0250000000000004,A,A,A,A,52469000000.0
SH에너지화학,화학,104710740000.0,60.5,62.31,14.99,2011,0.03371980226103165,0.575,B이하,C,B이하,C,0.0
SIMPAC,기계,310879328000.0,84.02,54.34,18.47,2011,0.08616090766267043,1.1600000000000001,B이하,C,B이하,C,2702000000.0
SK이노베이션,서비스업,35026880858000.0,136.16,42.34,27.27,2011,1.7835591056783253,1.57,A,A+,A,C,261001000000.0
STX,유통업,5234175000000.0,173.19,36.6,47.5,2011,0.013370642668310732,1.265,B+,B+,B+,B+,14671000000.0
STX엔진,기계,3513992968000.0,243.28,29.13,9.1,2011,-0.07843057369583005,1.0,A,B,A,A,7169000000.0
가온전선,전기전자,509900791000.0,96.1,51.0,31.52,2011,-0.01900328380033797,0.315,C,B,C,B이하,1964000000.0
강원랜드,서비스업,2711401782000.0,20.11,83.25,-3.66,2011,0.33065123123394036,2.81,B이하,B+,B이하,C,184734000000.0
경농,화학,173774102000.0,21.53,82.28,0.0,2011,0.1173129928434166,0.535,B이하,B,B이하,B이하,1468000000.0
경동나비엔,전기전자,263211016000.0,56.57,63.87,11.09,2011,0.04868128532782018,1.8050000000000002,B이하,B,B이하,B이하,1247000000.0
경방,섬유의복,1352324332000.0,114.76,46.56,2.59,2011,-0.053118975002447895,0.355,B이하,B,B이하,C,0.0
경인양행,화학,319596954000.0,81.29,55.16,-12.89,2011,0.07644958355346987,0.755,B이하,B,B이하,B이하,1845000000.0
경인전자,전기전자,63394446000.0,14.26,87.52,0.0,2011,0.2503898173939957,0.44999999999999996,C,B,C,C,698000000.0
계양전기,기계,170610595000.0,23.1,81.24,21.23,2011,0.01244561617134575,0.81,B이하,B,B이하,C,1637000000.0
고려산업,음식료품,124894379000.0,122.77,44.89,0.0,2011,0.025180874239637857,0.36,B이하,C,B이하,C,724000000.0
고려아연,철강금속,4606179546000.0,31.21,76.21,44.77,2011,0.1871966933206411,2.1350000000000002,B이하,B+,B이하,B이하,88371000000.0
고려제강,철강금속,1823262406000.0,43.36,69.75,8.42,2011,0.19466791248565626,0.635,B이하,C,B이하,C,4549000000.0
광동제약,의약품,321682097000.0,28.92,77.57,8.39,2011,0.08834831611303157,0.72,B이하,C,B이하,B이하,2132000000.0
광명전기,전기전자,123886511000.0,96.84,50.8,-10.75,2011,0.03045478539884074,2.105,C,B,C,B이하,0.0
광전자,전기전자,350230397000.0,54.0,64.94,15.28,2011,0.061120434387011716,1.02,C,C,C,B이하,0.0
광주신세계,유통업,380753715000.0,22.74,81.47,5.69,2011,0.2641354695055871,0.91,B+,B+,B+,B이하,2000000000.0
교보증권,증권,4586430100000.0,727.7,12.08,162.71,2011,0.25907503614695465,0.59,B+,C,B이하,C,3568000000.0
국도화학,화학,567444580000.0,79.85,55.6,9.39,2011,0.11802187381347064,1.1300000000000001,B이하,B,B이하,B이하,4648000000.0
국동,유통업,68162305000.0,1069.25,8.55,1.4,2011,-0.009625483281217219,1.755,B이하,B,B이하,C,0.0
국보,운수창고업,98869465000.0,186.86,34.86,10.01,2011,0.027470893030725668,0.535,B이하,B,B이하,B이하,50000000.0
국제약품,의약품,142910369000.0,93.46,51.69,0.0,2011,-0.01316912145489993,0.61,B이하,B,B이하,B이하,1046000000.0
극동유화,화학,195932757000.0,111.54,47.27,27.49,2011,-0.02599579515063944,0.64,B이하,B,B이하,B이하,2441000000.0
금강공업,철강금속,431242593000.0,123.63,44.72,8.13,2011,0.123683612104939,0.39,B이하,B,B이하,C,1124000000.0
금양,화학,130817841000.0,189.58,34.53,6.9,2011,-0.0068214607754734,0.87,C,B,C,C,840000000.0
금호전기,전기전자,549343934000.0,103.37,49.17,-17.14,2011,-0.05956531396872785,0.83,B이하,B,B이하,B이하,2663000000.0
깨끗한나라,종이목재,442025037000.0,322.33,23.68,13.87,2011,0.057631450542720064,1.185,B이하,B,B이하,B+,0.0
남광토건,건설업,883710234000.0,0.0,0.0,-2.51,2011,0.07280433464415968,0.0,B이하,C,B이하,B이하,0.0
남선알미늄,철강금속,259574975000.0,249.67,28.6,11.64,2011,-0.0069264973827010265,2.33,C,C,C,B이하,0.0
남성,유통업,222934371000.0,157.95,38.77,-14.28,2011,0.05772696153010215,0.335,C,C,C,C,839000000.0
남양유업,음식료품,1012073856000.0,23.58,80.92,17.18,2011,-0.0022315848627151714,0.855,C,B,C,C,857000000.0
남해화학,화학,631030361000.0,71.86,58.19,32.94,2011,-0.013286115216919107,1.9300000000000002,B이하,B,B이하,B이하,882000000.0
넥센,화학,521959112000.0,63.37,61.21,12.82,2011,0.07625620299811575,0.8700000000000001,B이하,B,B이하,C,1074000000.0
넥센타이어,화학,1902240724000.0,236.65,29.7,24.49,2011,-0.012084681869505709,2.86,B이하,C,B이하,B이하,6027000000.0
노루페인트,화학,490240264000.0,118.78,45.71,19.61,2011,0.0699030782595663,0.315,B이하,B,B이하,B이하,3069000000.0
노루홀딩스,서비스업,787102842000.0,116.98,46.09,16.97,2011,1.368888098817602,0.535,C,B,C,C,4170000000.0
녹십자,의약품,860353832000.0,36.5,73.26,0.0,2011,0.07849214012414397,2.585,B이하,B,B이하,B이하,15166000000.0
녹십자홀딩스,서비스업,4603216704000.0,413.89,19.46,-2.95,2011,3.415685032193573,8.11,B이하,B,B이하,C,10954000000.0
농심,음식료품,2270287656000.0,49.44,66.92,4.23,2011,0.061259017925737534,1.015,B이하,B,B이하,B이하,23131000000.0
농심홀딩스,서비스업,989299514000.0,41.39,70.72,7.46,2011,0.675851135790005,0.52,B이하,B,B이하,C,9276000000.0
다우기술,서비스업,4235093248000.0,292.92,25.45,2.61,2011,-0.3716729363464396,1.095,B이하,C,B이하,C,5550000000.0
대교,서비스업,858490568000.0,33.35,74.99,3.16,2011,0.04934494315030166,1.11,B이하,A,B이하,C,14234000000.0
대구백화점,유통업,504984223000.0,32.86,75.27,9.28,2011,0.2368542500628088,0.335,B이하,B+,B이하,B이하,3159000000.0
대림통상,기계,267062895000.0,80.77,55.32,1.77,2011,0.033921028197234034,0.47,B이하,C,B이하,B이하,1827000000.0
대상,음식료품,1565601613000.0,186.17,34.94,21.22,2011,0.021621218267041803,0.83,B이하,B,B이하,B이하,3616000000.0
대상홀딩스,서비스업,576988559000.0,38.99,71.95,140.74,2011,1.7686653008962867,0.365,C,B,C,C,5578000000.0
대성홀딩스,서비스업,941567070000.0,105.3,48.71,20.73,2011,0.9035404169403294,0.835,C,B,C,C,3218000000.0
대신증권,증권,9561512936000.0,463.71,17.74,28.28,2011,0.0793882242860789,0.84,B이하,A,B이하,C,59768000000.0
대양금속,철강금속,213532161000.0,600.95,14.27,-32.13,2011,0.055685031982358336,1.88,C,C,C,C,0.0
대영포장,종이목재,225413474000.0,126.19,44.21,35.31,2011,-0.016720763117726044,0.41500000000000004,B이하,C,B이하,B이하,0.0
대우건설,건설업,9468578921000.0,177.49,36.04,4.56,2011,-0.015127459376347439,1.49,B이하,B,B이하,B이하,0.0
대우조선해양,운수장비,16530738032000.0,287.28,25.82,1.29,2011,0.00018487830885825473,1.53,B+,B+,B+,A,0.0
대웅,서비스업,476954187000.0,41.91,70.47,0.0,2011,0.22876981596710713,0.675,B이하,B,B이하,C,4499000000.0
대웅제약,의약품,498461064000.0,37.54,72.71,0.0,2011,0.11154554845940595,1.225,B+,B,B이하,C,7783000000.0
대원강업,운수장비,955647662000.0,134.75,42.6,20.91,2011,0.04922629821211595,1.21,B이하,C,B이하,B이하,6704000000.0
대원전선,전기전자,216443383000.0,218.57,31.39,0.0,2011,0.06366057958351537,0.76,C,C,C,B이하,0.0
대원제약,의약품,140388079000.0,35.1,74.02,-4.02,2011,0.13001422470981447,0.8500000000000001,B이하,B+,B이하,C,1276000000.0
대원화성,화학,108431492000.0,182.14,35.44,12.29,2011,-0.00224693747084334,0.9,C,B,C,B이하,0.0
대유에이텍,운수장비,362524758000.0,383.91,20.66,68.41,2011,-0.05685824457588792,2.48,B이하,C,B이하,B이하,1277000000.0
대창,철강금속,485259912000.0,167.75,37.35,6.58,2011,0.012021683525994512,0.975,B이하,C,B이하,B이하,0.0
대창단조,운수장비,148832447000.0,77.83,56.23,29.25,2011,0.07445652694681616,1.095,C,C,C,B이하,2000000000.0
대한방직,섬유의복,272312547000.0,214.47,31.8,-5.23,2011,-0.006997500550578019,0.35,C,B,C,C,0.0
대한유화,화학,1271667971000.0,65.44,60.45,10.59,2011,0.014987602615164802,1.04,B이하,B,B이하,B이하,9264000000.0
대한전선,전기전자,3522892708000.0,985.62,9.21,2.1,2011,-0.00464064633238178,2.485,C,B,C,B이하,0.0
대한제강,철강금속,794943509000.0,141.34,41.44,12.73,2011,-0.004471163552991577,0.605,B+,B,B이하,B이하,2205000000.0
대한제당,음식료품,1595832317000.0,286.17,25.9,6.76,2011,0.0021043752311427698,0.81,B이하,B,B이하,C,2755000000.0
대한제분,음식료품,845150369000.0,51.24,66.12,3.41,2011,0.022053095725576767,0.49,B이하,B,B이하,C,5339000000.0
대한항공,운수창고업,22388342727000.0,708.55,12.37,5.4,2011,0.1715528587965963,2.3,A,B+,A,A,0.0
대한화섬,화학,467635475000.0,34.11,74.56,33.41,2011,0.00914365762338914,0.38,B이하,C,B이하,B이하,842000000.0
대현,섬유의복,173743262000.0,81.65,55.05,6.03,2011,-0.013176183680750216,1.2599999999999998,C,B+,C,C,974000000.0
대호에이엘,철강금속,133330219000.0,223.24,30.94,7.33,2011,0.025090404639055455,2.145,C,B,C,B이하,0.0
더존비즈온,서비스업,167409573000.0,158.94,38.62,-1.45,2011,0.2629960402911498,6.1850000000000005,B이하,B,B이하,C,0.0
덕성,화학,89763557000.0,57.61,63.45,-18.16,2011,-0.05217092553949194,0.855,C,B,C,C,317000000.0
덕양산업,운수장비,254048937000.0,272.5,26.85,39.98,2011,0.027771195178534165,1.02,C,C,C,C,16002000000.0
동국제강,철강금속,10152885174000.0,222.55,31.0,8.43,2011,-0.03691568431916681,0.765,B이하,B+,B이하,B이하,45434000000.0
동남합성,화학,62255155000.0,40.66,71.09,19.76,2011,-0.06867851467759471,0.88,C,C,C,C,204000000.0
동방,운수창고업,585961449000.0,373.6,21.11,6.83,2011,0.02832878664839534,0.605,B이하,B,B이하,B이하,569000000.0
동방아그로,화학,149857220000.0,32.57,75.43,0.0,2011,0.14577623277476354,0.845,B이하,B,B이하,C,2295000000.0
동부건설,건설업,2570902478000.0,509.14,16.42,-1.07,2011,0.17985416053686804,0.45,B이하,B+,B이하,B이하,0.0
동성제약,의약품,124577132000.0,106.93,48.32,9.06,2011,-0.033697980673618726,0.495,B이하,B,B이하,C,530000000.0
동아지질,건설업,202921027000.0,60.38,62.35,-22.15,2011,-0.03915316907000381,1.21,B이하,B,B이하,B이하,1978000000.0
동양,비금속광물,3633466665000.0,927.33,9.73,50.57,2011,-0.13617303697217226,2.205,B이하,B,B이하,C,0.0
동양고속,운수창고업,290833249000.0,117.97,45.88,47.16,2011,0.13779881008159692,0.45,B이하,B,B이하,C,2960000000.0
