,업종명,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,평가연도,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
AJ네트웍스,서비스업,2081316853000.0,386.87,20.54,18.79,2016,-0.7622758560161977,6.46,B이하,C,B이하,B이하,0.0
BNK금융지주,기타금융,93482189322000.0,1219.04,7.58,-5.05,2016,-8.62904699272613,0.63,A,A+,B+,B이하,74962000000.0
CS홀딩스,서비스업,293927435000.0,12.23,89.1,-11.39,2016,9.280109558412521,0.63,B이하,C,B이하,B이하,574000000.0
JB금융지주,기타금융,45798925000000.0,1445.27,6.47,5.12,2016,-10.862464694997241,0.6000000000000001,B이하,A+,B이하,B이하,7772000000.0
KISCO홀딩스,서비스업,1493955210000.0,17.27,85.27,-2.7,2016,7.96873088918151,0.43,B이하,B,B이하,B이하,2753000000.0
LG이노텍,전기전자,4323719058000.0,143.11,41.13,-6.25,2016,0.062346433265097735,1.475,A,A,A+,A,5916000000.0
MH에탄올,음식료품,72339673000.0,13.77,87.89,-2.96,2016,0.25044135632042863,0.93,B이하,B,B이하,B이하,2163000000.0
OCI,화학,6248555403000.0,91.4,52.25,19.02,2016,0.1815488295385361,0.6950000000000001,B+,B+,A,B+,9540000000.0
SH에너지화학,화학,124488724000.0,19.6,83.61,0.9,2016,0.054509548465341916,1.92,B이하,B,B이하,B이하,6100000000.0
SIMPAC,기계,417865468000.0,73.81,57.53,-0.91,2016,0.16329607716863032,0.665,B이하,C,B이하,B이하,2651000000.0
SK이노베이션,서비스업,32581330983000.0,77.99,56.18,-18.27,2016,3.065523041722409,1.3250000000000002,A,A+,B+,A,596495000000.0
STX,유통업,707709000000.0,0.0,-46.71,5.48,2016,0.039461339377890106,0.0,B이하,C,B+,B이하,0.0
STX엔진,기계,830228814000.0,674.01,12.92,0.0,2016,0.060424296871166336,1.81,B+,B,B+,B+,0.0
STX중공업,기계,849906703000.0,0.0,-71.94,-60.6,2016,-0.016832561524212756,0.0,B이하,D,B+,B+,0.0
가온전선,전기전자,519225689000.0,96.25,50.96,-4.03,2016,0.054417910641501595,0.34,B이하,B,B이하,B+,2356000000.0
강남제비스코,화학,560934377000.0,20.83,82.76,-1.22,2016,0.09724113289263733,0.77,B이하,B,B이하,B이하,3250000000.0
강원랜드,서비스업,3978987574000.0,22.33,81.75,3.84,2016,0.3519979056695632,2.8049999999999997,A,B+,A,A,200712000000.0
갤럭시아에스엠,서비스업,58444606000.0,30.32,76.73,-15.76,2016,-0.026180177812814787,1.685,B이하,C,B이하,B이하,0.0
경농,화학,320915151000.0,74.44,57.33,3.85,2016,0.1116973256057538,0.825,B이하,B,B+,B이하,4734000000.0
경동나비엔,전기전자,429754702000.0,79.99,55.56,13.91,2016,0.12119221786192752,2.905,B이하,C,B이하,B이하,1894000000.0
경방,섬유의복,1301910960000.0,91.5,52.22,5.54,2016,0.21658509224951175,0.47,B이하,C,B이하,B이하,4935000000.0
경인양행,화학,344298515000.0,65.3,60.5,4.45,2016,0.10606292812995069,1.105,B이하,B,B이하,B이하,1977000000.0
경인전자,전기전자,64297759000.0,7.62,92.92,-6.22,2016,0.08772936382754995,0.7,B이하,B,B이하,B이하,343000000.0
계양전기,기계,243982899000.0,36.2,73.42,15.77,2016,0.05904098567313571,1.19,B이하,B,B이하,B이하,2217000000.0
고려산업,음식료품,167843756000.0,97.42,50.65,-7.09,2016,0.09547928492756079,1.5899999999999999,B이하,B,B이하,B이하,724000000.0
고려아연,철강금속,6482637892000.0,14.48,87.35,22.55,2016,0.1349306370744614,1.77,B이하,B+,B이하,B이하,150231000000.0
고려제강,철강금속,2453092338000.0,65.49,60.43,-3.78,2016,0.25905824368176045,0.69,B이하,D,B이하,B+,6299000000.0
광동제약,의약품,679780115000.0,70.08,58.8,10.57,2016,0.045259290166237635,1.49,B이하,B,B이하,B이하,3246000000.0
광명전기,전기전자,146859319000.0,49.76,66.77,-16.66,2016,0.046452445554053916,1.575,B이하,C,B이하,B이하,0.0
광전자,전기전자,242283949000.0,19.17,83.91,-17.12,2016,0.07399950924063967,0.745,B이하,B+,B이하,B이하,0.0
광주신세계,유통업,655502726000.0,22.69,81.51,2.48,2016,0.2381983899174999,0.78,B이하,B,B이하,B이하,2000000000.0
교보증권,증권,5118539223000.0,586.5,14.57,7.74,2016,0.5159078598101409,0.46,B+,A+,B+,B이하,5896000000.0
국도화학,화학,682784695000.0,53.14,65.3,-5.85,2016,0.08979502525107787,0.895,B이하,C,B이하,B+,6973000000.0
국동,유통업,124126720000.0,139.97,41.67,15.9,2016,0.0058746582230742635,1.84,B이하,B,B이하,B이하,0.0
국보,운수창고업,81308887000.0,432.28,18.79,-4.68,2016,0.006522925399233677,2.7800000000000002,B이하,C,B이하,B이하,0.0
국제약품,의약품,129455413000.0,91.73,52.16,2.59,2016,0.1399974693891749,1.41,B이하,B+,B이하,B이하,947000000.0
극동유화,화학,191718877000.0,37.06,72.96,-8.49,2016,0.12609504435033786,0.5800000000000001,B이하,B,B이하,B이하,4010000000.0
금강공업,철강금속,710805610000.0,133.21,42.88,6.57,2016,0.11223325646234406,0.9950000000000001,B이하,C,B이하,B이하,2242000000.0
금양,화학,178901902000.0,418.85,19.27,6.09,2016,0.049890100744090136,5.91,B이하,B,B이하,B이하,0.0
금호전기,전기전자,460497632000.0,187.56,34.78,4.78,2016,0.29476199663599484,0.5,B이하,B,B이하,B이하,0.0
금호타이어,화학,5121661355000.0,321.85,23.7,-3.06,2016,0.08001612364648546,1.005,B+,C,A+,B+,0.0
까뮤이앤씨,건설업,142978398000.0,179.73,35.75,5.54,2016,-0.06970947261430985,1.055,B이하,B+,B이하,B이하,381000000.0
깨끗한나라,종이목재,522464181000.0,148.05,40.31,4.04,2016,0.07145676998135825,1.03,B이하,B,B이하,B+,0.0
남광토건,건설업,175893879000.0,332.68,23.11,-39.28,2016,-0.024968431200605667,3.0200000000000005,B이하,C,B이하,B이하,0.0
남선알미늄,철강금속,283413750000.0,131.23,43.25,14.39,2016,0.10308126088627369,1.15,B이하,B,B이하,B이하,0.0
남성,유통업,204535206000.0,178.71,35.88,10.36,2016,0.09674718498659518,1.0,B이하,C,B이하,B이하,200000000.0
남양유업,음식료품,1041501794000.0,17.12,85.39,1.99,2016,0.09942650527357329,0.75,B이하,D,B+,B이하,855000000.0
남해화학,화학,530446811000.0,33.28,75.03,0.0,2016,0.051699566889529924,1.1800000000000002,B이하,B,B이하,B+,2158000000.0
넥센,서비스업,970602747000.0,18.25,84.56,4.99,2016,0.1161971898219252,0.525,B이하,B,B이하,B+,4090000000.0
넥센타이어,화학,2617913245000.0,117.66,45.94,3.11,2016,0.25705375511677175,1.205,B+,B+,B+,B+,10174000000.0
노루페인트,화학,570582358000.0,106.39,48.45,3.75,2016,0.10290272865317308,0.8999999999999999,B이하,B,B이하,B이하,4095000000.0
노루홀딩스,서비스업,970205089000.0,81.85,54.99,0.97,2016,0.6710251570003695,0.8999999999999999,B이하,D,B이하,B이하,4690000000.0
녹십자,의약품,1550614664000.0,46.42,68.3,14.32,2016,-0.0016864402186012387,2.485,B이하,C,B+,B이하,14266000000.0
녹십자홀딩스,서비스업,2249277259000.0,63.34,61.22,19.56,2016,-0.0081910815070931,3.2,B이하,B,B+,B이하,13621000000.0
농심,음식료품,2481287284000.0,37.67,72.64,1.62,2016,0.11865662309961351,1.43,B이하,D,B이하,B+,23131000000.0
농심홀딩스,서비스업,1171929234000.0,39.27,71.8,10.85,2016,0.8943228391828182,1.245,B이하,C,B이하,B이하,9276000000.0
다우기술,서비스업,9818253246000.0,510.75,16.37,9.88,2016,-1.665054692740553,2.05,B이하,B,B이하,B이하,10817000000.0
대교,서비스업,848138969000.0,27.96,78.15,0.92,2016,0.11285608117445005,1.605,B+,A,B+,B이하,12769000000.0
대구백화점,유통업,626013405000.0,66.24,60.15,0.09,2016,0.04071161579052836,0.47000000000000003,B이하,B+,B+,B이하,3091000000.0
대림통상,기계,230655433000.0,97.87,50.54,3.98,2016,0.08402709912324507,0.8400000000000001,B이하,C,B이하,B이하,2284000000.0
대상,음식료품,2308460528000.0,166.18,37.57,8.35,2016,0.029560160629130763,1.4249999999999998,B이하,C,B+,B이하,14421000000.0
대상홀딩스,서비스업,2689293818000.0,156.07,39.05,8.73,2016,4.663101848539058,1.43,B이하,B,B이하,B이하,6321000000.0
대성산업,유통업,949116900000.0,1259.84,7.35,-17.33,2016,0.016231846817864992,6.58,B이하,C,B이하,B이하,0.0
대성에너지,전기가스업,622322683000.0,112.91,46.97,-15.63,2016,0.06964748795632594,0.6100000000000001,B이하,C,B이하,B이하,6875000000.0
대성홀딩스,서비스업,1128442415000.0,107.33,48.23,-15.7,2016,2.2103743057996486,0.7050000000000001,B이하,B,B이하,B이하,4022000000.0
대신증권,증권,17692580620000.0,895.05,10.05,20.15,2016,-0.20545671144011757,0.6000000000000001,B이하,A,B이하,B이하,40261000000.0
대양금속,철강금속,100099259000.0,505.75,16.51,20.31,2016,0.05375726847546633,5.6899999999999995,B이하,B,B이하,B+,0.0
