,업종명,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,평가연도,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
CS홀딩스,서비스업,191295610000.0,12.74,88.7,-5.22,2012,-0.21239204831404127,0.31,C,C,B이하,C,0.0
KISCO홀딩스,서비스업,789682784000.0,10.74,90.3,-8.05,2012,3.7341841630126384,0.275,B이하,B,B이하,B이하,2753000000.0
LG이노텍,전기전자,4886285404000.0,285.26,25.96,16.76,2012,0.07503574641746158,1.62,A,B+,A,A,0.0
MH에탄올,음식료품,134385813000.0,238.69,29.53,33.46,2012,-0.10785469014487019,0.51,B이하,B,B이하,B이하,0.0
OCI,화학,7283049629000.0,102.78,49.31,-24.73,2012,0.022973040994127093,1.665,A,B+,A,A,9540000000.0
SH에너지화학,화학,103690070000.0,59.82,62.57,11.97,2012,-0.004459037663880609,1.6400000000000001,B이하,B,B이하,B이하,0.0
SIMPAC,기계,318665505000.0,69.63,58.95,4.64,2012,0.05877465323535324,1.07,B이하,B,B이하,B이하,2702000000.0
SK이노베이션,서비스업,33831080372000.0,106.94,48.32,7.25,2012,0.49435403703711583,1.28,A,A,B+,A,298278000000.0
STX,유통업,5067029000000.0,236.31,29.73,3.22,2012,0.060881755027670986,0.6749999999999999,B+,B,B+,B+,7300000000.0
STX엔진,기계,3213865730000.0,249.13,28.64,-41.93,2012,0.05844853914481671,0.57,B+,B,A,A,0.0
가온전선,전기전자,517141282000.0,95.38,51.18,-2.59,2012,0.03868444821755377,0.31,B이하,B,B이하,B이하,2356000000.0
강원랜드,서비스업,2906655321000.0,22.54,81.61,2.41,2012,0.34537947290423976,2.6,B+,B+,A,B+,153068000000.0
경농,화학,269412832000.0,77.55,56.32,0.0,2012,0.06714145060715458,0.47,B이하,B,B이하,B+,1297000000.0
경동나비엔,전기전자,299729837000.0,70.42,58.68,11.07,2012,0.08100071190224381,0.825,B이하,C,B이하,B이하,1262000000.0
경방,섬유의복,1335039930000.0,115.08,46.49,-4.17,2012,0.06702508581095593,0.345,B이하,B,B이하,B이하,0.0
경인양행,화학,287452678000.0,64.27,60.88,-6.22,2012,0.14721333437128462,0.795,B이하,B,B이하,B+,1796000000.0
경인전자,전기전자,63740263000.0,11.86,89.4,0.0,2012,0.08788089353168867,0.41,B이하,B,B이하,B이하,480000000.0
계양전기,기계,174553310000.0,20.94,82.69,5.44,2012,0.06028291095638158,0.675,B이하,B,B+,B이하,1707000000.0
고려산업,음식료품,148320365000.0,138.9,41.86,8.05,2012,-0.04525542538787175,0.405,B이하,C,B이하,B이하,724000000.0
고려아연,철강금속,4940542141000.0,23.95,80.68,-1.06,2012,0.10120167460681692,2.03,B+,B+,B이하,B+,88371000000.0
고려제강,철강금속,1813977723000.0,44.08,69.41,-0.13,2012,0.21978850762119054,0.595,B이하,C,B이하,B이하,5249000000.0
광동제약,의약품,389433837000.0,45.71,68.63,5.94,2012,0.07154067477359372,1.0150000000000001,B이하,B,B이하,B이하,2449000000.0
광명전기,전기전자,131064345000.0,108.06,48.06,26.88,2012,0.04332408784891197,2.835,B이하,B,B이하,B이하,0.0
광전자,전기전자,282485538000.0,34.96,74.1,-18.29,2012,0.1767481388374706,0.75,B이하,B,B이하,B이하,0.0
광주신세계,유통업,430662968000.0,19.09,83.97,-2.65,2012,0.2634198912082618,0.92,B이하,B,B+,B이하,2000000000.0
교보증권,증권,4597488388000.0,692.14,12.62,70.18,2012,-0.23150931727085117,0.395,B이하,B,B이하,B이하,3468000000.0
국도화학,화학,547775296000.0,62.63,61.49,-3.82,2012,0.09964567472375134,0.955,B이하,B,B이하,B+,5811000000.0
국동,유통업,65808287000.0,598.4,14.32,-10.45,2012,0.054369422228049476,2.66,B이하,B,B이하,B이하,0.0
국보,운수창고업,98494841000.0,191.46,34.31,-6.35,2012,-0.03309886063892145,0.8,B이하,C,B이하,B이하,50000000.0
국제약품,의약품,114924400000.0,107.62,48.16,0.0,2012,0.012926489838662172,0.8599999999999999,B이하,B,B이하,B이하,0.0
극동유화,화학,197891858000.0,91.55,52.21,5.58,2012,0.09524503056841954,0.7,B이하,B,B이하,B이하,2441000000.0
금강공업,철강금속,499093977000.0,146.89,40.5,28.88,2012,0.22825772148271573,0.365,B이하,B,B이하,B이하,1571000000.0
금양,화학,127557393000.0,180.08,35.7,11.93,2012,0.033276081495437586,1.1099999999999999,B이하,B,B이하,B이하,1176000000.0
금호전기,전기전자,509300064000.0,135.5,42.46,20.46,2012,0.05332498161362778,0.735,B이하,B,B이하,B이하,600000000.0
금호타이어,화학,4781013149000.0,414.02,19.45,3.95,2012,0.048882125871548214,1.535,B이하,C,B이하,B+,0.0
깨끗한나라,종이목재,423872333000.0,263.03,27.55,7.75,2012,0.06444458373264665,0.965,B이하,C,B이하,B+,0.0
남광토건,건설업,436886733000.0,830.84,10.74,-41.52,2012,-0.18521995527091592,2.94,B이하,B,B이하,B이하,0.0
남선알미늄,철강금속,236720122000.0,285.96,25.91,2.03,2012,-0.012496835166117317,1.155,B이하,C,B이하,B이하,0.0
남성,유통업,221414593000.0,177.0,36.1,2.82,2012,-0.1029298595753097,0.365,B이하,B,B이하,B이하,524000000.0
남양유업,음식료품,1033300099000.0,18.66,84.28,13.26,2012,-0.07397536884435607,0.865,B이하,B,B이하,B이하,855000000.0
남해화학,화학,563136207000.0,64.98,60.61,-2.73,2012,-0.012271556709909554,1.395,B이하,C,B이하,B+,604000000.0
넥센,화학,720858644000.0,36.94,73.03,1.46,2012,0.19214408069432956,0.875,B이하,B,B이하,B이하,2189000000.0
넥센타이어,화학,2035745920000.0,200.35,33.29,18.93,2012,0.10785250638424172,2.8150000000000004,B이하,C,B이하,B+,6027000000.0
노루페인트,화학,527545682000.0,136.88,42.22,8.16,2012,-0.014305655947857782,0.615,B이하,B,B이하,B+,4095000000.0
노루홀딩스,서비스업,835907566000.0,124.74,44.5,6.87,2012,0.5585216834755624,0.595,B이하,B,B이하,B이하,3648000000.0
녹십자,의약품,954379520000.0,39.28,71.8,5.71,2012,0.07092919059191137,2.315,B이하,B,B이하,B+,12639000000.0
녹십자홀딩스,서비스업,1446337218000.0,48.67,67.26,4.72,2012,1.193015595110722,1.42,B이하,B,B이하,B이하,19941000000.0
농심,음식료품,2151310878000.0,47.42,67.83,0.22,2012,0.014817809627559703,1.085,B이하,B,B이하,B+,23131000000.0
농심홀딩스,서비스업,968293002000.0,39.35,71.76,-2.99,2012,1.4519306826706677,0.53,B이하,B,B이하,B이하,9276000000.0
다우기술,서비스업,4848503131000.0,323.74,23.6,-0.2,2012,0.31830540893806814,1.425,C,C,B이하,C,5625000000.0
대교,서비스업,814113140000.0,30.9,76.39,-6.79,2012,0.07549341566346264,1.19,B이하,B+,B이하,B이하,9416000000.0
대구백화점,유통업,497635407000.0,25.85,79.46,-2.94,2012,0.020820059573782936,0.39,B이하,B,B+,B이하,3611000000.0
대림통상,기계,254351458000.0,83.46,54.51,-6.08,2012,0.011102580936648454,0.505,B이하,B,B이하,B이하,1292000000.0
대상,음식료품,1621341813000.0,158.92,38.62,14.6,2012,0.09436099801548578,1.425,B이하,C,B+,B이하,5416000000.0
대상홀딩스,서비스업,603349879000.0,37.05,72.97,16.47,2012,3.358211262282691,0.5449999999999999,B이하,B,B이하,B이하,4464000000.0
대성산업,유통업,2652193606000.0,332.32,23.13,7.34,2012,-0.3735605561394479,0.24000000000000002,B이하,B,B이하,B이하,0.0
대성에너지,전기가스업,644594045000.0,140.09,41.65,11.59,2012,0.03589499888746221,0.655,B이하,B,B이하,B이하,6875000000.0
대성홀딩스,서비스업,1057796637000.0,122.71,44.9,10.62,2012,1.1270057100482016,0.5599999999999999,B이하,B,B이하,B이하,4022000000.0
대신증권,증권,10980848993000.0,533.49,15.79,3.93,2012,-0.21474497972999385,0.65,B+,A,B이하,B이하,51525000000.0
대양금속,철강금속,105457033000.0,506.18,16.5,-28.15,2012,0.10842597563907365,2.32,B이하,C,B이하,B이하,0.0
대영포장,종이목재,198105801000.0,76.96,56.51,2.44,2012,0.094162962868085,0.76,B이하,C,B이하,B이하,0.0
대우건설,건설업,9859319181000.0,189.05,34.6,17.15,2012,-0.13970295674837138,1.255,B이하,B+,B이하,B이하,0.0
대우조선해양,운수장비,15511304729000.0,301.23,24.92,-2.31,2012,-0.08265243152938744,1.465,B+,B+,B이하,B+,0.0
대웅,서비스업,509221588000.0,30.1,76.86,9.01,2012,0.6233289844931494,0.78,B이하,B,B이하,B이하,4634000000.0
대웅제약,의약품,482344106000.0,24.77,80.15,-5.85,2012,0.06774086433721307,1.155,B+,B,B+,B+,8016000000.0
대원강업,운수장비,988715803000.0,118.26,45.82,0.4,2012,0.1045357492481621,1.345,B이하,B,B이하,B이하,6820000000.0
대원전선,전기전자,215527769000.0,201.38,33.18,0.0,2012,-0.07856345454626769,1.02,C,B,C,B이하,0.0
대원제약,의약품,147125433000.0,30.29,76.75,-0.51,2012,0.10318068261524915,1.125,B이하,B,B+,B이하,702000000.0
대원화성,화학,109600307000.0,207.7,32.5,0.3,2012,-0.043230126452494876,0.855,B이하,B,B이하,B+,0.0
대유에이텍,운수장비,385720682000.0,292.27,25.49,7.67,2012,0.11122379756225029,2.225,B이하,C,B이하,B이하,2533000000.0
대창,철강금속,477036779000.0,152.01,39.68,-10.05,2012,0.0414805687440586,0.6950000000000001,B이하,B,B이하,B+,2435000000.0
대창단조,운수장비,143955197000.0,38.32,72.29,-15.22,2012,0.1314532592924317,1.025,B이하,C,B이하,B이하,2000000000.0
대한방직,섬유의복,241130687000.0,243.08,29.15,-5.69,2012,0.028738250609969974,0.325,B이하,B,B이하,B이하,0.0
대한유화,화학,1278129428000.0,71.39,58.35,2.88,2012,0.004862933055006226,0.7250000000000001,B이하,B,B이하,B+,0.0
대한전선,전기전자,2880338773000.0,1431.39,6.53,-18.69,2012,-0.027961001633547693,2.47,B이하,B,B이하,B+,0.0
대한제강,철강금속,778837588000.0,113.85,46.76,15.89,2012,0.0034793801363080107,0.8099999999999999,B+,B,B+,B+,4539000000.0
대한제당,음식료품,1620715653000.0,273.27,26.79,5.48,2012,-0.02067130574931264,0.47,B이하,B,B이하,B이하,4582000000.0
대한제분,음식료품,899689781000.0,49.08,67.08,18.4,2012,0.05443227986808417,0.41500000000000004,B이하,B,B이하,B이하,4107000000.0
대한항공,운수창고업,22973401146000.0,690.99,12.64,3.67,2012,0.18804825973732428,1.7850000000000001,A,B,A,A+,0.0
대한화섬,화학,477260397000.0,31.79,75.88,47.07,2012,0.05552838859701008,0.28,B이하,C,B이하,B이하,842000000.0
대현,섬유의복,198840460000.0,98.99,50.25,10.54,2012,0.037767418807517106,0.665,B이하,B,B이하,B이하,709000000.0
대호에이엘,철강금속,143805043000.0,349.32,22.26,-15.79,2012,0.03936511324558283,1.695,B이하,C,B이하,B+,0.0
더존비즈온,서비스업,192276834000.0,134.02,42.73,8.0,2012,0.1578278539889573,4.234999999999999,C,C,B이하,C,5445000000.0
덕성,화학,99879068000.0,70.6,58.62,0.59,2012,0.06780723820599686,0.8,B이하,B,B이하,B이하,704000000.0
덕양산업,운수장비,232283632000.0,324.38,23.56,11.25,2012,0.010774565632113268,1.085,B이하,B,B이하,B이하,2032000000.0
도화엔지니어링,서비스업,346747778000.0,60.11,62.46,0.22,2012,-0.10024292930007499,0.9199999999999999,B이하,B+,B이하,B이하,2529000000.0
동국제강,철강금속,9320675934000.0,228.81,30.41,-10.98,2012,0.14522725030813735,0.475,B+,B+,B이하,B+,30289000000.0
동남합성,화학,54686376000.0,14.38,87.43,3.65,2012,0.07048767026015106,1.615,B이하,C,B이하,B이하,0.0
동방,운수창고업,705078326000.0,361.36,21.68,5.79,2012,-0.020725382032269434,0.86,B이하,C,B이하,B이하,575000000.0
동방아그로,화학,152438378000.0,33.67,74.81,0.0,2012,0.015251202094062083,0.86,B이하,B,B이하,B이하,2239000000.0
동부건설,건설업,2918605739000.0,472.79,17.46,5.77,2012,0.029363770307420684,0.31,B이하,B+,B이하,B이하,0.0
동성제약,의약품,133633670000.0,112.51,47.06,7.83,2012,0.03315885364325321,1.255,B이하,B,B이하,B이하,530000000.0
동아지질,건설업,226247530000.0,69.31,59.06,11.63,2012,0.12609469303185192,0.94,B이하,B,B이하,B이하,1978000000.0
동양,비금속광물,3401374248000.0,1349.75,6.9,14.58,2012,-0.0030243066921431454,1.23,B이하,B,B이하,B이하,0.0
동양고속,운수창고업,209135730000.0,86.95,53.49,-43.16,2012,0.1240967431788653,0.525,B이하,B,B이하,B이하,3314000000.0
동양철관,철강금속,212256262000.0,96.22,50.96,13.41,2012,-0.023359108580524687,1.7349999999999999,B이하,C,B이하,B이하,0.0
동원산업,"농업, 임업 및 어업",1380697561000.0,137.36,42.13,16.31,2012,0.2933522319802605,1.51,B이하,B,B이하,B이하,10090000000.0
동원수산,"농업, 임업 및 어업",108844409000.0,140.62,41.56,0.0,2012,-0.13799969350316862,1.335,B이하,B,B이하,B이하,766000000.0
동원시스템즈,전기전자,417873004000.0,368.15,21.36,-10.24,2012,-0.055555966963758675,1.565,B이하,C,B이하,B이하,0.0
동일산업,철강금속,361877520000.0,17.14,85.37,-14.17,2012,0.08122227744328506,0.45,C,B,C,B+,2920000000.0
동화약품,의약품,324284672000.0,42.86,70.0,-4.77,2012,0.11293608867718424,0.685,B이하,B+,B이하,B이하,2234000000.0
두산,서비스업,5950670747000.0,85.78,53.83,-4.95,2012,0.1535950004372431,2.235,A+,A+,A+,A+,63735000000.0
디씨엠,철강금속,195844414000.0,36.99,73.0,-9.49,2012,-0.012857594216818745,0.9650000000000001,B이하,B,B이하,B이하,5819000000.0
디아이,의료정밀,188020556000.0,74.94,57.16,7.94,2012,-0.07972176317001997,2.21,B이하,C,B이하,B이하,0.0
디아이씨,운수장비,546804337000.0,235.24,29.83,-2.75,2012,0.0139961932676509,0.8899999999999999,B이하,B,B이하,B이하,1085000000.0
락앤락,화학,757905434000.0,29.56,77.18,6.79,2012,0.4834052296753672,3.1799999999999997,B이하,B+,B이하,B이하,4353000000.0
롯데관광개발,서비스업,142825011000.0,1557.66,6.03,-1.06,2012,-0.08886336175395859,30.770000000000003,B이하,B,B이하,B이하,0.0
롯데손해보험,보험,3467415339000.0,1535.69,6.11,9.38,2012,0.059596863515910155,1.38,B+,A,A,B이하,0.0
롯데쇼핑,유통업,36857044868000.0,134.48,42.65,12.54,2012,0.05607143583752671,0.705,A,A,A+,A,43565000000.0
