,업종명,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,평가연도,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
AJ네트웍스,서비스업,2575139461000.0,423.61,19.1,-26.16,2018,-0.220264602707475,1.1099999999999999,B이하,C,B이하,B이하,4682000000.0
BNK금융지주,기타금융,98793581957000.0,1072.63,8.53,4.88,2018,3.4716644171058046,0.645,B+,B+ 이하,B+,B이하,97776000000.0
CS홀딩스,기타금융,304418193000.0,10.8,90.26,1.32,2018,3.3562306425041184,0.585,B이하,B,B이하,B이하,574000000.0
DB금융투자,증권,7043191614000.0,825.68,10.8,-6.72,2018,0.2328262925494652,0.31,B이하,B+ 이하,B이하,B이하,10357000000.0
DB손해보험,보험,50929102340000.0,862.24,10.39,-2.24,2018,0.01643457207577449,0.99,B+,B+ 이하,A,A,126597000000.0
DB하이텍,전기전자,1066533840000.0,91.0,52.36,-1.54,2018,0.2694594242460917,1.36,B+,B,B+,B+,10857000000.0
JB금융지주,기타금융,46779843000000.0,1252.68,7.39,6.85,2018,4.284132146185726,0.515,B+,B+ 이하,A,B이하,34982000000.0
KISCO홀딩스,기타금융,1545159970000.0,20.81,82.78,7.66,2018,5.822312406015038,0.29000000000000004,B이하,B+,B이하,B이하,4283000000.0
LG이노텍,전기전자,5756067241000.0,171.74,36.8,4.46,2018,0.13964609344745732,1.865,A,B+,A+,A,7099000000.0
MH에탄올,음식료품,440177523000.0,380.62,20.81,40.05,2018,-0.24007134184010395,0.645,B이하,C,B이하,B이하,2348000000.0
OCI,화학,5659590446000.0,62.05,61.71,-14.3,2018,0.29719467651878245,0.9650000000000001,A,B+,A+,A,20272000000.0
SH에너지화학,화학,122434685000.0,16.17,86.08,-2.4,2018,0.02878382101541883,1.48,B이하,B+,B이하,B이하,2549000000.0
SIMPAC,기계,681750819000.0,56.71,63.81,32.74,2018,0.1389559107950488,0.26,B이하,B,B이하,B이하,3633000000.0
SK이노베이션,기타금융,36085384070000.0,86.7,53.56,17.83,2018,0.46961240873393206,1.635,A,A,A+,B+,564616000000.0
STX,유통업,554061000000.0,765.34,11.56,-16.68,2018,-0.03617893209212792,7.654999999999999,B이하,B,B이하,B이하,0.0
