,업종명,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,평가연도,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
유니퀘스트,유통업,244386643000.0,44.29,69.3,4.83,2015,0.12770327429168626,1.71,B이하,B+,B이하,B이하,5313000000.0
유성기업,운수장비,373789816000.0,32.28,75.6,-11.71,2015,0.16820299279457052,0.65,B이하,B,B이하,B이하,3078000000.0
유수홀딩스,서비스업,464546229000.0,73.92,57.5,7.39,2015,3.057404012711072,1.565,B이하,B,B이하,B이하,1872000000.0
유안타증권,증권,8923245082000.0,801.61,11.09,43.57,2015,-0.8511765485299458,1.3,B이하,B,B이하,B이하,0.0
유엔젤,서비스업,62111452000.0,17.84,84.86,16.3,2015,0.024457271545600193,1.5150000000000001,B이하,B,B이하,B이하,1148000000.0
유유제약,의약품,101400550000.0,41.84,70.5,1.33,2015,0.025694653323533292,1.08,B이하,C,B이하,B이하,1202000000.0
유한양행,의약품,1880328618000.0,37.86,72.54,10.93,2015,0.11261533074561728,2.13,B+,B+,B이하,B+,20546000000.0
유화증권,증권,608234092000.0,29.58,77.17,0.0,2015,0.08184660852312653,0.5,B이하,B+,B이하,B이하,9539000000.0
율촌화학,화학,515207692000.0,63.66,61.1,-3.48,2015,0.13992637353316723,1.0,B이하,C,B이하,B이하,12400000000.0
이건산업,종이목재,467596733000.0,191.46,34.31,8.84,2015,0.15327507879759877,2.4699999999999998,B이하,B,B이하,B이하,1405000000.0
이구산업,철강금속,249720598000.0,157.58,38.82,-11.76,2015,0.06030774308754666,0.45000000000000007,B이하,B+,B이하,B+,0.0
이마트,유통업,14493751838000.0,100.21,49.95,3.7,2015,0.06582840052360388,0.895,B이하,C,B이하,A,41796000000.0
이수페타시스,전기전자,506297787000.0,155.55,39.13,3.2,2015,0.15490014368955443,1.155,B이하,C,B이하,B+,3586000000.0
이수화학,화학,1028558559000.0,193.19,34.11,-20.54,2015,0.054889443738478164,0.305,B이하,C,B+,B이하,4379000000.0
이스타코,서비스업,115417616000.0,123.44,44.75,1.35,2015,-8.29413902219556,1.9249999999999998,B이하,C,B이하,B이하,0.0
이아이디,전기전자,78932300000.0,109.13,47.82,0.0,2015,-0.10696657077406638,2.5,B이하,C,B이하,B이하,0.0
