업종명,종목명,2012_E,2012_S,2012_G,2013_E,2013_S,2013_G,Diff_E,Diff_S,Diff_G,2012_종가,2013_종가,등락률,연도
금융 및 보험업,동원산업,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,285000,284000,-0.0035087719298245,"12,13년"
금융 및 보험업,두산,5.0,5.0,5.0,5.0,4.0,5.0,0.0,-1.0,0.0,126000,142000,0.1269841269841269,"12,13년"
금융 및 보험업,롯데손해보험,4.0,4.0,1.5,3.0,3.0,1.5,-1.0,-1.0,0.0,3995,3005,-0.2478097622027534,"12,13년"
금융 및 보험업,미래에셋증권,3.0,3.0,1.5,3.0,3.0,1.5,0.0,0.0,0.0,29600,35800,0.2094594594594594,"12,13년"
금융 및 보험업,부국증권,2.0,1.5,,2.0,1.5,1.5,0.0,0.0,,17550,14100,-0.1965811965811965,"12,13년"
금융 및 보험업,삼성생명,3.0,1.5,1.5,4.0,5.0,4.0,1.0,3.5,2.5,94000,104500,0.1117021276595744,"12,13년"
금융 및 보험업,삼성증권,4.0,5.0,3.0,4.0,3.0,1.5,0.0,-2.0,-1.5,48850,47050,-0.0368474923234391,"12,13년"
금융 및 보험업,삼성카드,3.0,3.0,1.5,2.0,3.0,1.5,-1.0,0.0,0.0,42200,39300,-0.0687203791469194,"12,13년"
금융 및 보험업,삼양홀딩스,2.0,1.5,3.0,2.0,1.5,1.5,0.0,0.0,-1.5,71500,88500,0.2377622377622377,"12,13년"
금융 및 보험업,신영증권,3.0,1.5,,3.0,1.5,1.5,0.0,0.0,,30300,41800,0.3795379537953795,"12,13년"
금융 및 보험업,신한지주,5.0,4.0,3.0,5.0,5.0,4.0,0.0,1.0,1.0,37450,46350,0.2376502002670227,"12,13년"
금융 및 보험업,영원무역홀딩스,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,60700,64500,0.0626029654036243,"12,13년"
금융 및 보험업,유화증권,2.0,1.5,,2.0,1.5,1.5,0.0,0.0,,12900,11850,-0.0813953488372093,"12,13년"
금융 및 보험업,일진홀딩스,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,1680,2430,0.4464285714285714,"12,13년"
금융 및 보험업,코리안리,3.0,1.5,1.5,4.0,1.5,1.5,1.0,0.0,0.0,10700,11900,0.1121495327102803,"12,13년"
금융 및 보험업,코오롱,2.0,3.0,1.5,2.0,1.5,1.5,0.0,-1.5,0.0,17200,19850,0.1540697674418604,"12,13년"
금융 및 보험업,키움증권,3.0,1.5,,3.0,1.5,1.5,0.0,0.0,,55200,55600,0.0072463768115942,"12,13년"
금융 및 보험업,풍산홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,23250,28100,0.2086021505376344,"12,13년"
금융 및 보험업,하나금융지주,5.0,4.0,1.5,5.0,3.0,3.0,0.0,-1.0,1.5,31750,40900,0.2881889763779527,"12,13년"
금융 및 보험업,하이트진로홀딩스,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,14000,11550,-0.175,"12,13년"
금융 및 보험업,한국금융지주,4.0,1.5,1.5,4.0,1.5,1.5,0.0,0.0,0.0,37300,41350,0.1085790884718498,"12,13년"
금융 및 보험업,한국전자홀딩스,2.0,1.5,,1.0,1.5,1.5,-1.0,0.0,,1215,1060,-0.1275720164609053,"12,13년"
금융 및 보험업,한국콜마홀딩스,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,10200,10350,0.0147058823529411,"12,13년"
금융 및 보험업,한미사이언스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,4700,16000,2.404255319148936,"12,13년"
금융 및 보험업,한양증권,3.0,3.0,1.5,3.0,1.5,1.5,0.0,-1.5,0.0,6830,6220,-0.089311859443631,"12,13년"
금융 및 보험업,한화생명,3.0,1.5,1.5,4.0,1.5,1.5,1.0,0.0,0.0,7690,7100,-0.0767230169050715,"12,13년"
금융 및 보험업,한화손해보험,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,7400,4195,-0.4331081081081081,"12,13년"
금융 및 보험업,한화투자증권,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,3915,3585,-0.0842911877394636,"12,13년"
금융 및 보험업,현대해상,4.0,4.0,1.5,4.0,4.0,1.5,0.0,0.0,0.0,35250,30350,-0.1390070921985815,"12,13년"
금융 및 보험업,효성,3.0,1.5,3.0,3.0,3.0,3.0,0.0,1.5,0.0,60100,71600,0.1913477537437604,"12,13년"
금융 및 보험업,흥국화재,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,4990,4525,-0.0931863727454909,"12,13년"
서비스업,CJ CGV,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,33800,49950,0.4778106508875739,"12,13년"
서비스업,GKL,3.0,3.0,,3.0,3.0,1.5,0.0,0.0,,30700,38700,0.260586319218241,"12,13년"
서비스업,KTcs,2.0,1.5,,2.0,1.5,1.5,0.0,0.0,,2170,3100,0.4285714285714285,"12,13년"
서비스업,NICE,2.0,1.5,,2.0,1.5,1.5,0.0,0.0,,57900,12950,-0.7763385146804835,"12,13년"
서비스업,SBS,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,40700,40050,-0.0159705159705159,"12,13년"
서비스업,강원랜드,3.0,4.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,25400,29150,0.1476377952755905,"12,13년"
서비스업,녹십자홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,17000,13200,-0.2235294117647059,"12,13년"
서비스업,다우기술,1.0,1.5,,1.0,1.5,1.5,0.0,0.0,,15500,14550,-0.0612903225806451,"12,13년"
서비스업,대교,3.0,1.5,1.5,4.0,1.5,1.5,1.0,0.0,0.0,6020,6710,0.1146179401993355,"12,13년"
서비스업,대성홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,6960,8600,0.2356321839080459,"12,13년"
서비스업,더존비즈온,1.0,1.5,,1.0,1.5,1.5,0.0,0.0,,11000,9960,-0.0945454545454545,"12,13년"
서비스업,도화엔지니어링,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,9790,5200,-0.4688457609805924,"12,13년"
서비스업,비상교육,2.0,1.5,,2.0,1.5,1.5,0.0,0.0,,13000,12400,-0.0461538461538461,"12,13년"
서비스업,삼성엔지니어링,3.0,3.0,1.5,3.0,4.0,3.0,0.0,1.0,1.5,142500,74700,-0.4757894736842105,"12,13년"
서비스업,삼성출판사,2.0,1.5,,2.0,1.5,1.5,0.0,0.0,,4240,5640,0.330188679245283,"12,13년"
서비스업,성창기업지주,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,23900,17700,-0.2594142259414226,"12,13년"
서비스업,신세계푸드,1.0,3.0,1.5,1.0,1.5,1.5,0.0,-1.5,0.0,109000,88900,-0.1844036697247706,"12,13년"
서비스업,에스원,2.0,3.0,1.5,2.0,3.0,1.5,0.0,0.0,0.0,65800,63300,-0.0379939209726443,"12,13년"
서비스업,엔씨소프트,4.0,1.5,1.5,3.0,1.5,1.5,-1.0,0.0,0.0,209000,205500,-0.0167464114832535,"12,13년"
서비스업,웅진씽크빅,2.0,3.0,3.0,1.0,3.0,3.0,-1.0,0.0,0.0,6370,6060,-0.0486656200941915,"12,13년"
서비스업,유엔젤,2.0,1.5,,2.0,1.5,1.5,0.0,0.0,,5900,4355,-0.261864406779661,"12,13년"
서비스업,이스타코,1.0,1.5,,1.0,1.5,1.5,0.0,0.0,,759,1770,1.33201581027668,"12,13년"
서비스업,제일기획,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,21000,26150,0.2452380952380952,"12,13년"
서비스업,콤텍시스템,2.0,1.5,,2.0,1.5,1.5,0.0,0.0,,1150,1310,0.1391304347826087,"12,13년"
서비스업,텔코웨어,2.0,1.5,,2.0,1.5,1.5,0.0,0.0,,8110,10350,0.2762022194821208,"12,13년"
서비스업,하나투어,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,61400,69100,0.1254071661237785,"12,13년"
서비스업,한미글로벌,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,7080,6920,-0.0225988700564971,"12,13년"
서비스업,한전기술,2.0,4.0,1.5,2.0,1.5,3.0,0.0,-2.5,1.5,64200,56300,-0.1230529595015576,"12,13년"
서비스업,한전산업,1.0,1.5,3.0,1.0,1.5,1.5,0.0,0.0,-1.5,5440,4395,-0.1920955882352941,"12,13년"
에너지업,대성에너지,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,5610,5710,0.017825311942959,"12,13년"
에너지업,삼천리,3.0,3.0,1.5,3.0,3.0,1.5,0.0,0.0,0.0,97300,131000,0.3463514902363823,"12,13년"
에너지업,인천도시가스,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,23150,26900,0.161987041036717,"12,13년"
에너지업,지역난방공사,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,71300,99200,0.391304347826087,"12,13년"
