,업종명,종목명,2014_E,2014_S,2014_G,2015_E,2015_S,2015_G,Diff_E,Diff_S,Diff_G,2014_종가,2015_종가,등락률,연도
77,서비스업,KTcs,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,2965,3600,0.2141652613827993,"14,15년"
78,서비스업,NAVER,4.0,3.0,1.5,3.0,1.5,1.5,-1.0,-1.5,0.0,754000,600000,-0.2042440318302387,"14,15년"
79,서비스업,NICE,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,17700,25450,0.4378531073446328,"14,15년"
80,서비스업,SBS,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,27100,38500,0.4206642066420664,"14,15년"
81,서비스업,강원랜드,3.0,4.0,3.0,4.0,3.0,3.0,1.0,-1.0,0.0,35000,42300,0.2085714285714285,"14,15년"
82,서비스업,녹십자홀딩스,2.0,1.5,1.5,1.0,3.0,1.5,-1.0,1.5,0.0,22450,41050,0.8285077951002228,"14,15년"
83,서비스업,다우기술,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,11100,24850,1.2387387387387387,"14,15년"
84,서비스업,대교,5.0,1.5,1.5,4.0,1.5,1.5,-1.0,0.0,0.0,7450,9150,0.2281879194630872,"14,15년"
85,서비스업,대성홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,12300,11900,-0.032520325203252,"14,15년"
86,서비스업,더존비즈온,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,7040,21500,2.053977272727273,"14,15년"
87,서비스업,도화엔지니어링,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,4305,4055,-0.0580720092915214,"14,15년"
88,서비스업,롯데관광개발,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,13900,15750,0.1330935251798561,"14,15년"
89,서비스업,비상교육,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,8100,8800,0.0864197530864197,"14,15년"
90,서비스업,삼성엔지니어링,3.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,61600,18200,-0.7045454545454546,"14,15년"
91,서비스업,삼성출판사,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,7200,12700,0.7638888888888888,"14,15년"
92,서비스업,성창기업지주,1.0,1.5,1.5,,1.5,1.5,,0.0,0.0,20950,29450,0.4057279236276849,"14,15년"
93,서비스업,신세계푸드,1.0,3.0,3.0,2.0,3.0,1.5,1.0,0.0,-1.5,93500,172000,0.839572192513369,"14,15년"
94,서비스업,아세아,1.0,3.0,3.0,1.0,1.5,1.5,0.0,-1.5,-1.5,148500,117000,-0.2121212121212121,"14,15년"
95,서비스업,에스원,2.0,3.0,1.5,1.0,1.5,1.5,-1.0,-1.5,0.0,74400,99000,0.3306451612903225,"14,15년"
96,서비스업,엔씨소프트,3.0,1.5,1.5,4.0,1.5,1.5,1.0,0.0,0.0,147000,189500,0.2891156462585034,"14,15년"
97,서비스업,웅진씽크빅,2.0,3.0,1.5,2.0,1.5,1.5,0.0,-1.5,0.0,7240,8180,0.1298342541436464,"14,15년"
98,서비스업,유엔젤,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,2965,5710,0.9258010118043845,"14,15년"
99,서비스업,이스타코,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,3080,2835,-0.0795454545454545,"14,15년"
100,서비스업,제일기획,2.0,1.5,1.5,1.0,3.0,3.0,-1.0,1.5,1.5,16700,20000,0.1976047904191616,"14,15년"
101,서비스업,코웨이,2.0,4.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,81600,85200,0.0441176470588235,"14,15년"
102,서비스업,콤텍시스템,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,1300,1570,0.2076923076923077,"14,15년"
103,서비스업,텔코웨어,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,13450,14550,0.0817843866171003,"14,15년"
104,서비스업,하나투어,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,67100,126000,0.8777943368107303,"14,15년"
105,서비스업,한국종합기술,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,4930,5040,0.0223123732251521,"14,15년"
106,서비스업,한미글로벌,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,8500,12350,0.4529411764705882,"14,15년"
107,서비스업,한전기술,2.0,1.5,3.0,2.0,1.5,3.0,0.0,0.0,0.0,65000,34200,-0.4738461538461538,"14,15년"
108,서비스업,한전산업,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,6550,4690,-0.2839694656488549,"14,15년"
109,에너지업,대성에너지,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,6350,6630,0.0440944881889763,"14,15년"
110,에너지업,삼천리,3.0,3.0,3.0,1.0,3.0,3.0,-2.0,0.0,0.0,151000,102500,-0.3211920529801324,"14,15년"
111,에너지업,인천도시가스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,36600,34650,-0.0532786885245901,"14,15년"
112,에너지업,지역난방공사,4.0,3.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,60000,62100,0.035,"14,15년"
113,에너지업,한국가스공사,4.0,4.0,4.0,3.0,3.0,4.0,-1.0,-1.0,0.0,50100,42600,-0.1497005988023952,"14,15년"
114,에너지업,한진중공업홀딩스,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,9000,6590,-0.2677777777777778,"14,15년"
115,운수 및 창고업,CJ대한통운,3.0,4.0,3.0,3.0,3.0,3.0,0.0,-1.0,0.0,193000,195000,0.0103626943005181,"14,15년"
116,운수 및 창고업,E1,3.0,1.5,1.5,2.0,3.0,1.5,-1.0,1.5,0.0,71700,69000,-0.0376569037656903,"14,15년"
117,운수 및 창고업,GS글로벌,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,8870,6200,-0.3010146561443066,"14,15년"
118,운수 및 창고업,GS리테일,3.0,1.5,3.0,2.0,1.5,1.5,-1.0,0.0,-1.5,24900,57600,1.313253012048193,"14,15년"
119,운수 및 창고업,KSS해운,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,14300,17700,0.2377622377622377,"14,15년"
120,운수 및 창고업,LS네트웍스,2.0,1.5,1.5,,1.5,1.5,,0.0,0.0,4695,3960,-0.1565495207667731,"14,15년"
121,운수 및 창고업,SG세계물산,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,615,1280,1.08130081300813,"14,15년"
122,운수 및 창고업,SK가스,3.0,3.0,1.5,3.0,1.5,1.5,0.0,-1.5,0.0,139500,85200,-0.3892473118279569,"14,15년"
123,운수 및 창고업,SK네트웍스,3.0,4.0,1.5,3.0,3.0,1.5,0.0,-1.0,0.0,10950,7090,-0.3525114155251141,"14,15년"
124,운수 및 창고업,경방,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,191000,192000,0.0052356020942408,"14,15년"
125,운수 및 창고업,광주신세계,2.0,3.0,1.5,3.0,1.5,1.5,1.0,-1.5,0.0,308000,298500,-0.0308441558441558,"14,15년"
126,운수 및 창고업,국동,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,11500,9600,-0.1652173913043478,"14,15년"
127,운수 및 창고업,국보,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,11900,17950,0.5084033613445378,"14,15년"
128,운수 및 창고업,남성,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,12000,2140,-0.8216666666666667,"14,15년"
129,운수 및 창고업,대구백화점,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,15250,14200,-0.0688524590163934,"14,15년"
130,운수 및 창고업,대성산업,2.0,1.5,3.0,2.0,1.5,3.0,0.0,0.0,0.0,2490,4030,0.6184738955823293,"14,15년"
131,운수 및 창고업,대한항공,3.0,4.0,3.0,,3.0,4.0,,-1.0,1.0,37950,30850,-0.1870882740447957,"14,15년"
132,운수 및 창고업,대한해운,,1.5,1.5,1.0,1.5,1.5,,0.0,0.0,29800,20200,-0.3221476510067114,"14,15년"
133,운수 및 창고업,동방,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,1880,3050,0.6223404255319149,"14,15년"
134,운수 및 창고업,동양고속,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,34400,37150,0.0799418604651162,"14,15년"
135,운수 및 창고업,롯데쇼핑,4.0,4.0,4.0,1.0,1.5,4.0,-3.0,-2.5,0.0,296500,232000,-0.2175379426644182,"14,15년"
136,운수 및 창고업,롯데하이마트,4.0,3.0,1.5,3.0,3.0,1.5,-1.0,0.0,0.0,66100,58200,-0.1195158850226928,"14,15년"
137,운수 및 창고업,모나미,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,3715,4565,0.2288021534320323,"14,15년"
138,운수 및 창고업,삼성물산,2.0,4.0,4.0,2.0,3.0,4.0,0.0,-1.0,0.0,72300,155000,1.1438450899031811,"14,15년"
139,운수 및 창고업,삼영무역,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,23900,23050,-0.0355648535564853,"14,15년"
140,운수 및 창고업,세기상사,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,30600,54000,0.7647058823529411,"14,15년"
141,운수 및 창고업,세방,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,19350,17950,-0.0723514211886304,"14,15년"
142,운수 및 창고업,세우글로벌,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,1190,2075,0.7436974789915967,"14,15년"
143,운수 및 창고업,세이브존I&C,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,7080,6020,-0.1497175141242938,"14,15년"
144,운수 및 창고업,신성통상,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,1245,1915,0.5381526104417671,"14,15년"
145,운수 및 창고업,신세계,3.0,3.0,3.0,1.0,4.0,3.0,-2.0,1.0,0.0,198500,232500,0.1712846347607053,"14,15년"
146,운수 및 창고업,신세계인터내셔날,2.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,125000,111000,-0.112,"14,15년"
147,운수 및 창고업,신흥,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,9680,10900,0.1260330578512396,"14,15년"
148,운수 및 창고업,아시아나항공,1.0,4.0,3.0,1.0,3.0,4.0,0.0,-1.0,1.0,4015,4845,0.2067247820672478,"14,15년"
149,운수 및 창고업,아이마켓코리아,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,26350,29700,0.127134724857685,"14,15년"
150,운수 및 창고업,영원무역,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,63900,47900,-0.2503912363067292,"14,15년"
151,운수 및 창고업,윌비스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,1235,2325,0.8825910931174089,"14,15년"
152,운수 및 창고업,유니퀘스트,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,8240,4135,-0.4981796116504854,"14,15년"
153,운수 및 창고업,이마트,3.0,3.0,5.0,1.0,1.5,4.0,-2.0,-1.5,-1.0,198000,212500,0.0732323232323232,"14,15년"
154,운수 및 창고업,이화산업,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,18600,20050,0.0779569892473118,"14,15년"
155,운수 및 창고업,인터지스,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,8140,3590,-0.558968058968059,"14,15년"
156,운수 및 창고업,일신석재,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,1245,1375,0.1044176706827309,"14,15년"
157,운수 및 창고업,진도,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,3390,6560,0.935103244837758,"14,15년"
158,운수 및 창고업,천일고속,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,55700,77100,0.3842010771992818,"14,15년"
159,운수 및 창고업,한국공항,1.0,3.0,1.5,,1.5,1.5,,-1.5,0.0,33250,30300,-0.0887218045112782,"14,15년"
160,운수 및 창고업,한국화장품,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,4945,11150,1.2548028311425683,"14,15년"
161,운수 및 창고업,한샘,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,127500,233500,0.8313725490196079,"14,15년"
162,운수 및 창고업,한솔로지스틱스,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,2335,4200,0.7987152034261242,"14,15년"
163,운수 및 창고업,한익스프레스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,31550,88300,1.7987321711568938,"14,15년"
164,운수 및 창고업,한진,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,53600,44450,-0.1707089552238806,"14,15년"
165,운수 및 창고업,한창,,1.5,1.5,,1.5,1.5,,0.0,0.0,1170,2720,1.3247863247863247,"14,15년"
166,운수 및 창고업,현대그린푸드,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,18150,23850,0.3140495867768595,"14,15년"
167,운수 및 창고업,현대글로비스,3.0,1.5,1.5,2.0,1.5,3.0,-1.0,0.0,1.5,266000,196500,-0.2612781954887218,"14,15년"
168,운수 및 창고업,현대백화점,3.0,3.0,1.5,3.0,3.0,1.5,0.0,0.0,0.0,135500,125500,-0.07380073800738,"14,15년"
169,운수 및 창고업,현대홈쇼핑,3.0,1.5,1.5,4.0,1.5,1.5,1.0,0.0,0.0,136000,122000,-0.1029411764705882,"14,15년"
170,운수 및 창고업,혜인,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,3580,3540,-0.0111731843575419,"14,15년"
171,운수 및 창고업,호텔신라,1.0,1.5,1.5,2.0,1.5,3.0,1.0,0.0,1.5,100500,110000,0.0945273631840796,"14,15년"
172,운수 및 창고업,흥아해운,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,2190,1935,-0.1164383561643835,"14,15년"
173,의약품,JW중외제약,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,14800,34900,1.358108108108108,"14,15년"
174,의약품,광동제약,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,10350,11650,0.1256038647342995,"14,15년"
175,의약품,국제약품,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,2440,4340,0.7786885245901639,"14,15년"
176,의약품,녹십자,2.0,1.5,1.5,2.0,3.0,1.5,0.0,1.5,0.0,137000,181500,0.3248175182481752,"14,15년"
177,의약품,대웅,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,51300,63700,0.2417153996101364,"14,15년"
178,의약품,대웅제약,2.0,1.5,1.5,1.0,3.0,1.5,-1.0,1.5,0.0,69700,76200,0.0932568149210903,"14,15년"
179,의약품,대원제약,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,16550,20800,0.256797583081571,"14,15년"
180,의약품,동성제약,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,5250,5020,-0.0438095238095238,"14,15년"
181,의약품,동화약품,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,6100,6920,0.1344262295081967,"14,15년"
182,의약품,명문제약,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,2655,3090,0.1638418079096045,"14,15년"
183,의약품,부광약품,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,19950,25150,0.2606516290726817,"14,15년"
185,의약품,삼일제약,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,5900,6970,0.1813559322033898,"14,15년"
186,의약품,삼진제약,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,25350,24450,-0.0355029585798816,"14,15년"
187,의약품,신풍제약,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,4230,4155,-0.0177304964539007,"14,15년"
188,의약품,영진약품,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,1425,2280,0.6,"14,15년"
189,의약품,오리엔트바이오,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,818,1275,0.558679706601467,"14,15년"
190,의약품,유유제약,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,8020,11850,0.4775561097256858,"14,15년"
191,의약품,유한양행,2.0,3.0,3.0,3.0,1.5,3.0,1.0,-1.5,0.0,176500,283000,0.603399433427762,"14,15년"
