,업종명,종목명,2021_E,2021_S,2021_G,2022_E,2022_S,2022_G,Diff_E,Diff_S,Diff_G,2021_종가,2022_종가,등락률,연도
43,금융 및 보험업,LS전선아시아,1.0,2.0,4.0,1.0,1.0,3.0,0.0,-1.0,-1.0,8370,7540,-0.0991636798088411,"21,22년"
44,금융 및 보험업,NH투자증권,5.0,6.0,5.0,5.0,5.0,4.0,0.0,-1.0,-1.0,13150,8970,-0.3178707224334601,"21,22년"
45,금융 및 보험업,SK,6.0,6.0,6.0,5.0,5.0,6.0,-1.0,-1.0,0.0,243000,214000,-0.1193415637860082,"21,22년"
46,금융 및 보험업,SK디스커버리,5.0,6.0,5.0,5.0,6.0,4.0,0.0,0.0,-1.0,47700,29700,-0.3773584905660377,"21,22년"
47,금융 및 보험업,SK증권,2.0,5.0,4.0,2.0,4.0,4.0,0.0,-1.0,0.0,981,656,-0.3312945973496432,"21,22년"
48,금융 및 보험업,SNT홀딩스,3.0,3.0,4.0,2.0,2.0,3.0,-1.0,-1.0,-1.0,17750,14300,-0.1943661971830985,"21,22년"
50,금융 및 보험업,교보증권,1.0,4.0,3.0,4.0,4.0,4.0,3.0,0.0,1.0,8790,5220,-0.4061433447098976,"21,22년"
51,금융 및 보험업,기업은행,5.0,6.0,5.0,6.0,6.0,4.0,1.0,0.0,-1.0,11050,10450,-0.0542986425339366,"21,22년"
52,금융 및 보험업,노루홀딩스,5.0,6.0,4.0,4.0,6.0,4.0,-1.0,0.0,0.0,12200,9950,-0.1844262295081967,"21,22년"
53,금융 및 보험업,농심홀딩스,3.0,5.0,4.0,3.0,4.0,2.0,0.0,-1.0,-2.0,77400,61300,-0.2080103359173126,"21,22년"
54,금융 및 보험업,대덕,4.0,5.0,5.0,3.0,5.0,3.0,-1.0,0.0,-2.0,7330,6030,-0.1773533424283765,"21,22년"
55,금융 및 보험업,대상홀딩스,5.0,6.0,4.0,5.0,6.0,3.0,0.0,0.0,-1.0,10000,7080,-0.292,"21,22년"
56,금융 및 보험업,대신증권,3.0,6.0,5.0,3.0,4.0,4.0,0.0,-2.0,-1.0,20800,13950,-0.3293269230769231,"21,22년"
57,금융 및 보험업,동아쏘시오홀딩스,4.0,6.0,5.0,3.0,5.0,5.0,-1.0,-1.0,0.0,105500,102000,-0.0331753554502369,"21,22년"
58,금융 및 보험업,동양생명,2.0,5.0,4.0,1.0,3.0,4.0,-1.0,-2.0,0.0,6850,5120,-0.2525547445255474,"21,22년"
59,금융 및 보험업,두산,5.0,6.0,4.0,4.0,5.0,3.0,-1.0,-1.0,-1.0,103000,77400,-0.2485436893203883,"21,22년"
60,금융 및 보험업,디와이,2.0,2.0,4.0,1.0,1.0,4.0,-1.0,-1.0,0.0,5480,5440,-0.0072992700729927,"21,22년"
61,금융 및 보험업,롯데손해보험,3.0,6.0,5.0,3.0,4.0,4.0,0.0,-2.0,-1.0,1840,1480,-0.1956521739130435,"21,22년"
