회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]   배당금(*)(요약)(IFRS),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
(주)국보,001140,2014/12,91005502,50,302.32,24.86,-16.7,-238084,1.03,0.72,89860
(주)금양,001570,2014/12,160244911,2017,260.18,27.76,1.44,34150831,1.53,0.9,137946
(주)까뮤이앤씨,013700,2014/12,,334,,,,,0.98,0.42,123568
(주)나이스홀딩스,034310,2014/12,1191004551,3901,78.54,56.01,24.22,145729459,2.23,1.35,24855
(주)남선알미늄,008350,2014/12,,0,,,,,1.98,0.74,341293
(주)남성,004270,2014/12,195514519,374,169.15,37.15,-5.49,-6987144,0.63,0.36,59274
(주)넥센,005720,2014/12,837243995,3004,27.32,78.54,-6.72,31030474,1.25,0.94,214828
(주)노루페인트,090350,2014/12,544220095,4095,125.58,44.33,5.69,26737511,0.85,0.44,415584
(주)노루홀딩스,000320,2014/12,899883032,4169,104.59,48.88,9.26,51267558,1.68,0.98,35964
(주)녹십자,006280,2014/12,1330351374,14454,44.5,69.2,9.81,56763006,2.12,1.67,854258
(주)녹십자홀딩스,005250,2014/12,1790874896,13681,51.63,65.95,11.35,54542863,2.28,1.1,36776
(주)농심,004370,2014/12,2224132075,23131,43.17,69.85,-2.15,98665546,1.29,0.99,1801320
(주)농심홀딩스,072710,2014/12,1034455583,9276,39.75,71.55,8.5,34813004,1.19,0.69,20135
(주)다우기술,023590,2014/12,5338504904,5625,327.05,23.42,4.09,-199608352,1.69,1.01,238937
(주)대교,019680,2014/12,842177325,11949,31.42,76.09,-3.46,28971966,1.37,1.11,744779
(주)대구백화점,006370,2014/03,640060609,5416,54.88,64.57,0,20954981,0.59,0.35,161637
(주)대덕,008060,2014/12,,12494,,,,,1.15,0.82,690942
(주)대동,000490,2014/12,707010305,1244,206.87,32.59,-1.84,-29488157,1.55,0.71,505158
(주)대양금속,009190,2014/12,104908934,0,1893.49,5.02,7.64,-8685986,14.63,5.54,122086
(주)대우건설,047040,2014/12,10260218124,0,276.44,26.56,13.81,264409212,1.68,0.88,9853092
(주)대웅,003090,2014/12,1010731916,4260,42.61,70.12,6,46607317,2.28,1.47,46087
(주)대웅제약,069620,2014/12,694263908,7225,52.42,65.61,7.82,25945213,2.32,1.54,727223
(주)대유에이텍,002880,2014/12,749322316,4330,508.37,16.44,32.83,51169088,2.29,1.1,563652
(주)대유플러스,000300,2014/12,706651399,0,560.74,15.13,18.44,17186038,1.97,1.01,336625
(주)대창,012800,2014/12,655670847,0,290.46,25.61,75.35,27739412,0.62,0.41,759271
(주)대한항공,003490,2014/12,23465724376,0,966.06,9.38,0.52,1863563778,1.83,1.09,11680398
(주)대현,016090,2014/12,,753,,,,,1.66,0.77,245403
(주)대호에이엘,069460,2014/12,,0,,,,,3.22,1.07,131723
(주)더메디팜,118000,2014/12,19672574,0,136.59,42.27,-5.64,-5221728,13.29,0.72,6055
(주)더존비즈온,012510,2014/12,210570942,5935,78.95,55.88,5.23,37610031,4.24,2.25,130792
(주)덕성,004830,2014/12,97948255,704,56.28,63.99,-15.53,3906697,0.96,0.65,77305
(주)도화엔지니어링,002150,2014/12,,3307,,,,,1.04,0.62,229647
(주)동남합성,023450,2014/12,,200,,,,,0.98,0.77,76120
(주)동방,004140,2014/12,651999177,603,462.6,17.77,-0.26,27069269,0.58,0.36,508700
(주)동방아그로,007590,2014/12,161451042,2321,34.53,74.33,4.93,9086444,1.01,0.74,114629
(주)동성케미컬,102260,2014/12,809156027,6155,113.88,46.75,9.96,62340312,1.69,1.07,16377
(주)동아지질,028100,2014/12,232681244,1978,71.47,58.32,-7.36,29987755,0.89,0.63,287905
(주)동양,001520,2014/12,830447598,0,121.48,45.15,-32.84,58061659,0.9,0.18,299406
(주)동양고속,084670,2014/12,224095138,3314,81,55.25,7.22,20289584,0.88,0.45,136275
(주)동원에프앤비,049770,2014/12,897092470,11577,87.42,53.35,6.29,100658646,3.35,1.13,1338174
(주)두산,000150,2014/12,31369299869,72267,252.37,28.38,-6.69,646789842,1.86,1.34,1995373
(주)디비아이엔씨,012030,2014/12,365853366,0,231.84,30.13,-46.08,27490640,0.91,0.34,283065
(주)디아이,003160,2014/12,179415424,2150,53.26,65.25,25.27,14730444,4.4,1.91,88194
(주)디아이씨,092200,2014/12,563512800,0,234.19,29.92,-0.31,20456055,1.14,0.61,317363
(주)디알비동일,004840,2014/12,617244613,1266,84.65,54.16,38.96,35553806,1.76,0.66,141169
(주)디엔오토모티브,007340,2014/12,971558345,3108,49.41,66.93,8.33,59545217,0.99,0.82,438360
(주)디지비금융지주,139130,2014/12,41009706925,42897,1176.94,7.83,-6.82,-90353347,1.15,0.71,76750
(주)락앤락,115390,2014/12,795747542,8128,26.23,79.22,-15.97,64583093,2.61,1.07,194123
(주)마니커,027740,2014/12,226081037,0,174.07,36.49,-3.39,-15636774,0.95,0.48,285891
(주)메리츠금융지주,138040,2014/12,26762548700,11943,792.18,11.21,0,-2056388501,1.49,1.04,42036
(주)메타랩스,090370,2014/12,144811072,0,163.71,37.92,-9.58,-10838135,2.83,1.41,96385
(주)모나리자,012690,2014/12,,0,,,,,2.37,1.25,124816
(주)모나미,005360,2014/12,168281436,695,193.08,34.12,-10.44,8509753,1.72,0.61,108522
(주)모토닉,009680,2014/12,429411204,5715,14.41,87.41,-0.43,10074216,1.62,0.93,203374
(주)무학,033920,2014/12,534230440,120,28.71,77.69,20.86,128318688,2.71,1.18,285233
(주)미래아이앤지,007120,2014/12,48844887,0,29.15,77.43,-29.82,-3057062,2.22,0.68,12771
(주)백산,035150,2014/12,163001526,1452,77.12,56.46,-4.21,19408342,1.9,1.13,145694
(주)벽산,007210,2014/12,399992604,4025,64.46,60.81,7.26,25143105,2.72,0.94,285568
(주)보락,002760,2014/12,,839,,,,,1.14,0.71,31151
(주)보령,003850,2014/12,,1481,,,,,2.31,1.48,359491
(주)비비안,002070,2014/12,194159988,855,39.69,71.59,-10.34,-11103072,0.48,0.32,183214
(주)비상교육,100220,2014/12,245737968,1591,57.73,63.4,1.47,2555567,1.37,0.75,130363
(주)비와이씨,001460,2014/12,608388101,678,66.49,60.07,-3.04,27875362,0.69,0.4,178556
(주)비지에프,027410,2014/12,1338474144,14784,133.96,42.74,0,260294227,3.95,2.52,3303137
(주)빙그레,005180,2014/12,578852362,11052,19.59,83.62,1.86,44356449,2.1,1.55,819872
(주)사조대림,003960,2014/12,363336125,1193,146.91,40.5,6.99,10106715,0.77,0.47,405812
(주)사조오양,006090,2014/12,,0,,,,,0.58,0.43,111844
(주)삼성출판사,068290,2014/12,155739822,1000,58.87,62.95,10.61,11271603,1.46,0.59,56494
(주)삼양사,145990,2014/12,1081397671,8951,87.93,53.21,0.73,60386564,0.83,0.4,1264340
(주)삼양홀딩스,000070,2014/12,2795940327,11612,69,59.17,-4.97,128059186,0.79,0.55,213421
(주)삼영,003720,2014/12,186450568,0,55.13,64.46,-13.29,-3846994,0.7,0.41,131085
(주)삼원강재,023000,2014/12,,4800,,,,,1.31,0.85,282911
(주)삼익악기,002450,2014/12,378836770,3943,78.27,56.1,-2.1,29868910,2.13,0.87,103209
(주)삼천리,004690,2014/12,3659823478,7127,177.64,36.02,2.64,-61387238,0.61,0.4,3500333
(주)상상인증권,001290,2014/12,874484478,0,512.09,16.34,0,-60776346,0.61,0.3,91213
(주)서연,007860,2014/12,2266575394,3113,155.84,39.09,-33.35,115016293,2.02,0.93,1579
(주)서연이화,200880,2014/12,1465384489,4053,,,,32973909,,,477553
(주)서원,021050,2014/12,287479510,0,190.67,34.4,-64.13,12541606,0.73,0.37,256433
(주)서흥,008490,2014/12,491207876,2892,107.01,48.31,7.82,23667722,3.89,2.08,239166
(주)선앤엘,002820,2014/12,523959616,1949,95.3,51.2,19.06,14130898,0.6,0.29,277527
(주)선진,136490,2014/12,383056315,814,128.8,43.71,14.04,15192697,2.06,1.2,594896
(주)성안,011300,2014/12,262894960,0,153.81,39.4,-13.88,15379128,0.72,0.45,67841
(주)세아베스틸지주,001430,2014/12,,35596,,,,,0.97,0.53,2202367
(주)세아제강지주,003030,2014/12,2285029617,8721,94.52,51.41,10.54,8290551,0.75,0.43,1870280
(주)세아특수강,019440,2014/12,530110210,6808,92.92,51.83,-1.8,32015216,1.12,0.76,670292
(주)세아홀딩스,058650,2014/12,4141073291,7198,78.75,55.95,6.39,294600136,0.95,0.45,81200
(주)세우글로벌,013000,2014/12,36222786,0,19.28,83.84,9.05,627132,0.98,0.73,42874
(주)세이브존아이앤씨,067830,2014/12,512623544,1133,64.81,60.67,1.49,34079888,1.06,0.6,182077
(주)수산중공업,017550,2014/12,133367849,0,48.92,67.15,-14.36,4877883,1.06,0.7,104846
(주)시디즈,134790,2014/12,,0,,,,,1.51,1.03,10777
(주)신도리코,029530,2014/12,915624765,14748,11.67,89.55,-9.01,27347777,0.98,0.75,457231
(주)신성이엔지,011930,2014/12,,0,,,,,2.02,1.04,189572
(주)신세계,004170,2014/12,7931446086,11312,122.23,45,2.08,378701059,1.06,0.73,1502015
(주)신세계아이앤씨,035510,2014/12,,1720,,,,,1.36,0.79,228062
(주)신세계인터내셔날,031430,2014/12,887788838,4284,97.42,50.65,13.54,1734846,2.53,1.26,846193
(주)신세계푸드,031440,2014/12,,2904,,,,,1.62,0.81,652135
(주)신영와코루,005800,2014/09,303645633,1350,11.74,89.5,-6.04,612190,0.48,0.33,184605
(주)신원,009270,2014/12,428090184,0,141.25,41.45,3.03,23141365,1.19,0.39,594413
(주)신풍,002870,2014/12,173516996,1385,195.16,33.88,-25.38,-15968150,0.59,0.4,105171
(주)신한금융지주회사,055550,2014/12,338021804000,512428,1007.73,9.03,19.33,-2080644000,1.33,1.03,1061540
(주)신화다이나믹스,001770,2014/12,,243,,,,,0.51,0.33,62012
(주)신흥,004080,2014/12,123441738,575,48.82,67.2,0.5,10860349,1.2,0.73,123605
(주)쌍방울,102280,2014/12,138676424,0,80.71,55.34,2.04,-2762077,1.47,0.71,125022
(주)쎌마테라퓨틱스,015540,2014/12,11991189,0,28.33,77.92,13.83,-1589804,12.57,1.78,6568
(주)씨아이테크,004920,2014/12,28234174,0,52.48,65.58,0,-2150191,1.24,0.69,4779
(주)아모레퍼시픽,090430,2014/12,3854577557,62132,33.92,74.67,24.95,586111369,6.79,2.45,3182317
(주)아모레퍼시픽그룹,002790,2014/12,5499725184,27101,27.21,78.61,20.96,691392126,7.25,2.44,81553
(주)아센디오,012170,2014/12,72695478,0,103.65,49.1,-57.93,-7590742,4.52,0.76,7607
(주)아이마켓코리아,122900,2014/12,1090486207,17808,151.78,39.72,9.49,217863540,4.47,2.64,2456139
(주)아이에이치큐,003560,2014/12,80461000,0,93.77,51.61,14.81,1458128,5.32,2.84,35946
(주)알루코,001780,2014/12,432549332,0,216.32,31.61,1.55,53888767,1.43,0.74,246303
(주)에넥스,011090,2014/12,125570430,1106,132.25,43.06,12.12,-919778,2.76,0.89,258341
(주)에스비에스,034120,2014/12,798563400,0,47.81,67.66,13.14,64377811,1.45,0.85,795687
(주)에스엠벡셀,010580,2014/12,,0,,,,,1.17,0.78,92396
(주)에스원,012750,2014/12,1460060972,38882,59.44,62.72,34.87,281702972,5.6,4.33,1619767
(주)에스제이엠,123700,2014/12,173039392,3121,25.47,79.7,-14.2,10814926,1.55,0.93,84073
(주)에스제이엠홀딩스,025530,2014/12,239584139,2710,17.06,85.43,-13.06,11736441,0.72,0.55,8785
(주)에스지글로벌,001380,2014/12,201184232,0,61.5,61.92,-11.5,-11915232,0.75,0.54,99003
(주)에스지세계물산,004060,2014/12,289973999,0,45.52,68.72,8.48,-3906150,0.75,0.58,340529
(주)에스피씨삼립,005610,2014/12,571738945,4299,155.74,39.1,3.88,42434916,9.26,2.64,1028618
(주)에이블씨엔씨,078520,2014/12,228316962,750,34.63,74.28,-0.92,-10995902,2.91,1.5,398501
(주)에이엔피,015260,2014/12,332655332,0,356.06,21.93,4.15,-1068110,0.87,0.57,84654
(주)에이프로젠,007460,2014/12,,0,,,,,1.87,0.93,76535
(주)에이프로젠바이오로직스,003060,2014/12,84828018,0,36.57,73.22,12.01,-6917182,1.71,0.96,23798
(주)에프앤에프홀딩스,007700,2014/12,322662218,2310,70.25,58.74,35.54,-18592918,1.44,0.59,301122
(주)엔씨소프트,036570,2014/12,1698826128,68499,23.5,80.97,10.85,263580917,4.35,2.1,612652
(주)엔아이스틸,008260,2014/12,,1421,,,,,1.48,0.72,126581
(주)엔케이,085310,2014/12,324613903,2242,98.43,50.4,8.2,-8949855,1.51,0.69,207894
(주)엘에스,006260,2014/12,10335736000,34709,240.76,29.35,-4.88,409172000,1.63,1.01,97844
(주)엘에스네트웍스,000680,2014/12,1590408230,437,106.72,48.37,23.35,-47902542,0.67,0.5,845739
(주)엘에프,093050,2014/12,1402966835,14620,42.73,70.06,-1.74,102548362,1.07,0.76,1385279
(주)엘엑스인터내셔널,001120,2014/12,4896827844,11598,212.85,31.96,-5.8,348366137,0.97,0.62,3776502
(주)엘엑스하우시스,108670,2014/12,2057065000,18015,147.82,40.35,5.53,161756000,2.82,1.74,2440439
(주)엘지,003550,2014/12,17332707000,175937,37.72,72.61,0.68,600272000,1.8,1.22,575744
(주)엘지생활건강,051900,2014/12,3828347997,67129,124.08,44.63,8.11,465790652,10.38,6.68,2513352
(주)엘지유플러스,032640,2014/12,12012660000,65492,187.53,34.78,-3.93,2015383000,1.88,1.28,10984928
(주)엘지헬로비전,037560,2014/12,2170450143,5809,140.21,41.63,9.49,368722925,2.14,0.99,1084790
(주)엘지화학,051910,2014/12,18127646000,294520,47.79,67.66,-2.44,1994425000,2.04,1.16,19675975
(주)엠씨넥스,097520,2014/12,289081108,1768,275.49,26.63,38.07,1118910,0,0,378395
(주)영원무역,111770,2014/12,1394096456,8862,37.72,72.61,12.46,194701837,4.51,2.18,1140086
(주)영원무역홀딩스,009970,2014/12,1774790424,5802,32.41,75.52,7.47,210409793,4.29,2.27,27005
(주)영풍,000670,2014/12,3895357159,12901,33.76,74.76,-14.58,212656677,1.73,1.2,1103441
(주)영흥,012160,2014/12,342544251,2268,98.59,50.36,-10.51,9084873,1.53,0.84,142852
(주)예스코홀딩스,015360,2014/12,1346602638,6313,112.47,47.07,-7.69,36806772,0.44,0.37,1233261
(주)오뚜기,007310,2014/12,1351560245,13508,64.16,60.92,3.1,117376751,3.41,1.83,1745068
(주)오리온홀딩스,001800,2014/12,2932519219,31594,109.09,47.83,-0.89,215706935,7.59,5.69,751707
(주)와이지플러스,037270,2014/12,109807020,0,4.56,95.64,-57.14,-1827042,1.23,0.35,5975
(주)와이투솔루션,011690,2014/12,105462905,0,180.59,35.64,18.48,3137787,1.83,0.73,137134
(주)우성,006980,2014/12,275013700,1286,57.68,63.42,-5.8,13253354,0.8,0.52,294197
(주)우신시스템,017370,2014/12,206045227,273,122.17,45.01,51.38,10129458,0.67,0.4,138963
(주)우진,105840,2014/12,176954856,2951,51.08,66.19,35.88,-9280290,2.1,1.43,56067
(주)우진플라임,049800,2014/12,357473069,0,332.02,23.15,-3.49,-2484105,0.71,0.48,183841
(주)웅진,016880,2014/12,1605785214,0,403.55,19.86,8.38,46700203,0.65,0.3,168922
(주)웅진씽크빅,095720,2014/12,465783924,0,91.15,52.32,-0.91,22664212,1.5,1.03,633160
(주)원림,005820,2014/12,128988268,686,33.2,75.07,0,6689284,0.75,0.45,57955
(주)위스컴,024070,2014/12,134020212,3005,12.78,88.67,-5.18,11956614,0.88,0.62,132473
(주)윌비스,008600,2014/12,245277935,1009,93.31,51.73,-1.31,16927336,0.58,0.34,224675
(주)유니드,014830,2014/12,831508123,7244,57.02,63.69,-1.87,62589107,1.04,0.79,533089
(주)유니온,000910,2014/12,176787596,1045,35.47,73.82,3.1,11108069,0.69,0.42,117652
(주)유수홀딩스,000700,2014/12,410411512,0,85.58,53.88,0,255817492,4.22,1.12,14751
(주)유유제약,000220,2014/03,96264545,1071,33.19,75.08,0.02,-775172,1.09,0.67,53389
(주)유한양행,000100,2014/12,1615971978,18038,26.66,78.95,7.83,94385653,1.96,1.59,1008180
(주)이마트,139480,2014/12,13827456646,41796,95.86,51.06,0.91,700957667,1.12,0.8,10838213
(주)이수페타시스,007660,2014/12,521615979,3187,162.61,38.08,-5.72,28480469,1.45,0.77,307236
(주)이수화학,005950,2014/12,1093778459,1478,192.64,34.17,-10.67,-7936329,0.41,0.26,1476020
(주)이스타코,015020,2014/12,70532658,0,44.85,69.04,-50.91,-16685448,4.73,1.4,7267
(주)이아이디,093230,2014/12,46246160,0,180.6,35.64,0,-4657829,6.29,2.08,9257
(주)이엔플러스,074610,2014/12,12279914,0,58.77,62.98,5.93,172388,2.06,0.98,16612
(주)이원,017940,2014/12,3658165076,11564,193.41,34.08,-4.23,42206287,0.49,0.39,5912088
(주)이월드,084680,2014/12,,0,,,,,3.47,0.67,21870
(주)인디에프,014990,2014/12,179919716,0,121.53,45.14,-5.14,6245476,1.01,0.45,187272
(주)인바이오젠,101140,2014/12,,0,,,,,5.38,2.42,11762
(주)인스코비,006490,2014/12,23903472,0,14.26,87.52,0,-8268463,7.02,3.69,24276
(주)인팩,023810,2014/12,164019435,1400,74.92,57.17,-0.28,9899201,1.73,0.83,145368
(주)일신석재,007110,2014/12,,0,,,,,2.06,1.35,39437
(주)제일기획,030000,2014/12,1843852104,0,108.89,47.87,-1.59,55909774,4.74,2.57,882393
(주)제주은행,006220,2014/12,3475694000,2213,1037.78,8.79,-4.28,-98793000,0.64,0.39,168325
(주)조비,001550,2014/12,,0,,,,,2.09,1.46,54846
(주)조흥,002600,2014/12,,1500,,,,,0.76,0.49,112728
(주)종근당,185750,2014/12,,7523,,,,,2.47,1.89,544130
(주)종근당바이오,063160,2014/12,,513,,,,,1.26,0.53,106390
(주)종근당홀딩스,001630,2014/12,302655737,2349,60.59,62.27,-67.64,3621197,2.44,1.15,11188
(주)주연테크,044380,2014/12,,0,,,,,1.43,0.71,42813
(주)지에스,078930,2014/12,15072770000,113699,108.82,47.89,13.39,500351000,1.18,0.79,253556
(주)지에스글로벌,001250,2014/12,856611062,2812,240.32,29.38,15.36,-101589430,0.86,0.68,2507551
(주)지에스리테일,007070,2014/12,2920088717,46200,73.66,57.59,5.39,368414769,1.52,1.05,4958374
(주)지투알,035000,2014/12,398436358,3242,217.79,31.47,10.46,6660616,1.62,1.39,11291
(주)진도,088790,2014/12,156519480,0,106.63,48.4,-20.74,5096675,0.56,0.39,120946
(주)진양홀딩스,100250,2014/12,533931547,6849,41.68,70.58,2.79,23219854,1.82,0.6,12219
(주)천일고속,000650,2014/12,,0,,,,,1.85,1.05,60154
(주)청호ICT,012600,2014/12,96783737,0,164.69,37.78,-0.63,-6260234,0.95,0.5,53327
(주)카프로,006380,2014/12,,0,,,,,0.92,0.35,391545
(주)케이씨,029460,2014/12,352438882,3212,34.15,74.54,25.65,35941292,1.34,0.77,231612
(주)케이씨씨,002380,2014/12,8654534051,78375,38.93,71.98,5.16,276513308,1.3,0.79,3032297
(주)케이씨티시,009070,2014/12,333591386,897,102.22,49.45,-5.24,12233426,0.86,0.07,210837
(주)케이에스에스해운,044450,2014/12,,2304,,,,,1.05,0.75,137526
(주)케이에이치필룩스,033180,2014/12,101016572,1012,54.11,64.89,6.21,5705645,1.79,1.09,49811
(주)케이이씨,092220,2014/12,346623526,0,128.99,43.67,-15.34,-4576098,1.01,0.26,210980
(주)케이티,030200,2014/12,33775502000,0,186.47,34.91,-1.63,1916413000,1.34,1.02,17435803
(주)케이티스카이라이프,053210,2014/12,683008720,16647,56.41,63.94,4.71,140057362,3.9,2.25,622800
(주)케이티씨에스,058850,2014/12,303735131,5122,105.89,48.57,0,-7328349,1.31,0.9,438038
(주)케이티아이에스,058860,2014/12,,4176,,,,,1.43,0.9,450663
(주)케이티앤지,033780,2014/12,7317144547,428056,29.43,77.26,8.43,760920773,2.95,2.05,2763667
(주)코리아써키트,007810,2014/12,542551001,2756,36.52,73.25,1.12,69547386,1.2,0.61,446627
(주)코아스,071950,2014/12,101027896,0,148.35,40.27,12.08,9685993,1.63,0.84,96550
(주)코오롱,002020,2014/12,3578435131,6623,288.63,25.73,-6.51,-25715801,0.89,0.41,59153
(주)콤텍시스템,031820,2014/12,116860847,0,129.01,43.67,2.44,12280899,1.52,0.87,184932
(주)큐로,015590,2014/12,295677320,0,279.09,26.38,23.9,-7403753,1.63,1.11,273527
(주)크라운해태홀딩스,005740,2014/12,1089820120,1519,311.66,24.29,-3.06,88261462,2.08,1.01,420760
(주)키다리스튜디오,020120,2014/12,37934587,447,66.04,60.23,0,2364819,2.88,1.98,20011
(주)태경비케이,014580,2014/12,,2758,,,,,0.77,0.6,121842
(주)태영건설,009410,2014/12,2879040735,0,133.45,42.84,-14,4018267,0.77,0.45,1109445
(주)티비에이치글로벌,084870,2014/12,523803644,0,92.72,51.89,-0.97,8500975,4.52,2.02,146245
(주)티에이치엔,019180,2014/12,208631661,129,2161.97,4.42,1.71,3079704,0.65,0.49,179696
(주)티웨이홀딩스,004870,2014/12,115512019,0,183.29,35.3,78.18,20179129,5.39,1.19,17752
(주)팜스코,036580,2014/12,727461542,0,174.27,36.46,12.02,63874602,2.21,1.1,839533
(주)퍼시스,016800,2014/12,,6645,,,,,1.39,0.92,219920
(주)포스코인터내셔널,047050,2014/12,9340867224,56938,293.34,25.42,19.28,-437624644,7.12,4.84,19938097
(주)풀무원,017810,2014/12,1053567589,3799,214.79,31.77,10.28,82173857,2.99,1.15,74000
(주)풍산,103140,2014/12,2859105521,16807,172.72,36.67,-0.72,35291552,0.87,0.62,2243350
(주)풍산홀딩스,005810,2014/12,677038412,7790,21.5,82.31,-1.48,12575432,0.94,0.5,120372
(주)플레이그램,009810,2014/12,31292686,0,24.81,80.12,-4.67,3900512,1.38,0.49,8912
(주)하나금융지주,086790,2014/12,315548246000,130452,1341.28,6.94,17.22,5056570000,0.93,0.65,306761
(주)하나투어,039130,2014/12,437391987,7710,132.66,42.98,9.3,103654799,6.44,4.85,315418
(주)하이스틸,071090,2014/12,,300,,,,,0.34,0.23,190829
(주)하이트론씨스템즈,019490,2014/12,61769829,0,40.66,71.09,-25.4,-3100381,0.89,0.59,72573
(주)한국전자홀딩스,006200,2014/12,198274046,0,64.36,60.84,-20.42,9284918,0.3,0.14,6287
(주)한국종합기술,023350,2014/12,,1095,,,,,0.73,0.43,164370
(주)한국카본,017960,2014/12,343287705,4920,21.63,82.22,-4.06,18845006,1.26,0.71,229643
(주)한국특강,007280,2014/12,,250,,,,,0.43,0.27,433240
(주)한국화장품제조,003350,2014/12,,0,,,,,2.17,0.43,35457
(주)한농화성,011500,2014/12,,1376,,,,,1.03,0.65,217780
(주)한독,002390,2014/12,,1867,,,,,1.24,0.71,348311
(주)한미글로벌건축사사무소,053690,2014/12,153681052,1703,155.57,39.13,-9.38,3286611,1.13,0.81,91869
(주)한샘,009240,2014/12,544027391,15368,60.93,62.14,31.59,49929651,11.49,3.78,1265509
(주)한섬,020000,2014/12,1048239684,6591,27.11,78.67,11.49,7033604,1.17,0.79,509180
(주)한솔케미칼,014680,2014/12,474362300,6653,122.45,44.95,6.01,32406393,2.44,1.56,277931
(주)한솔홈데코,025750,2014/12,292076005,0,118.77,45.71,0.56,4413443,1.57,0.81,235257
(주)한익스프레스,014130,2014/12,94846279,600,108.01,48.07,11.51,16861984,1.44,0.61,346462
(주)한진,002320,2014/12,1955921456,4721,148.88,40.18,2.21,85580984,0.88,0.3,1306361
(주)한진중공업홀딩스,003480,2014/12,2722203000,2472,145.84,40.68,26.84,50230000,0.34,0.2,15091
(주)한진칼,180640,2014/12,2416821444,3839,48.7,67.25,0,117760028,0.88,0.42,41815
(주)한창,005110,2014/12,44038164,434,80.7,55.34,-14.88,-2104415,2.03,0.53,12877
(주)한창제지,009460,2014/12,,0,,,,,1.21,0.88,174242
(주)한화,000880,2014/12,123684262290,34803,920.9,9.8,-3.27,4579017163,1.17,0.72,5057047
(주)현대리바트,079430,2014/12,345197898,1347,57.69,63.41,15.92,24766700,3.93,0.97,631153
(주)현대미포조선,010620,2014/12,10063720316,0,422.36,19.14,-0.46,405768405,2.13,0.75,3365277
(주)현대백화점,069960,2014/12,5683921344,16125,50.01,66.66,1.18,398515539,1.4,0.98,1121050
(주)현대지에프홀딩스,005440,2014/12,1882969346,5238,36.28,73.38,11.52,62352561,1.8,1.31,1364600
(주)현대퓨처넷,126560,2014/12,641188873,4314,11.85,89.4,1.25,101679487,1.85,1.22,41820
(주)현대홈쇼핑,057050,2014/12,,15397,,,,,1.87,1.15,867892
(주)혜인,003010,2014/12,257110072,563,166.88,37.47,13.61,-24405551,0.55,0.42,214272
(주)호텔신라,008770,2014/12,1907452204,13811,161.3,38.27,26.64,122099261,7.48,3.06,2795389
(주)화승인더스트리,006060,2014/12,533010981,0,354.3,22.01,0.02,17247304,1.13,0.58,226709
