회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]   배당금(*)(요약)(IFRS),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
(주)BNK금융지주,138930,2014/12,84050063927,46876,1438.27,6.5,44.91,-130549478,1.08,0.86,404433
(주)DB하이텍,000990,2014/12,984876636,0,715.95,12.26,14.98,48078139,5.25,2.02,567718
(주)HJ중공업,097230,2014/12,6470284000,0,311.31,24.31,-0.36,-238336000,0.68,0.2,1799016
(주)JB금융지주,175330,2014/12,35507408000,12650,1457.74,6.42,0,-1198498000,0.67,0.49,31514
(주)KB금융지주,105560,2014/12,308355708000,301354,1020.78,8.92,-5.09,3276746000,0.93,0.73,510920
(주)MH에탄올,023150,2014/12,85534839,1476,62.03,61.72,-21.25,5159224,1.63,0.41,48984
(주)SH에너지화학,002360,2014/12,110741407,4991,31.46,76.07,-0.43,24749424,3.07,1.02,226971
(주)SIMPAC,009160,2014/12,381939281,2161,74.3,57.37,27.9,34443800,1.11,0.72,227492
(주)SNT에너지,100840,2014/12,,3542,,,,,0.65,0.52,242747
(주)SNT홀딩스,036530,2014/12,2039388864,3201,50.39,66.49,-1.52,95278602,0.83,0.55,7702
(주)STX,011810,2014/12,1255002000,0,1239.93,7.46,-33.27,-76097000,28.64,1.7,1291351
(주)TCC스틸,002710,2014/12,551000563,1883,191.48,34.31,3.63,-21440429,0.37,0.24,401324
(주)강원랜드,035250,2014/12,3375127289,172328,24.76,80.16,9.94,510413141,3.09,2.35,1492291
(주)갤럭시아에스엠,011420,2014/12,45274078,0,95.1,51.26,-5.49,-70410,3.78,1.6,33028
(주)경농,002100,2014/12,284623063,2112,68.5,59.35,-4.01,14706590,0.88,0.47,134807
(주)경동나비엔,009450,2014/12,401658957,1262,111.38,47.31,3.58,-13266158,2.62,1.35,382392
(주)경동인베스트,012320,2014/12,1320789066,4355,117.43,45.99,-6.64,20818461,0.85,0.61,2399451
(주)경방,000050,2014/12,1301841379,1371,101,49.75,-5.23,23819336,0.85,0.45,256979
(주)경인양행,012610,2014/12,313039125,1951,57.91,63.33,6.28,18368986,1.79,0.84,190395
(주)광명전기,017040,2014/12,138580023,0,76.1,56.79,14.36,11464334,1.8,1.36,115801
(주)광주신세계,037710,2014/12,,2000,,,,,1.21,0.83,204820
(주)국동,005320,2014/12,89271398,0,211.71,32.08,25.85,-12910,4.52,0.52,117862
