회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]   배당금(*)(요약)(IFRS),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
(주)BNK금융지주,138930,2016/12,93482189322,74962,1219.04,7.58,-5.05,-1125805874,0.71,0.55,130467
(주)DB하이텍,000990,2016/12,986788572,0,188.6,34.65,15.98,248312191,2.75,1.54,773140
(주)HJ중공업,097230,2016/12,5256464000,0,487.19,17.03,-9.7,-36763000,0.55,0.33,1928591
(주)JB금융지주,175330,2016/12,45798925000,7772,1445.27,6.47,5.12,-669193000,0.67,0.53,61606
(주)KB금융지주,105560,2016/12,375673656000,497969,1101.72,8.32,14.04,1124987000,0.93,0.58,707800
(주)MH에탄올,023150,2016/12,72339673,2163,13.77,87.89,-2.96,12245831,1.06,0.8,48897
(주)SH에너지화학,002360,2016/12,124488724,6100,19.6,83.61,0.9,11685757,2.52,1.32,214380
(주)SIMPAC,009160,2016/12,417865468,2651,73.81,57.53,-0.91,35245662,0.77,0.56,215839
(주)SNT에너지,100840,2016/12,,0,,,,,0.93,0.52,254090
(주)SNT홀딩스,036530,2016/12,2210178425,5527,44.37,69.27,-4.65,143865685,1.16,0.54,9818
(주)STX,011810,2016/12,707709000,0,0,-46.71,5.48,57833000,0,0,1465561
(주)TCC스틸,002710,2016/12,282914735,0,173.78,36.53,-10.36,-35273178,0.85,0.46,317236
(주)강원랜드,035250,2016/12,3978987574,200712,22.33,81.75,3.84,596486851,3.13,2.48,1694575
(주)갤럭시아에스엠,011420,2016/12,58444606,0,30.32,76.73,-15.76,-1195544,2.34,1.03,45666
(주)경농,002100,2016/12,320915151,4734,74.44,57.33,3.85,15996174,1.04,0.61,143210
(주)경동나비엔,009450,2016/12,429754702,1894,79.99,55.56,13.91,61333200,4.13,1.68,506082
(주)경동인베스트,012320,2016/12,1126122628,4150,91.54,52.21,-26.32,26876328,0.58,0.38,1021003
(주)경방,000050,2016/12,1301910960,4935,91.5,52.22,5.54,67981079,0.88,0.06,313877
(주)경보제약,214390,2016/12,,4781,,,,,4.49,2.3,186726
(주)경인양행,012610,2016/12,344298515,1977,65.3,60.5,4.45,19013689,1.53,0.68,179268
