회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),배당금(*)(IFRS)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),PER(최저)(IFRS),PBR(최고)(IFRS),매출액(요약)(백만원)
(주)BNK금융지주,138930,2020/12,114156870957,103818134,1085.89,8.43,-1.27,-1111331674,4.64,0.49,311488
(주)DB하이텍,000990,2020/12,1178581197,15207000,48.33,67.42,15.92,309982630,3.9,3.07,935920
(주)HJ중공업,097230,2020/12,2193855000,0,585.57,14.59,4.12,264454000,3.91,2.68,1694634
(주)JB금융지주,175330,2020/12,53375463000,72685000,1224.83,7.55,0.3,-387865000,4.47,0.63,181820
(주)KB금융지주,105560,2020/12,610672192000,689653000,1308.33,7.1,18.04,-11540694000,7.79,1,1597934
(주)MH에탄올,023150,2020/12,449679366,2277984,459.13,17.89,17.02,18985796,37.65,1.85,51277
(주)SH에너지화학,002360,2020/12,117356594,0,30.38,76.7,-33.56,4213790,0,2.17,91354
(주)SIMPAC,009160,2020/12,737277692,3449178,58.9,62.93,-14.93,-17042761,4.14,0.46,272087
(주)SNT에너지,100840,2020/12,335351657,2604780,42.24,70.31,11.28,70341151,8.18,0.64,229991
(주)SNT홀딩스,036530,2020/12,2270485740,5906201,40.37,71.24,-5.05,261292399,7.14,0.66,25310
(주)STX,011810,2020/12,617563000,0,655.62,13.23,-33.69,57915000,0,7.04,788462
(주)TCC스틸,002710,2020/12,306758932,840407,153.25,39.49,-1.23,-5592098,0,1.51,323435
(주)강원랜드,035250,2020/12,3641632201,0,12.15,89.16,-68.52,-655676332,0,1.96,477475
(주)갤럭시아에스엠,011420,2020/12,,0,,,,,19.4,3.24,19540
(주)경농,002100,2020/12,371525656,4466162,75.77,56.89,9.14,15868144,11.95,2.27,165655
(주)경동나비엔,009450,2020/12,734688738,4721175,111.02,47.39,12.8,57625120,17.57,2.95,746325
(주)경동도시가스,267290,2020/12,699658165,5154124,96.16,50.98,-23.61,314378,3.78,0.39,1086023
(주)경동인베스트,012320,2020/12,589277835,1090176,36.8,73.1,14.27,18457523,29.97,0.31,7701
(주)경방,000050,2020/12,1264902051,3251909,70.49,58.66,-4.27,33635651,7.11,0.55,226062
(주)경보제약,214390,2020/12,,2390686,,,,,11.64,3.59,215285
(주)경인양행,012610,2020/12,505102151,2058838,121.17,45.21,-8.22,54551658,0,2.34,214380
(주)광명전기,017040,2020/12,165884690,650064,51.1,66.18,-6.31,5269896,9.3,1.13,112536
(주)광주신세계,037710,2020/12,,5570033,,,,,4.13,0.42,147508
(주)국동,005320,2020/12,180700682,1931490,115.54,46.39,13.6,25978507,0,3.26,167078
(주)국보,001140,2020/12,90823631,0,194.62,33.94,23.39,-10627275,0,4.91,53289
(주)금양,001570,2020/12,219851714,0,175.52,36.29,2,-507536,0,7.46,120928
(주)금호에이치티,214330,2020/12,344298589,0,54.3,64.81,-12.53,14753679,0,0.76,181174
(주)까뮤이앤씨,013700,2020/12,,664684,,,,,3.43,2.03,161729
