회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),배당금(*)(IFRS)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),PER(최저)(IFRS),PBR(최고)(IFRS),매출액(요약)(백만원)
(주)BNK금융지주,138930,2021/12,128287034114,181681735,1154.86,7.97,7.07,-1116534682,8.58,0.6,280016
(주)DB하이텍,000990,2021/12,1549937896,19563000,40.13,71.36,29.78,393129115,6.84,3.3,1214682
(주)HJ중공업,097230,2021/12,2385236000,0,452.13,18.11,0.63,-110633000,0,2.03,1705790
(주)JB금융지주,175330,2021/12,56395637000,116412000,1203.44,7.67,5.21,235910000,7.88,0.93,171702
(주)KB금융지주,105560,2021/12,663895834000,853299000,1274.7,7.27,0,-6700265000,11.63,1.15,1654411
(주)MH에탄올,023150,2021/12,451460752,2277984,432.99,18.76,7.84,26371475,11.35,2.62,45892
(주)SH에너지화학,002360,2021/12,119629058,1096915,30.4,76.69,49.39,-3788840,122.6,1.79,139284
(주)SIMPAC,009160,2021/12,903229593,11172128,65.23,60.52,67.55,63747133,2.45,1.36,490855
(주)SNT에너지,100840,2021/12,332143488,2634814,35.65,73.72,0,29859821,8.76,0.88,165466
(주)SNT홀딩스,036530,2021/12,2372324440,5783865,33.27,75.04,0,90010420,14.19,0.93,18897
(주)STX,011810,2021/12,676149000,0,451.82,18.12,-5.13,-12528000,0,6.68,647804
(주)TCC스틸,002710,2021/12,366996615,3479073,136.42,42.3,24.28,7630671,2.92,2.08,407836
(주)강원랜드,035250,2021/12,3827273464,0,17.66,84.99,64.74,210874269,0,1.95,787377
(주)갤럭시아에스엠,011420,2021/12,,0,,,,,10.44,3.28,28899
(주)경농,002100,2021/12,388785779,6252628,64.18,60.91,8.85,10815548,8.43,1.86,174768
(주)경동나비엔,009450,2021/12,933884529,6503819,107.34,48.23,26.28,80668519,10.21,3.13,951116
(주)경동도시가스,267290,2021/12,904491766,5154124,140.93,41.51,0,138736973,4.7,0.46,1456386
(주)경동인베스트,012320,2021/12,577693061,1635264,31.37,76.12,-3.89,25395956,186.3,0.4,8866
(주)경방,000050,2021/12,1270805118,3130605,68.96,59.19,0,20910159,13.53,0.56,271718
(주)경보제약,214390,2021/12,,1195343,,,,,0,3.17,170660
(주)경인양행,012610,2021/12,579492465,2073838,130.08,43.46,22.48,9230963,13.58,1.62,276227
(주)광명전기,017040,2021/12,169926627,433376,47.59,67.76,10.96,-2536009,18.65,1.95,122751
(주)광주신세계,037710,2021/12,,13527223,,,,,4.53,0.53,169972
(주)국동,005320,2021/12,168474551,0,64.58,60.76,-10.44,-25316837,0,3.52,111711
(주)국보,001140,2021/12,102314952,0,221.31,31.12,-11.9,2033468,0,5.12,53418
(주)금양,001570,2021/12,314832085,0,168.15,37.29,23.58,-39808116,849.83,5.77,175521
(주)금호에이치티,214330,2021/12,458795624,0,30.78,76.46,6.54,4893537,0,1.65,197312
(주)까뮤이앤씨,013700,2021/12,,664684,,,,,0,1.78,163687
(주)나이스홀딩스,034310,2021/12,3083783180,13976384,133.54,42.82,19.19,229477209,23.22,2.46,43252
(주)남선알미늄,008350,2021/12,355238355,0,50.57,66.41,-14.2,12056159,0,3.23,230344
(주)남성,004270,2021/12,288756910,783062,143.53,41.06,10.58,-2012884,14.23,1.56,82098
(주)넥센,005720,2021/12,4572292481,5543277,116,46.3,22.12,236049353,8.9,0.54,507421
(주)노루페인트,090350,2021/12,670646934,5629675,94.4,51.44,13.69,23768428,17.74,1.16,646953
(주)노루홀딩스,000320,2021/12,1055537182,4689122,80.89,55.28,12.64,25399226,24.62,0.8,21744
(주)녹십자,006280,2021/12,2462144732,22826000,64.17,60.91,2.24,125978949,17.56,5.73,1170305
(주)녹십자홀딩스,005250,2021/12,3496833927,18162000,83.01,54.64,7.05,103769151,33.55,4.43,73934
(주)농심,004370,2021/12,2899907794,23130496,31.77,75.89,0.88,162684342,23.13,1.05,2102582
(주)농심홀딩스,072710,2021/12,1328637732,9275528,27.89,78.19,9.93,42391506,25.65,0.75,19291
(주)다우기술,023590,2021/12,46322445970,25959970,903.42,9.97,28.61,-3480396427,15.6,2.38,272897
(주)다이나믹디자인,145210,2021/12,116040977,0,177.65,36.02,-31.03,1462327,0,4.05,27513
(주)대교,019680,2021/12,813566533,4302658,57.55,63.47,1.82,46422418,0,1.25,593166
(주)대구백화점,006370,2021/12,486599802,832803,91.55,52.21,-10.22,-18428482,0,0.68,75955
(주)대덕,008060,2021/12,1723958191,10536814,25.57,79.64,40693.19,254045945,21.65,0.67,13869
(주)대동,000490,2021/12,1260639076,1658257,226.67,30.61,31.64,-5872607,9.99,1.45,886115
(주)대양금속,009190,2021/12,,0,,,,,10.12,2.85,203424
(주)대우건설,047040,2021/12,10457976991,0,225.15,30.76,0,1746844561,5.89,1.49,8085720
(주)대웅,003090,2021/12,1933709055,4156569,67.13,59.83,0,133175353,35.07,10.8,96234
(주)대웅제약,069620,2021/12,1415179681,6641525,101.48,49.63,0,39994279,38.2,5.21,1055170
(주)대유에이텍,002880,2021/12,1320996327,0,596.36,14.36,12.88,-22033420,0,2.39,419101
(주)대유플러스,000300,2021/12,594393688,0,327.91,23.37,13.04,-13743011,0,2.08,160425
(주)대창,012800,2021/12,810738132,2289679,195.77,33.81,36.86,-38695086,4.4,1.26,594658
