회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]   배당금(*)(요약)(IFRS),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
(주)BNK금융지주,138930,2011/12,39358672618,67683,,,,199416929,,,135050
(주)DB하이텍,000990,2011/12,1199043869,0,289.22,25.69,-10.94,60749180,3.66,1.21,534317
(주)HJ중공업,097230,2011/12,7036680000,0,276.93,26.53,-8.72,-401788000,1.13,0.38,2316017
(주)KB금융지주,105560,2011/12,277600817000,278173,1101.75,8.32,6.4,-4007190000,1.38,0.76,26999
(주)MH에탄올,023150,2011/12,134206851,0,214.54,31.79,-18.64,178820,0.5,0.22,43207
(주)SH에너지화학,002360,2011/12,104710740,0,60.5,62.31,14.99,5825197,0.73,0.42,172753
(주)SIMPAC,009160,2011/12,310879328,2702,84.02,54.34,18.47,18427061,1.54,0.78,213868
(주)SNT에너지,100840,2011/12,,0,,,,,0.99,0.54,195319
(주)SNT홀딩스,036530,2011/12,2124828265,5883,62.08,61.7,10.91,86981830,0.64,0.39,2258
(주)STX,011810,2011/12,5234175000,14671,173.19,36.6,47.5,55801000,1.94,0.59,4173397
(주)TCC스틸,002710,2011/12,454329510,3195,101.53,49.62,11.61,-10245999,0.69,0.34,456928
(주)강원랜드,035250,2011/12,2711401782,184734,20.11,83.25,-3.66,417827759,3.25,2.37,1263651
(주)갤럭시아에스엠,011420,2011/12,45110356,0,78.49,56.03,0,5951394,5.08,2.12,31931
(주)경농,002100,2011/12,173774102,1468,21.53,82.28,0,14162963,0.66,0.41,120728
(주)경동나비엔,009450,2011/12,263211016,1247,56.57,63.87,11.09,15493744,3.2,0.41,318269
(주)경동인베스트,012320,2011/12,1001490869,3832,145.55,40.73,35.8,88589199,0.5,0.36,1806175
(주)경방,000050,2011/12,1352324332,0,114.76,46.56,2.59,-14647398,0.45,0.26,275747
(주)경인양행,012610,2011/12,319596954,1845,81.29,55.16,-12.89,9839673,1.06,0.45,128708
(주)광명전기,017040,2011/12,123886511,0,96.84,50.8,-10.75,1765403,3.07,1.14,57968
(주)광주신세계,037710,2011/12,,2000,,,,,1.04,0.78,219614
