회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]   배당금(*)(요약)(IFRS),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
(주)BNK금융지주,138930,2018/12,98793581957,97776,1072.63,8.53,4.88,354436107,0.78,0.51,102094
(주)DB하이텍,000990,2018/12,1066533840,10857,91,52.36,-1.54,180343534,1.84,0.88,669279
(주)HJ중공업,097230,2018/12,2733620000,0,0,-25.91,-30.76,420195000,0,0,1750954
(주)JB금융지주,175330,2018/12,46779843000,34982,1252.68,7.39,6.85,432089000,0.58,0.45,100858
(주)KB금융지주,105560,2018/12,479588298000,759736,1242.89,7.45,7.13,-8957618000,1.58,1.01,1115279
(주)MH에탄올,023150,2018/12,440177523,2348,380.62,20.81,40.05,-11269669,0.78,0.51,46943
(주)SH에너지화학,002360,2018/12,122434685,2549,16.17,86.08,-2.4,5202762,2.06,0.9,180753
(주)SIMPAC,009160,2018/12,681750819,3633,56.71,63.81,32.74,37360242,0.38,0.14,268864
(주)SNT에너지,100840,2018/12,,105,,,,,0.55,0.33,139516
(주)SNT홀딩스,036530,2018/12,2113834573,6307,40.62,71.12,-7.08,128942884,0.62,0.42,7292
(주)STX,011810,2018/12,554061000,0,765.34,11.56,-16.68,-48114000,11.95,3.36,1329890
(주)TCC스틸,002710,2018/12,304781579,1707,171.53,36.83,5.57,21492009,0.64,0.39,351302
(주)강원랜드,035250,2018/12,4231241354,182465,17.97,84.77,-10.37,363918692,2.15,1.59,1436042
(주)갤럭시아에스엠,011420,2018/12,33253331,0,25.62,79.61,-40.83,-2809869,3.72,1.31,22030
(주)경농,002100,2018/12,357260541,4466,77.34,56.39,2.96,10607249,1.97,0.68,146217
(주)경동나비엔,009450,2018/12,583595818,3156,108.35,48,6.15,-14286091,4.09,1.94,618058
(주)경동도시가스,267290,2018/12,778269612,4124,142.84,41.18,84.33,120705226,0.82,0.5,1605687
(주)경동인베스트,012320,2018/12,592002536,1137,48.79,67.21,17.21,12513851,0.58,0.27,7461
(주)경방,000050,2018/12,1301792841,3371,83.67,54.45,-2.59,12093896,0.65,0.39,279085
(주)경보제약,214390,2018/12,,4781,,,,,2.91,1.57,201344
(주)경인양행,012610,2018/12,412996589,2008,84.57,54.18,10.37,1873412,1.57,0.99,222659
(주)광명전기,017040,2018/12,151823119,0,53.75,65.04,12.36,-3815893,2.81,1.09,96950
(주)광주신세계,037710,2018/12,,4800,,,,,0.64,0.43,135213
(주)국동,005320,2018/12,123134702,0,154.02,39.37,14.59,-3944667,1.79,0.67,136812
(주)국보,001140,2018/12,48188113,0,259.29,27.83,-8.57,-6078157,11.05,2.79,66930
(주)금양,001570,2018/12,204777156,3057,157.72,38.8,13.9,17366463,2.8,1.94,151676
(주)금호에이치티,214330,2018/12,238380056,0,90.93,52.38,16.44,1469654,0.73,0.35,189250
(주)까뮤이앤씨,013700,2018/12,,665,,,,,1.27,0.08,116297
(주)나이스홀딩스,034310,2018/12,2172977804,6819,108.94,47.86,11.16,248439460,2.49,1.6,40325
(주)남선알미늄,008350,2018/12,303023071,0,79.6,55.68,0,24209488,2.22,0.63,347835
(주)남성,004270,2018/12,205083689,315,147.78,40.36,-9.5,979658,1.1,0.41,63605
(주)넥센,005720,2018/12,3825103267,4226,103.16,49.22,333.09,135605706,0.81,0.51,341729
(주)노루페인트,090350,2018/12,607444943,5118,97.35,50.67,11.48,13983628,0.94,0.54,537142
(주)노루홀딩스,000320,2018/12,987142342,4690,75.81,56.88,8.39,7431567,0.76,0.52,32517
(주)녹십자,006280,2018/12,1723409866,11413,53.03,65.35,3.65,14410216,3.17,1.45,1141423
(주)녹십자홀딩스,005250,2018/12,2628599972,11352,80.89,55.28,5.68,37643839,3.82,1.8,140084
(주)농심,004370,2018/12,2532286535,23131,33.44,74.94,1.28,146872696,1.18,0.69,1857814
(주)농심홀딩스,072710,2018/12,1194827993,9276,33.37,74.98,9.39,15566568,1.01,0.56,18121
(주)다우기술,023590,2018/12,19345653730,0,692.67,12.62,63.56,-1441357903,2.44,1.6,192269
(주)다이나믹디자인,145210,2018/12,172063702,0,512.12,16.34,-26.94,15148029,33.08,10.4,75650
(주)대교,019680,2018/12,830328382,9771,34.61,74.29,-6.04,64180906,1.53,1.09,705494
(주)대구백화점,006370,2018/12,700202374,1159,125.96,44.26,26.65,-29654850,0.42,0.29,106227
(주)대덕,008060,2018/12,1136921457,20873,15.55,86.54,0,37835839,0.53,0.38,590732
(주)대동,000490,2018/12,772716728,1036,255.27,28.15,7.32,3948352,1.67,0.71,475867
(주)대양금속,009190,2018/12,,0,,,,,7.74,2.49,165044
(주)대우건설,047040,2018/12,8733846010,0,276.83,26.54,-9.87,176191450,1.43,0.83,10204675
(주)대웅,003090,2018/12,1592170452,4318,65.11,60.57,9.55,45380803,4.5,2.5,47887
(주)대웅제약,069620,2018/12,1207846352,6193,98.72,50.32,7.41,47499563,5.72,3.32,943522
(주)대유에이텍,002880,2018/12,889580574,0,422.25,19.15,3.23,27493108,1.91,0.83,386822
(주)대유플러스,000300,2018/12,1000928259,0,625.47,13.78,9.98,58752215,1.42,0.65,68749
(주)대창,012800,2018/12,569961204,2307,164.19,37.85,-3.26,28761222,0.82,0.43,453111
(주)대한항공,003490,2018/12,25574772722,24044,783.45,11.32,7.6,2792632458,1.47,0.93,12646865
(주)대현,016090,2018/12,,3543,,,,,0.72,0.44,286316
(주)대호에이엘,069460,2018/12,,0,,,,,8.34,1.03,132411
(주)더메디팜,118000,2018/12,61440300,0,231.91,30.13,-6.53,-2708020,5.83,2.39,12261
(주)더존비즈온,012510,2018/12,278701440,13074,53,65.36,10.37,62134906,13.34,6.27,223091
(주)덕성,004830,2018/12,100557111,317,60.01,62.5,-16.84,-500742,1.46,0.66,79923
(주)덴티움,145720,2018/12,436826577,1294,124.32,44.58,23.68,-574593,5.59,2.89,145739
(주)도화엔지니어링,002150,2018/12,375922304,7373,51.13,66.17,0.88,28701404,1.58,0.65,401240
(주)동남합성,023450,2018/12,,3963,,,,,1.51,1.3,139267
(주)동방,004140,2018/12,554091662,236,325.61,23.5,4.01,28512262,1,0.4,474419
(주)동방아그로,007590,2018/12,185736751,2901,39.65,71.61,0.72,2651985,1.15,0.64,120666
(주)동서,026960,2018/12,1432202480,69071,11.01,90.09,0.79,95372753,2.49,1.36,495109
(주)동성케미컬,102260,2018/12,808116611,8799,101.69,49.58,-1.72,47656277,1.34,0.89,325021
(주)동아지질,028100,2018/12,284762190,2260,62.94,61.37,6.18,53487076,1.89,0.77,360734
(주)동양,001520,2018/12,977551540,10259,17.2,85.33,9.66,23815633,0.68,0.42,359248
(주)동양고속,084670,2018/12,195948851,1378,73.9,57.51,-6.77,7886099,1.01,0.6,132214
(주)동원에프앤비,049770,2018/12,1403607395,11577,121.92,45.06,9.79,26133525,2.46,1.49,1632632
(주)두산,000150,2018/12,28880281620,25742,304.2,24.74,3.34,1021890995,1.64,1.05,2919401
(주)두올,016740,2018/12,346631230,2599,111.41,47.3,40.02,38958769,1.91,0.61,209597
(주)디비아이엔씨,012030,2018/12,288416201,0,109.65,47.7,18.84,6756873,1.75,0.87,206839
(주)디아이,003160,2018/12,210488936,1434,47.92,67.6,28.8,9181020,1.93,0.9,80608
(주)디아이씨,092200,2018/12,810320832,1113,334.34,23.02,-7.07,33394836,1.59,0.78,362352
(주)디알비동일,004840,2018/12,714235989,2295,60.04,62.48,-0.26,27836869,0.81,0.56,111037
(주)디엔오토모티브,007340,2018/12,870759626,8727,54.52,64.72,3.49,74155011,1.22,0.92,145491
(주)디지비금융지주,139130,2018/12,64917599789,60892,1182.18,7.8,14.25,368662788,0.85,0.52,131683
