회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),배당금(*)(IFRS)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),PER(최저)(IFRS),PBR(최고)(IFRS),매출액(요약)(백만원)
(주)에이플러스에셋어드바이저,244920,2022/12,345302037,4521539,85.5,53.91,4.92,18239041,3.37,1.79,230018
(주)에프앤에프,383220,2022/12,1570179025,61028386,66.48,60.07,0,344071665,11.62,43.85,1615588
(주)에프앤에프홀딩스,007700,2022/12,3595118445,13674463,24.44,80.36,149.86,332603291,21.75,0.71,42634
(주)엔씨소프트,036570,2022/12,4437632451,135653693,38.74,72.08,11.39,736014156,15.26,4.93,2401567
(주)엔아이스틸,008260,2022/12,,2860012,,,,,1.93,0.97,355390
(주)엔케이,085310,2022/12,185745935,0,44.85,69.04,10.99,-3029295,16.94,0.96,71185
(주)엘에스,006260,2022/12,16813978000,42561000,202.7,33.04,33.63,467114000,3.41,0.63,594446
(주)엘에스네트웍스,000680,2022/12,1300442455,0,135.64,42.44,-7.06,-2739665,36.99,0.65,229195
(주)엘에프,093050,2022/12,2584040376,19922000,55.96,64.12,9.78,160923026,2.7,0.42,1271909
(주)엘엑스세미콘,108320,2022/12,1289618542,73189350,35.7,73.69,11.61,-81731299,5.04,1.89,2119345
(주)엘엑스인터내셔널,001120,2022/12,7719007334,107903706,154.21,39.34,12.42,1222885515,1.64,0.88,4108362
(주)엘엑스하우시스,108670,2022/12,2483729000,2047000,218.45,31.4,4.01,72002000,0,1.04,3065048
(주)엘엑스홀딩스,383800,2022/12,1635041000,24099000,1.49,98.54,0,71830000,7.83,0.88,103493
(주)엘지,003550,2022/12,29633677000,474545000,12.96,88.53,4.77,641024000,15.13,1.53,1067525
(주)엘지생활건강,051900,2022/12,7302929652,67129000,33.54,74.89,-11.19,497299483,115.01,5.63,3783321
(주)엘지에너지솔루션,373220,2022/12,38299445000,0,85.98,53.77,43.39,-579807000,0,8.96,10581787
(주)엘지유플러스,032640,2022/12,19774800000,171931000,134.03,42.73,0.4,3504980000,6.76,1.05,12781569
(주)엘지헬로비전,037560,2022/12,1428013437,9293624,128.29,43.8,8.12,178964673,0,1.05,1168287
(주)엘지화학,051910,2022/12,67973823000,783135000,81.35,55.14,21.59,569880000,11.38,3.16,23403601
(주)엠씨넥스,097520,2022/12,538890011,8842226,74.36,57.35,9.85,122250130,23.29,3.32,853046
(주)영원무역,111770,2022/12,4513623781,67115073,44.93,69,40.05,458800227,7.95,1.55,2130649
(주)영원무역홀딩스,009970,2022/12,5490219711,35394939,37.71,72.61,39.91,519228688,11.27,1.59,66428
(주)영풍,000670,2022/12,5871933652,17201340,33.35,74.99,23.66,326318565,0,0.95,1793609
(주)영흥,012160,2022/12,535684495,0,170.33,36.99,29.07,-2857735,0,0.64,224049
(주)예스코홀딩스,015360,2022/12,1491393801,10664473,187.06,34.84,16.17,41552654,0,0.57,67370
(주)오뚜기,007310,2022/12,3569760859,30953943,83.3,54.56,16.22,93291314,8.28,1.22,2759811
(주)오리온,271560,2022/12,3371683914,37552348,27.75,78.28,21.98,546192637,30.3,5.72,939113
(주)오리온홀딩스,001800,2022/12,5102168431,42109657,23.69,80.85,21.51,530055129,44.06,0.56,30499
(주)와이지플러스,037270,2022/12,241371894,0,51.4,66.05,-9.13,15186074,26.95,4.25,139977
(주)와이투솔루션,011690,2022/12,126606991,0,53.46,65.16,18.71,-2445610,0,4.71,120011
(주)용평리조트,070960,2022/12,868285864,0,129.88,43.5,-39.36,25276373,0,0.72,143188
(주)우리금융지주,316140,2022/12,480474396000,713497000,1419.17,6.58,55.83,18624119000,6.55,0.54,1300621
(주)우성,006980,2022/12,401969273,0,132.04,43.1,27.44,5317135,144.33,0.92,54662
(주)우신시스템,017370,2022/12,282515716,473862,213.74,31.87,-2.97,18003437,4.77,0.8,112630
(주)우진,105840,2022/12,227053376,2972648,28.59,77.77,15.24,14027281,21.04,2.5,57873
(주)우진아이엔에스,010400,2022/12,111631385,0,19.25,83.86,-6.07,-4892931,0,0.77,84046
(주)우진플라임,049800,2022/12,285245048,1000000,177.52,36.03,8.8,26443219,2.97,1,252910
(주)웅진,016880,2022/12,1094417788,0,383.9,20.67,7.14,112388797,3.48,0.74,169646
(주)웅진씽크빅,095720,2022/12,790792230,7887816,116.7,46.15,14.67,94571605,35.53,1.37,731150
(주)원림,005820,2022/12,169931826,719891,18.07,84.7,2.82,8857365,21.08,0.73,49863
(주)위스컴,024070,2022/12,128503266,766322,14.15,87.61,6.87,2594007,0,0.55,114711
(주)윌비스,008600,2022/12,270394722,0,175.14,36.35,-7.82,-6716093,8.44,0.84,188668
(주)유니드,014830,2022/12,1489264678,13277858,65.19,60.54,28.04,-128088959,0,1.97,792570
(주)유니드비티플러스,446070,2022/12,,0,,,,,,,29221
(주)유니온,000910,2022/12,376111723,1951452,115.46,46.41,8.83,-9623730,0,1.18,108834
(주)유니켐,011330,2022/12,434878231,1440271,212.48,32,-2.35,23431308,21.47,0.91,103067
(주)유수홀딩스,000700,2022/12,524926065,9799566,17.78,84.9,10.7,48618647,5.09,0.83,6822
(주)유유제약,000220,2022/12,195205073,2001735,58.22,63.2,20.08,-6229001,0,1.99,106071
(주)유한양행,000100,2022/12,2472728072,27268933,23.16,81.2,5.22,99528971,30.16,2.79,1726365
(주)이노션,214320,2022/12,2290142555,34000000,162.04,38.16,16.54,149151464,5.93,1.71,487631
(주)이마트,139480,2022/12,33201721509,53577000,146.24,40.61,17.65,745721482,2.16,0.41,15486824
(주)이수페타시스,007660,2022/12,546014161,6324642,145.59,40.72,36.9,29760255,3.44,2.27,497213
(주)이수화학,005950,2022/12,1188076573,13602978,193,34.13,29.61,-33267089,21.61,1.89,1696523
(주)이스타코,015020,2022/12,,0,,,,,0,3.89,7627
(주)이아이디,093230,2022/12,566212896,0,211.47,32.11,21.01,-6376490,0,4.46,142433
(주)이엔플러스,074610,2022/12,120327643,0,85.73,53.84,-51.45,7258966,0,7.15,22891
(주)이원,017940,2022/12,4339655186,20814304,187.33,34.8,55.09,21479810,2.05,0.26,7593635
(주)이월드,084680,2022/12,,0,,,,,35.5,2.06,126462
(주)인디에프,014990,2022/12,119745167,0,215.58,31.69,-8.99,3451553,0,4.8,135009
(주)인바이오젠,101140,2022/12,,0,,,,,0,2.41,11404
(주)인스코비,006490,2022/12,101183784,0,60.48,62.31,6.99,-1906076,0,6.88,36076
