회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]   배당금(*)(요약)(IFRS),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
(주)동양,001520,2015/12,1184189631,24616,23.36,81.07,3,37567400,0.88,0.22,339749
(주)동양고속,084670,2015/12,240378400,4640,82.91,54.67,-0.38,18947043,0.97,0.72,135721
(주)동원에프앤비,049770,2015/12,952430434,9648,82.39,54.83,7.59,88054325,5.05,2.22,1374937
(주)두산,000150,2015/12,31556310459,91267,275.96,26.6,-7.37,-17769699,2,1.19,1873556
(주)디비아이엔씨,012030,2015/12,276200611,0,66.56,60.04,-28.11,-13076502,0.83,0.23,203754
(주)디아이,003160,2015/12,171701971,1434,48.64,67.28,-21.27,-3160118,3.5,1.91,58266
(주)디아이씨,092200,2015/12,585802945,0,233.69,29.97,3.46,38200095,1.65,0.6,328714
(주)디알비동일,004840,2015/12,639083096,1291,65.94,60.26,16.16,63485497,1.68,1.1,159591
(주)디엔오토모티브,007340,2015/12,1064506282,5181,46.74,68.15,26.1,114660742,1.15,0.77,385393
(주)디지비금융지주,139130,2015/12,51144445527,47335,1254.05,7.39,55.94,100645241,0.92,0.65,88273
(주)락앤락,115390,2015/12,756469839,10837,18.21,84.59,-3.45,72209303,1.8,1.06,183467
(주)마니커,027740,2015/12,222831034,0,177.4,36.05,-19.22,16989664,1.82,0.45,276990
(주)메리츠금융지주,138040,2015/12,32026283356,21778,782.43,11.33,33.33,-2031698254,3.03,1.59,68676
(주)메타랩스,090370,2015/12,114036049,0,481.33,17.2,-9.28,-7883383,7.79,3.11,82648
(주)모나리자,012690,2015/12,,1828,,,,,4.59,1.52,124973
(주)모나미,005360,2015/12,162288656,1134,126.12,44.22,-4.76,4527767,1.87,0.79,98968
(주)모토닉,009680,2015/12,429266968,6401,13.08,88.43,-6.43,20757657,1.31,0.9,190846
(주)무학,033920,2015/12,556846377,6965,27.73,78.29,1.94,78348624,4.36,2.33,278309
(주)미래아이앤지,007120,2015/12,47974558,0,6.61,93.8,-51.24,179548,3.85,1.27,8987
(주)백산,035150,2015/12,170612301,1439,64.68,60.72,1.36,4219165,1.67,0.88,149316
(주)벽산,007210,2015/12,429504382,3848,60.64,62.25,3.37,40778263,4.58,1.85,293985
(주)보락,002760,2015/12,,359,,,,,1.94,0.88,31067
(주)보령,003850,2015/12,,1557,,,,,3.74,1.71,401350
(주)비비안,002070,2015/12,178009474,1296,22.84,81.4,-7.56,-7514713,0.7,0.37,171919
(주)비상교육,100220,2015/12,235171219,2448,36.57,73.22,5.09,40155531,0.98,0.64,138347
(주)비와이씨,001460,2015/12,691464609,688,82.87,54.68,2.99,28069051,1.12,0.52,181641
(주)비지에프,027410,2015/12,1621622006,29729,109.59,47.71,28.69,359310662,9.29,2.77,4257634
(주)빙그레,005180,2015/12,616988522,11052,19.3,83.82,-2.61,64718169,1.9,1.25,795438
(주)사조대림,003960,2015/12,657031493,0,163.6,37.94,31.53,18314242,0.93,0.37,429808
(주)사조오양,006090,2015/12,,0,,,,,1.5,0.47,194925
(주)삼성출판사,068290,2015/12,155126969,1300,53,65.36,-5.38,12863616,2.35,0.96,45097
(주)삼양사,145990,2015/12,1437819497,8951,104.42,48.92,6.69,32200222,1.5,0.62,1169694
(주)삼양홀딩스,000070,2015/12,3071422344,11612,70.98,58.49,-1.66,89877502,2.67,0.72,169561
(주)삼영,003720,2015/12,170243060,0,58.14,63.24,-20.87,4956805,0.65,0.41,94796
(주)삼원강재,023000,2015/12,,5000,,,,,1.03,0.74,272321
(주)삼익악기,002450,2015/12,408469903,3943,87.29,53.39,3.62,4024600,2.9,1.42,115129
(주)삼천리,004690,2015/12,3543526900,8909,162.67,38.07,-2.31,194007173,0.55,0.34,2877278
(주)상상인증권,001290,2015/12,702855744,0,386.43,20.56,-2.62,-44248379,0.83,0.36,87735
(주)서연,007860,2015/12,2595484129,3113,164.64,37.79,55.61,179903323,1.4,0.79,5537
(주)서연이화,200880,2015/12,1703969084,4053,178.63,35.89,0,136046120,1.49,0.88,1060792
(주)서원,021050,2015/12,244994346,0,267.33,27.22,-22.01,12395124,1.44,0.49,207928
(주)서흥,008490,2015/12,556754829,2892,111.66,47.25,4.47,26219524,3.34,2.15,233225
(주)선앤엘,002820,2015/12,563581137,2182,106.48,48.43,14.76,24800516,1.1,0.29,309257
(주)선진,136490,2015/12,437278251,814,130.48,43.39,1.35,26241599,1.55,1.05,594264
(주)성안,011300,2015/12,259934334,549,166.68,37.5,-13.05,21784361,1.06,0.49,52242
(주)세아베스틸지주,001430,2015/12,3593929795,35596,87.51,53.33,0,353713049,1.09,0.62,1826024
(주)세아제강지주,003030,2015/12,2073851398,10174,69,59.17,-10.66,292987990,0.47,0.28,1426471
(주)세아특수강,019440,2015/12,500308874,5900,74.09,57.44,-9.23,70057715,0.83,0.52,605070
(주)세아홀딩스,058650,2015/12,5191468774,6998,86.23,53.7,3.91,500860652,1.06,0.58,44589
(주)세우글로벌,013000,2015/12,36979514,0,16.71,85.68,-11.01,1175926,1.88,0.7,36746
(주)세이브존아이앤씨,067830,2015/12,527906656,1133,56.94,63.72,2.69,28608109,0.93,0.63,185739
(주)세진중공업,075580,2015/12,520261903,3829,205.61,32.72,0.75,47235416,0.94,0.76,453318
(주)수산중공업,017550,2015/12,119234422,0,33.74,74.77,-11.42,16362912,2.09,0.87,92146
(주)시디즈,134790,2015/12,,0,,,,,2.86,1.17,6721
(주)신도리코,029530,2015/12,929282858,11799,13.29,88.27,4.26,-5504638,0.95,0.59,474963
(주)신성이엔지,011930,2015/12,,0,,,,,2.93,1.24,170570
(주)신세계,004170,2015/12,7918168376,12296,94.99,51.29,2.88,278606216,1.04,0.56,1486079
(주)신세계아이앤씨,035510,2015/12,,1720,,,,,2.38,0.97,261095
(주)신세계인터내셔날,031430,2015/12,914201109,4284,96.69,50.84,10.24,47854682,2.87,1.39,884541
(주)신세계푸드,031440,2015/12,503250776,1936,75.26,57.06,0,12660998,3.51,1.47,901318
(주)신영와코루,005800,2015/12,317693559,1350,11.93,89.34,0,19677751,0.69,0.35,177238
(주)신원,009270,2015/12,431379116,0,131.31,43.23,5.25,29503638,0.98,0.51,629235
(주)신풍,002870,2015/12,145668274,0,255.34,28.14,3.02,-11837874,1.25,0.56,108124
(주)신한금융지주회사,055550,2015/12,370539622000,630978,1064.87,8.58,2.56,2970314000,1.13,0.93,1201949
(주)신화다이나믹스,001770,2015/12,,425,,,,,0.72,0.37,57212
(주)신흥,004080,2015/12,136987094,575,61.45,61.94,0.98,2646202,1.67,0.9,124094
(주)쌍방울,102280,2015/12,217372239,0,22.88,81.38,2.65,-9160620,2.73,0.49,123036
(주)쎌마테라퓨틱스,015540,2015/12,28438164,0,363.61,21.57,2.73,-11063848,29.77,8.49,11577
(주)씨아이테크,004920,2015/12,40189897,0,37.19,72.89,58.01,-2182889,2.27,0.8,11495
(주)아모레퍼시픽,090430,2015/12,4443101431,93172,31.75,75.9,23.04,627503451,9.08,0.7,3757959
(주)아모레퍼시픽그룹,002790,2015/12,6147969195,32515,25.78,79.5,20.15,736520022,92.08,7.67,68570
(주)아센디오,012170,2015/12,69094619,0,57.85,63.35,-25.36,-19305569,4.85,1.13,5678
(주)아이마켓코리아,122900,2015/12,1266305616,17598,182,35.46,15,-42218123,3.45,2.52,2605008
(주)아이에이치큐,003560,2015/12,255675961,0,18.9,84.11,49.31,34635245,2.17,1.28,92863
(주)알루코,001780,2015/12,429140447,3280,161.31,38.27,13.56,65150040,3.6,1.16,274375
(주)에넥스,011090,2015/12,126285552,1659,108.87,47.88,17.71,21666557,9.22,1.35,302974
(주)에스비에스,034120,2015/12,934369946,13555,64.44,60.81,-3.61,30780850,1.5,0.92,772594
(주)에스엠벡셀,010580,2015/12,,0,,,,,2.6,1.02,87072
(주)에스원,012750,2015/12,1394426507,40572,42.24,70.31,4.73,317901524,5.35,3.25,1788782
(주)에스제이엠,123700,2015/12,185776445,3121,21.03,82.62,14.77,25652825,1.11,0.84,96586
(주)에스제이엠홀딩스,025530,2015/12,260302124,2710,20.38,83.07,14.33,27165813,0.78,0.48,12294
(주)에스지글로벌,001380,2015/12,203147148,0,72.01,58.14,-7.12,1899742,2.69,0.47,92274
(주)에스지세계물산,004060,2015/12,291667618,0,44.12,69.39,-6.67,13682600,2.15,0.6,315377
(주)에스피씨삼립,005610,2015/12,612875035,4899,141.53,41.4,24.03,44289366,18.8,6.8,985825
(주)에이블씨엔씨,078520,2015/12,250540863,4813,34.15,74.55,-6.95,33603488,3.34,1.57,356181
(주)에이엔피,015260,2015/12,124186820,0,111.33,47.32,9.6,5163554,1.58,0.62,90760
(주)에이프로젠,007460,2015/12,,0,,,,,2.18,0.85,65932
(주)에이프로젠바이오로직스,003060,2015/12,85221295,0,25.8,79.49,21.85,1847053,18.43,0.79,29825
(주)에프앤에프홀딩스,007700,2015/12,333443952,3080,67.02,59.87,22.76,15662928,2.18,1.04,369784
(주)엔씨소프트,036570,2015/12,2219197320,60064,24.05,80.61,-0.05,241337234,3.2,2.14,616604
(주)엔아이스틸,008260,2015/12,,1421,,,,,1.23,0.81,118556
(주)엔케이,085310,2015/12,310948108,0,86.46,53.63,3.44,23963007,2.54,1.11,235846
(주)엘에스,006260,2015/12,9881465000,34709,234.56,29.89,-8.14,464096000,1.04,0.49,136138
(주)엘에스네트웍스,000680,2015/12,1521083340,1,120.48,45.35,-14.81,10876463,0.73,0.52,691164
(주)엘에프,093050,2015/12,1474852964,14620,44.94,68.99,7.59,51651981,1.13,0.8,1429859
(주)엘엑스인터내셔널,001120,2015/12,5383467294,7732,248.83,28.67,16.29,297706829,1.45,0.77,3675879
(주)엘엑스하우시스,108670,2015/12,2251751000,18015,156.58,38.97,-2,92644000,2.4,1.55,2370082
(주)엘지,003550,2015/12,18123400000,228668,36.18,73.43,1.04,886292000,1.74,1.2,574117
(주)엘지생활건강,051900,2015/12,4214636964,92263,99.24,50.19,13.93,637804647,14.26,7.94,3031336
(주)엘지유플러스,032640,2015/12,11950998000,109153,168.66,37.22,-1.86,1792908000,1.66,1.15,10780359
(주)엘지헬로비전,037560,2015/12,,5809,,,,,1.58,0.93,1182613
(주)엘지화학,051910,2015/12,18578728000,331287,41.78,70.53,-10.5,3172130000,2.15,1.02,17334109
(주)엠씨넥스,097520,2015/12,272541433,2891,199.49,33.39,22.53,81886507,0,0,421493
(주)영원무역,111770,2015/12,2221028528,8862,63.02,61.34,27.17,258355120,4.03,2.29,1134905
