회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]   배당금(*)(요약)(IFRS),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
(주)BNK금융지주,138930,2012/12,42891403741,63815,1217.62,7.59,0,-1002012173,1.07,0.76,115746
(주)DB하이텍,000990,2012/12,1157755031,0,298,25.13,6.98,73876619,2.49,1.35,583902
(주)HJ중공업,097230,2012/12,6585093000,0,283.85,26.05,-11.83,-84391000,0.62,0.28,1980761
(주)KB금융지주,105560,2012/12,282006578000,231811,1041.54,8.76,16.66,7988035000,0.97,0.7,693943
(주)MH에탄올,023150,2012/12,134385813,0,238.69,29.53,33.46,-4906202,0.71,0.31,45489
(주)SH에너지화학,002360,2012/12,103690070,0,59.82,62.57,11.97,-855725,2.74,0.54,191908
(주)SIMPAC,009160,2012/12,318665505,2702,69.63,58.95,4.64,13157000,1.37,0.77,223855
(주)SNT에너지,100840,2012/12,,1417,,,,,0.97,0.56,230708
(주)SNT홀딩스,036530,2012/12,2074903906,5811,57.43,63.52,0.29,57310654,0.56,0.34,8718
(주)STX,011810,2012/12,5067029000,7300,236.31,29.73,3.22,250636000,0.94,0.41,4116767
(주)TCC스틸,002710,2012/12,547013976,2879,142.04,41.31,-2.54,-4610373,0.49,0.35,440568
(주)강원랜드,035250,2012/12,2906655321,153068,22.54,81.61,2.41,446539739,3.06,2.14,1292896
(주)갤럭시아에스엠,011420,2012/12,43979072,0,69.76,58.91,0,2801469,3.12,1.48,37398
(주)경농,002100,2012/12,269412832,1297,77.55,56.32,0,8796940,0.53,0.41,131021
(주)경동나비엔,009450,2012/12,299729837,1262,70.42,58.68,11.07,27648702,1.17,0.48,341339
(주)경동인베스트,012320,2012/12,1209924561,4355,170.97,36.9,35.45,150571070,0.62,0.4,2403815
(주)경방,000050,2012/12,1335039930,0,115.08,46.49,-4.17,17789061,0.43,0.26,265409
(주)경인양행,012610,2012/12,287452678,1796,64.27,60.88,-6.22,20801833,1.05,0.54,141304
(주)광명전기,017040,2012/12,131064345,0,108.06,48.06,26.88,3436380,3.83,1.84,79318
(주)광주신세계,037710,2012/12,,2000,,,,,1.09,0.75,213803
(주)국동,005320,2012/12,65808287,0,598.4,14.32,-10.45,4976107,3.8,1.52,91524
(주)국보,001140,2012/12,98494841,50,191.46,34.31,-6.35,-3613866,1.12,0.48,109184
(주)금양,001570,2012/12,127557393,1176,180.08,35.7,11.93,3603001,1.51,0.71,108276
(주)까뮤이앤씨,013700,2012/12,,0,,,,,0.4,0.19,90977
